OrthoSymbol	africanFrog	americanAlligator	americanEel	axolotl	bambooShark	barnOwl	beardedDragon	blindMoleRat	brownRat	budgerigar	canary	cat	catshark	chicken	cod	commonBuzzard	commonKestrel	cow	crabMacaque	daubentonBat	dog	eagleOwl	egyptianBat	emu	flavescentPeacockFish	garterSnake	giltheadBream	goldenEagle	gosHwak	greenAnole	groundBoa	groundSquirrel	harpyEagle	hawaiianCrow	honeyguide	hoodedCrow	horse	human	japaneseGecko	labMouse	littleOwl	mallardDuck	marmoset	minkeWhale	mousebird	nancymaMonkey	northernPike	oceanJacket	oldwife	oliveBaboon	opossum	orientalScopsOwl	ostrich	peregrineFalcon	pig	pigeon	quail	redStingray	rhesusMacaque	roundleafBat	sacwingedBat	sandRat	sparrowHawk	spottedGar	sunangel	tawnyOwl	tuna	uralOwl	westernFrog	whiteWagtail	yangtzeCatfish	zebraShark	zebrafinch	zebrafish
PVALB	pvalb.L,pvalb.S	PVALB	pvalb6,pvalb7	PVALB	LOC140489282	PVALB	PVALB	Pvalb	Pvalb	PVALB	PVALB	PVALB	LOC140403929	PVALB	pvalb6,pvalb7	PVALB	ENSFTIG00000003445	PVALB	PVALB	PVALB	PVALB	ENSBOBG00000013964	PVALB	PVALB	pvalb6,pvalb7	PVALB	pvalb6,pvalb7	PVALB	PVALB	pvalb	PVALB	Pvalb	PVALB	PVALB	PVALB	PVALB	PVALB	PVALB	PVALB	Pvalb	PVALB	PVALB	PVALB	PVALB	PVALB	PVALB	pvalb6,pvalb7	LOC142886692,pvalb7	pvalb6,pvalb7	PVALB	PVALB	ENSOSUG00000007289	PVALB	PVALB	PVALB	PVALB	PVALB	LOC140719032	PVALB	PVALB	PVALB	Pvalb	ENSANIG00000006609	LOC102697080	PVALB	PVALB	LOC122972220,pvalb6	PVALB	pvalb	PVALB	pvalb6,pvalb7	LOC125446946	PVALB	pvalb6,pvalb7
IGF1R	igf1r.L,igf1r.S	IGF1R	LOC135254961,igf1ra	IGF1R	igf1ra	IGF1R	IGF1R	Igf1r	Igf1r	IGF1R	IGF1R	IGF1R	igf1ra	IGF1R	LOC115558480,igf1ra	IGF1R	ENSFTIG00000001311	IGF1R	IGF1R	IGF1R	IGF1R	ENSBOBG00000005225	IGF1R	IGF1R	LOC115772332,igf1ra	LOC106555187	igf1ra,igf1rb	IGF1R	IGF1R	igf1r	IGF1R	Igf1r	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	Igf1r	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	igf1ra,igf1rb	igf1ra,igf1rb	igf1ra,igf1rb	IGF1R	IGF1R	ENSOSUG00000013379	IGF1R	IGF1R	IGF1R	IGF1R	IGF1R	igf1ra	IGF1R	IGF1R	IGF1R	Igf1r	ENSANIG00000015735	igf1ra	IGF1R	IGF1R	LOC122995832,igf1ra	IGF1R	igf1r	IGF1R	igf1ra,igf1rb	igf1ra	IGF1R	igf1ra,igf1rb
CNGB3	cngb3.L	CNGB3	LOC135254160,cngb3.1	CNGB3,LOC138510817	LOC140477071	CNGB3	CNGB3	Cngb3	Cngb3	CNGB3	CNGB3	CNGB3	cngb3.1	CNGB3	LOC115536867,LOC115536868	CNGB3	ENSFTIG00000007458	CNGB3	CNGB3	CNGB3	CNGB3	ENSBOBG00000011751	CNGB3	CNGB3	LOC115799427,cngb3.1	CNGB3	LOC115569634,LOC115570077	CNGB3	CNGB3	cngb3	CNGB3	Cngb3	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	Cngb3	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	LOC105031530,cngb3.1	LOC142880879,LOC142880888	LOC139304645,cngb3.1	CNGB3	CNGB3	ENSOSUG00000006176	CNGB3	CNGB3	CNGB3	CNGB3	CNGB3	LOC140727139	CNGB3	CNGB3	CNGB3	Cngb3		LOC102695735	CNGB3	CNGB3	LOC122972092,LOC122973014	CNGB3	cngb3	CNGB3	LOC124383793,LOC124384122	LOC125451905	CNGB3	LOC562466,cngb3.1
GRIA4	LOC108709985,gria4.L	GRIA4	LOC135263162,gria4a	GRIA4	LOC140481390	GRIA4	GRIA4	Gria4	Gria4	GRIA4	GRIA4	GRIA4	LOC140391818	GRIA4	gria4a,gria4b	GRIA4	ENSFTIG00000013367	GRIA4	GRIA4	GRIA4	GRIA4	ENSBOBG00000007947	GRIA4	GRIA4	gria4a,gria4b	GRIA4	gria4a,gria4b	GRIA4	GRIA4	gria4	GRIA4	Gria4	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	Gria4	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	gria4a,gria4b	LOC142882117,gria4a	gria4a,gria4b	GRIA4	GRIA4	ENSOSUG00000006055	GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	LOC140726788	GRIA4	GRIA4	GRIA4	Gria4	ENSANIG00000010947	gria4a	GRIA4	GRIA4	gria4a,gria4b	GRIA4	gria4	GRIA4	gria4a,gria4b	LOC125453697	GRIA4	gria4a,gria4b
MSN	msn.L,msn.S	MSN	LOC135250253,msna	MSN	msna	MSN	MSN	Msn	Msn	MSN	MSN	MSN	msna	MSN	LOC115547202,LOC115552234	MSN	ENSFTIG00000014356	MSN	MSN	MSN	MSN	ENSBOBG00000000989	MSN	MSN	LOC115786705,msna	MSN	LOC115568820,LOC115594236	MSN	MSN	msn	MSN	Msn	MSN	MSN	MSN	MSN	MSN	MSN	MSN	Msn	MSN	MSN	MSN	MSN	MSN	MSN	LOC105024398,msna	LOC142884588,LOC142899663	LOC139291219,LOC139294927	MSN	MSN	ENSOSUG00000004904	MSN	MSN	MSN	MSN	MSN	msna	MSN	MSN	MSN	Msn	ENSANIG00000006781	msna	MSN	MSN	LOC122990593,LOC122995089	MSN	msn	MSN	msna	msna	MSN	msna,msnb
OGN	ogn.L,ogn.S	OGN	ogna,ognb	OGN	ogna	OGN	OGN	Ogn	Ogn	OGN	OGN	OGN	ogna	OGN	ogna,ognb	OGN	ENSFTIG00000003341	OGN	OGN	OGN	OGN	ENSBOBG00000004058	OGN	OGN	ogna,ognb	OGN	ogna,ognb	OGN	OGN	ogn	OGN	Ogn	OGN	OGN	OGN	OGN	OGN	OGN	OGN	Ogn	OGN	OGN	OGN	OGN	OGN	OGN	ogna,ognb	ogna,ognb	ogna,ognb	OGN	OGN	ENSOSUG00000002170	OGN	OGN	OGN	OGN	OGN	ogna	OGN	OGN	OGN	Ogn	ENSANIG00000005521	ogna	OGN	OGN	ogna,ognb	OGN	ogn	OGN	ogna	ogna	OGN	ogna,ognb
ZEB2	zeb2.L,zeb2.S	ZEB2	LOC135240562,LOC135250418	ZEB2	LOC140482369	ZEB2	ZEB2	Zeb2	Zeb2	ZEB2	ZEB2	ZEB2	zeb2b	ZEB2	zeb2a,zeb2b	ZEB2	ENSFTIG00000016029	ZEB2	ZEB2	ZEB2	ZEB2	ENSBOBG00000007560	ZEB2	ZEB2	zeb2a,zeb2b	ZEB2	zeb2a,zeb2b	ZEB2	ZEB2	zeb2	ZEB2	Zeb2	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	Zeb2	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	zeb2a,zeb2b	LOC142881530,zeb2b	zeb2a,zeb2b	ZEB2	ZEB2	ENSOSUG00000006694	ZEB2	ZEB2	ZEB2	ZEB2	ZEB2	LOC140714608	ZEB2	ZEB2	ZEB2	Zeb2	ENSANIG00000015246	zeb2a	ZEB2	ZEB2	zeb2a,zeb2b	ZEB2	zeb2	ZEB2	zeb2a,zeb2b	zeb2b	ZEB2	zeb2a,zeb2b
GPR20	LOC108695395,gpr20.L	GPR20	LOC135261767,gpr20	GPR20	gpr20	GPR20	GPR20	Gpr20	Gpr20	GPR20	GPR20	GPR20	LOC140385786	GPR20	LOC115536334,LOC115553892	GPR20	ENSFTIG00000016011	GPR20	GPR20	GPR20	GPR20	ENSBOBG00000001592	GPR20	GPR20	LOC115788705,gpr20	LOC106556294	LOC115567744,LOC115579140	GPR20	GPR20	gpr20	GPR20	Gpr20	GPR20	GPR20	GPR20	GPR20	GPR20	GPR20	GPR20	Gpr20	GPR20	GPR20	GPR20	GPR20	GPR20	GPR20	LOC105012509,gpr20	LOC142877557,LOC142903581	LOC139290152,LOC139299412	GPR20	GPR20	ENSOSUG00000005133	GPR20	GPR20	GPR20	GPR20	GPR20	gpr20	GPR20	GPR20	GPR20	Gpr20	ENSANIG00000012711	LOC102695868	GPR20	GPR20	LOC122970415,gpr20	GPR20	gpr20	GPR20	LOC124376247,gpr20	LOC125451461	GPR20	LOC100329768,gpr20
DESI1	desi1.L,desi1.S	DESI1	LOC135248833,desi1a	DESI1	LOC140489238	DESI1	DESI1	Desi1	Desi1	DESI1	DESI1	DESI1	LOC140403819	DESI1	LOC115531112,desi1a	DESI1	ENSFTIG00000005905	DESI1	DESI1	DESI1	DESI1	ENSBOBG00000001152	DESI1	DESI1	desi1a,desi1b	DESI1	LOC115571338,LOC115575833	DESI1	DESI1	desi1	DESI1	Desi1	DESI1	DESI1	DESI1	DESI1	DESI1	DESI1	DESI1	Desi1	DESI1	DESI1	DESI1	DESI1	DESI1	DESI1	desi1a,desi1b	LOC142893253,desi1a	LOC139303254,desi1a	DESI1	DESI1	ENSOSUG00000002506	DESI1	DESI1	DESI1	DESI1	DESI1	LOC140719159	DESI1	DESI1	DESI1	Desi1	ENSANIG00000001194	desi1a	DESI1	DESI1	desi1a,desi1b	DESI1	desi1	DESI1	desi1a,desi1b	LOC125447116	DESI1	desi1a,desi1b
GUCY2C	gucy2c.L,gucy2c.S	GUCY2C	gucy2ca,gucy2cb	GUCY2C,LOC138580055	LOC140489028	GUCY2C	GUCY2C	Gucy2c	Gucy2c	GUCY2C	GUCY2C	GUCY2C	LOC140403849	GUCY2C	gucy2ca,gucy2cb	GUCY2C	ENSFTIG00000006926	GUCY2C	GUCY2C	GUCY2C	GUCY2C	ENSBOBG00000012649	GUCY2C	GUCY2C	gucy2ca,gucy2cb	LOC106539270	gucy2ca,gucy2cb	GUCY2C	GUCY2C	gucy2c	GUCY2C	Gucy2c	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	Gucy2c	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	gucy2c,si_ch73-139e5.4	gucy2ca,gucy2cb	gucy2ca,gucy2cb	GUCY2C	GUCY2C	ENSOSUG00000013428	GUCY2C	GUCY2C	GUCY2C	GUCY2C	GUCY2C	LOC140719486	GUCY2C	GUCY2C	GUCY2C	Gucy2c	ENSANIG00000001296	gucy2cb	GUCY2C	GUCY2C	gucy2ca,gucy2cb	GUCY2C	gucy2c	GUCY2C	gucy2ca,gucy2cb	LOC125447136	GUCY2C	gucy2ca,gucy2cb
TP53BP2	tp53bp2.L,tp53bp2.S	TP53BP2	LOC135244419,LOC135245149	TP53BP2	LOC140482875	TP53BP2	TP53BP2	Tp53bp2	Tp53bp2	TP53BP2	TP53BP2	TP53BP2	LOC140426486	TP53BP2	LOC115540073,tp53bp2a	TP53BP2	ENSFTIG00000012282	TP53BP2	TP53BP2	TP53BP2	TP53BP2	ENSBOBG00000014885	TP53BP2	TP53BP2	LOC115776760,tp53bp2a	TP53BP2	tp53bp2a,tp53bp2b	TP53BP2	TP53BP2	tp53bp2	TP53BP2	Tp53bp2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	Trp53bp2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	LOC105010670,LOC105028765	LOC142903252,tp53bp2a	tp53bp2a,tp53bp2b	TP53BP2	TP53BP2	ENSOSUG00000007160	TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	LOC140730336	TP53BP2	TP53BP2	TP53BP2	Tp53bp2	ENSANIG00000000638	tp53bp2a	TP53BP2	TP53BP2	LOC122975052,tp53bp2a	TP53BP2	tp53bp2	TP53BP2	tp53bp2a,tp53bp2b	LOC125454761	TP53BP2	tp53bp2a,tp53bp2b
VASN	vasn.L,vasn.S	VASN	LOC135249265,vasnb	VASN	LOC140464527	VASN	VASN	Vasn	Vasn	VASN	VASN	VASN	vasnb	VASN	LOC115540154,vasnb	VASN	ENSFTIG00000013589	VASN	VASN	VASN	VASN	ENSBOBG00000010987	VASN	VASN	LOC115778729,vasnb	VASN	LOC115591387,vasnb	VASN	VASN	vasn	VASN	Vasn	VASN	VASN	VASN	VASN	VASN	VASN	VASN	Vasn	VASN	VASN	VASN	VASN	VASN	VASN	vasna,vasnb	LOC142879650,vasnb	LOC139301755,vasnb	VASN	VASN	ENSOSUG00000013792	VASN	VASN	VASN	VASN	VASN	vasnb	VASN	VASN	VASN	Vasn	ENSANIG00000012766	vasnb	VASN	VASN	LOC122979857,vasnb	VASN	vasn	VASN	vasna,vasnb	LOC125462557	VASN	vasna,vasnb
YWHAG	ywhag.L,ywhag.S	YWHAG	LOC135235502,ywhag1	LOC138521962,YWHAG	LOC140491328	YWHAG	YWHAG	Ywhag	Ywhag	YWHAG	YWHAG	YWHAG	LOC140386669	YWHAG	ywhag1,ywhag2	YWHAG	ENSFTIG00000009817	YWHAG	YWHAG	YWHAG	YWHAG	ENSBOBG00000000791	YWHAG	YWHAG	LOC115790051,ywhag1	YWHAG	ywhag1,ywhag2	YWHAG	YWHAG	ywhag	YWHAG	Ywhag	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	Ywhag	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	ywhag1,ywhag2	ywhag1,ywhag2	ywhag1,ywhag2	YWHAG	YWHAG	ENSOSUG00000002585	YWHAG	YWHAG	YWHAG	YWHAG	YWHAG	LOC140731868	YWHAG	YWHAG	YWHAG	Ywhag	ENSANIG00000013488	ywhag1	YWHAG	YWHAG	ywhag1,ywhag2	YWHAG	ywhag	YWHAG	ywhag1,ywhag2		YWHAG	ywhag1,ywhag2
GRIA3	gria3.L,gria3.S	GRIA3	LOC135262873,gria3b	GRIA3	gria3b	GRIA3	GRIA3	Gria3	Gria3	GRIA3	GRIA3	GRIA3	gria3b	GRIA3	gria3a,gria3b	GRIA3	ENSFTIG00000005996	GRIA3	GRIA3	LOC132225065	GRIA3	ENSBOBG00000013307	GRIA3	GRIA3	LOC115786450,LOC115792478	LOC106545624	LOC115568826,LOC115593926	GRIA3	GRIA3	gria3	GRIA3	Gria3	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	Gria3	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	gria3a,gria3b	LOC142879719,LOC142884630	gria3a,gria3b	GRIA3	GRIA3	ENSOSUG00000006937	GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	LOC140734275	GRIA3	GRIA3	GRIA3	Gria3	ENSANIG00000001197	gria3b	GRIA3	GRIA3	LOC122990438,LOC122995106	GRIA3	gria3	GRIA3	gria3a,gria3b	LOC125458672	GRIA3	gria3a,gria3b
PDE4B	pde4b.L,pde4b.S	PDE4B	LOC135256556,pde4ba	PDE4B	pde4ba	PDE4B	PDE4B	Pde4b	Pde4b	PDE4B	PDE4B	PDE4B	pde4ba	PDE4B	LOC115548241,pde4ba	PDE4B	ENSFTIG00000005171	PDE4B	PDE4B	PDE4B	PDE4B	ENSBOBG00000004605	PDE4B	PDE4B	LOC115796485,pde4ba	PDE4B	LOC115572465,LOC115591202	PDE4B	PDE4B	pde4b	PDE4B	Pde4b	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	Pde4b	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	LOC105024737,pde4ba	LOC142884839,pde4ba	LOC139297038,pde4ba	PDE4B	PDE4B	ENSOSUG00000008415	PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	pde4ba	PDE4B	PDE4B	PDE4B	Pde4b	ENSANIG00000001337	pde4ba	PDE4B	PDE4B	LOC122993247,pde4ba	PDE4B	pde4b	PDE4B	pde4ba,pde4bb	pde4ba	PDE4B	pde4ba,pde4bb
HTRA1	htra1.L,htra1.S	HTRA1	LOC135244943,htra1b	HTRA1	htra1b	HTRA1	HTRA1	Htra1	Htra1	HTRA1	HTRA1	HTRA1	htra1b	HTRA1	LOC115531469,LOC115560245	HTRA1	ENSFTIG00000011567	HTRA1	HTRA1	HTRA1	HTRA1	ENSBOBG00000014163	HTRA1	HTRA1	LOC115793242,htra1b	LOC106538760	LOC115597214,htra1b	HTRA1	HTRA1	htra1	HTRA1	Htra1	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	Htra1	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	htra1a,htra1b	LOC142880288,htra1b	LOC139293977,htra1b	HTRA1	HTRA1	ENSOSUG00000003861	HTRA1	HTRA1	HTRA1	HTRA1	HTRA1	htra1b	HTRA1	HTRA1	HTRA1	Htra1	ENSANIG00000003957	htra1b	HTRA1	HTRA1	LOC122997338,htra1b	HTRA1	htra1	HTRA1	LOC124390442,htra1b	htra1b	HTRA1	htra1a,htra1b
