OrthoSymbol	atlanticHagfish	fareasternBrookLamprey	seaLamprey
OG0003829	LOC137425952	LOC133356809	LOC116952741
OG0003830	LOC137424473	LOC133355414	LOC116952307
OG0003831	LOC137424589	LOC133356662	LOC116952815
OG0003832	LOC137424971	LOC133351218	LOC116946991
OG0003833	LOC137437988	LOC133358264	LOC116937444
OG0003834	LOC137429572	LOC133345256	LOC116944335
OG0003835	LOC137430925	LOC133345852	LOC116938819
OG0003836	LOC137432713	LOC133341725	LOC116944849
OG0003837	LOC137439274	LOC133350905	LOC116944204
OG0003838	LOC137422414	LOC133354910	LOC116952152
OG0003839	ESRRG	ESRRG	ESRRG
OG0003840	LOC137438044	LOC133360020	LOC116947176
OG0003841	LOC137419431	ESRRB	ESRRB
OG0003842	LOC137436829	LOC133356244	LOC116953915
OG0003843	LOC137418360	CENPO	CENPO
OG0003844	LOC137437004	LOC133349517	LOC116942327
OG0003845	LOC137425121	LOC133356750	LOC116952775
OG0003846	LOC137418728	LOC133351653	LOC116947559
OG0003847	LOC137425577	LOC133342729	LOC116949264
OG0003848	LOC137421152	LOC133346662	LOC116940019
OG0003849	LOC137421677	LOC133343763	LOC116941982
OG0003850	LOC137431342	LOC133354065	LOC116950694
OG0003851	LOC137421675	LOC133343764	LOC116941981
OG0003852	LOC137423339	LOC133347982	LOC116956211
OG0003853	LOC137434540	LOC133353519	LOC116946236
OG0003854	LOC137425336	LOC133361022	LOC116957209
OG0003855	LOC137428285	LOC133341248	LOC116947907
OG0003856	SPTBN1	SPTBN1	LOC116939751
OG0003857	LOC137430475	LOC133345789	LOC116937261
OG0003858	LOC137436805	LOC133355041	LOC116953458
OG0003859	RDH14	LOC133352761	RDH14
OG0003860	CSMD3	LOC133344241	LOC116941582
OG0003861	LOC137422386	LOC133353013	LOC116946465
OG0003862	LOC137433184	LOC133353404	LOC116945092
OG0003863	LOC137437953	ACTN2	LOC116947266
OG0003864	LOC137435653	PPP1CB	LOC116939394
OG0003865	LOC137412346	LOC133342219	LOC116943378
OG0003866	LOC137425374	LOC133353944	LOC116952449
OG0003867	LOC137435137	LOC133357301	LOC116957879
OG0003868	LOC137421869	LOC133352975	LOC116946611
OG0003869	LOC137421782	LOC133352939	LOC116946559
OG0003871	LOC137416516	PPARD	PPARD
OG0003872	LOC137421004	LOC133346422	LOC116950242
OG0003873	LOC137417476	LOC133352494	LOC116950468
OG0003874	LOC137430032	LOC133352492	LOC116950470
OG0003875	LOC137432758	LOC133360138	LOC116955326
OG0003876	LOC137437344	LOC133349940	EDNRB
OG0003877	LOC137426756	LOC133341452	LOC116947943
OG0003878	ING3	ING3	ING3
OG0003879	LOC137420761	LOC133359075	LOC116940030
OG0003880	LOC137421854	LOC133353087	LOC116946554
OG0003881	LOC137439117	LOC133349221	LOC116942645
OG0003882	LOC137421111	LOC133346604	LOC116939489
OG0003883	LOC137424575	LOC133351120	LOC116946916
OG0003884	LOC137429025	LOC133352413	LOC116950549
OG0003885	LOC137435482	LOC133347144	LOC116939513
OG0003886	LOC137431362	LOC133345078	LOC116947789
OG0003887	LOC137435294	LOC133352789	LOC116948440
OG0003888	LOC137419796	LOC133351761	LOC116947512
OG0003889	LOC137423992	LOC133348034	LOC116956278
OG0003890	SLC6A19	LOC133354856	LOC116952146
OG0003891	LOC137437571	LOC133356515	LOC116951169
OG0003892	LOC137439429	LOC133351784	LOC116947491
OG0003893	LOC137431402	LOC133349673	LOC116948693
OG0003894	LOC137437392	LOC133356249	LOC116944002
OG0003895	LOC137426689	LOC133347231	LOC116939606
OG0003896	LOC137437642	LOC133350032	LOC116943585
OG0003897	GLRA2	LOC133357684	LOC116955670
OG0003898	LOC137431420	LOC133349689	LOC116948677
OG0003899	LOC137436368	LOC133355040	LOC116953539
OG0003900	LOC137428366	LOC133355593	LOC116952259
OG0003901	LOC137431348	LOC133345290	LOC116949592
OG0003902	LOC137437545	LOC133358325	LOC116954782
OG0003903	LOC137413303	LOC133344609	LOC116940845
OG0003904	LOC137431570	LOC133343720	LOC116942033
OG0003905	RABGAP1	LOC133341629	LOC116944808
OG0003906	SEPTIN7	LOC133350988	LOC116944293
OG0003907	LOC137438074	LOC133358318	LOC116954695
OG0003908	LOC137416790	LOC133357242	LOC103091816
OG0003909	LOC137417442	LOC133345963	LOC116938683
OG0003910	LOC137429991	LOC133347805	LOC116954699
OG0003911	LOC137431346	LOC133354292	LOC116950698
OG0003912	LOC137418121	LOC133346756	LOC116940900
OG0003913	LOC137429818	LOC133354978	LOC116953593
OG0003914	LOC137422322	LOC133346526	LOC116949536
OG0003915	LOC137421404	LOC133342081	LOC116944423
OG0003916	LOC137421841	LOC133353038	CYRIA
OG0003917	LOC137425029	LOC133351963	LOC116957751
OG0003918	LOC137436908	LOC133349172	LOC116942587
OG0003919	LOC137421891	LOC133352990	LOC116946466
OG0003920	LOC137422684	LOC133359272	LOC116957007
OG0003921	LOC137430053	LOC133348824	LOC116950064
OG0003922	LOC137439908	LOC133348281	LOC116939262
OG0003923	LOC137423638	ATP2A2	ATP2A2
OG0003924	LOC137424474	LOC133355468	LOC116952337
OG0003925	LOC137424998	LOC133349425	LOC116942412
OG0003926	LOC137425013	LOC133355408	LOC116952396
OG0003927	LOC137439051	LOC133351598	LOC116947454
OG0003928	LOC137427705	ARRB1	ARRB1
OG0003930	LOC137425969	LOC133360970	USP9X
OG0003931	LOC137425674	LOC133342862	LOC116942823
OG0003932	LOC137431142	LOC133347955	LOC116953367
OG0003933	LOC137426137	LOC133347769	LOC116955148
OG0003934	LOC137426446	LOC133341465	LOC116947685
OG0003935	LOC137438144	LOC133360277	LOC116947211
OG0003936	LOC137435055	LOC133347121	WDR26
OG0003937	LOC137435593	LOC133352793	LOC116948498
OG0003938	LOC137426750	LOC133341309	LOC116947852
OG0003939	LOC137432401	LOC133353405	LOC116945132
OG0003941	SRSF6	LOC133349116	LOC116942547
OG0003942	LOC137434247	LOC133344845	LOC116940953
OG0003943	LOC137431849	LOC133356679	LOC116943952
OG0003944	LOC137429915	LOC133345035	LOC116946148
OG0003945	LOC137430029	LOC133344138	LOC142924316
OG0003946	LOC137431869	LOC133345985	LOC116938657
OG0003947	LOC137439023	LOC133357555	LOC116954567
OG0003948	LOC137434375	LOC133355752	LOC116954157
OG0003949	CD151	LOC133351520	LOC116945624
OG0003950	LOC137426716	LOC133341254	LOC116947904
OG0003951	OSGEPL1	OSGEPL1	OSGEPL1
OG0003952	SLC19A1	LOC133356811	SLC19A1
OG0003953	LOC137438317	LOC133343248	LOC116944370
OG0003954	LOC137435103	LOC133357273	LOC116956288
OG0003955	LOC137413504	LOC133354984	LOC116953460
OG0003957	LOC137415021	PMEL	PMEL
OG0003958	LOC137415053	LOC133349788	LOC116948582
OG0003959	LOC137415601	LOC133350816	LOC116944104
OG0003960	LOC137429670	LOC133357933	LOC116955978
OG0003961	LOC137421248	LOC133350831	LOC116944125
OG0003962	LOC137421435	LOC133354945	LOC116952062
OG0003963	LOC137425430	LOC133351928	LOC116948931
OG0003964	LOC137421756	LOC133352859	LOC116946483
OG0003965	LOC137422993	LOC133347568	LOC116952801
OG0003967	XNDC1N	LOC133348553	XNDC1N
OG0003968	LOC137425514	LOC133342696	LOC116949293
OG0003969	LOC137435377	LOC133347025	LOC116939403
OG0003970	LOC137428270	LOC133341414	LOC116947747
OG0003971	LOC137429355	LOC133340317	LOC116945810
OG0003972	LOC137429680	CPT1A	LOC116939899
OG0003973	LOC137438029	LOC133348728	LOC116950304
OG0003974	LOC137435727	LOC133360568	LOC142907466
OG0003975	LOC137439508	LOC133342032	LOC116948117
OG0003976	OTOF	OTOF	OTOF
OG0003977	LOC137436940	LOC133342301	LOC116943307
OG0003978	LOC137435052	LOC133347126	LOC116939491
OG0003979	LOC137435522	LOC133347346	LOC116939693
OG0003980	LOC137437826	LOC133342579	LOC116949410
OG0003981	RAD54L2	LOC133356436	RAD54L2
OG0003982	RNF7	RNF7	RNF7
OG0003983	POPDC3	LOC133341957	LOC116948084
OG0003985	LOC137420572	LOC133343531	LOC116940705
OG0003986	DYSF	LOC133343259	LOC116940442
OG0003987	LOC137410866	LOC133357612	LOC116943811
OG0003988	LOC137421260	LOC133350879	LOC116944168
OG0003989	LOC137411853	LOC133344209	LOC116941622
OG0003990	LOC137412097	LOC133350326	GYS2
OG0003991	LOC137432634	LOC133353186	LOC116945169
OG0003992	SLC23A1	LOC133350528	LOC116940349
OG0003993	LOC137432587	LOC133351328	LOC116945674
OG0003994	PLCG1	LOC133355776	LOC116954188
OG0003995	LOC137413435	LOC133351637	LOC116947624
OG0003996	LOC137434101	LOC133345003	LOC116945815
OG0003997	LOC137423860	LOC133348024	LOC116956442
OG0003998	LOC137432869	LOC133351238	LOC116938343
OG0003999	LOC137427587	FSCN1	FSCN1
OG0004000	LOC137420825	LOC133346467	LOC116937147
OG0004001	LOC137426672	LOC133339578	LOC142907257
OG0004003	LOC137415611	LOC133346222	LOC116937223
OG0004004	SOX14	LOC133357594	LOC116937482
OG0004005	LOC137425701	LOC133343072	LOC116943043
OG0004006	NPR1	LOC133346447	LOC116952159
OG0004007	LOC137423458	S1PR1	S1PR1
OG0004008	LOC137416496	SCX	SCX
OG0004009	LOC137416634	FGFR2	FGFR2
OG0004010	LOC137439416	LOC133351599	LOC116947486
OG0004011	LOC137421972	LOC133343699	LOC116942057
OG0004012	LOC137417324	LOC133354045	LOC116952919
OG0004013	LOC137424540	LOC133351181	LOC116946859
OG0004014	LOC137421208	SPPL2B	SPPL2B
OG0004015	LOC137439154	KCNT1	LOC116953115
OG0004016	LOC137418767	LOC133360899	LOC116957165
OG0004017	LOC137434533	LOC133344823	LOC116940930
OG0004018	UCHL3	UCHL3	UCHL3
OG0004019	LOC137420987	LOC133346483	MAP1B
OG0004020	LOC137429999	LOC133344089	LOC116941732
OG0004021	LOC137430198	LOC133344300	LOC116941515
OG0004022	LOC137427718	LOC133340618	LOC116951511
OG0004023	LOC137438608	LOC133354604	LOC116953237
OG0004024	LOC137428972	LOC133352489	LOC116950464
OG0004025	LOC137424780	LOC133355424	LOC116952313
OG0004026	LOC137427692	LOC133352335	LOC116950565
OG0004027	LOC137425554	LOC133342626	LOC116949365
OG0004028	LOC137425787	LOC133361007	LOC116958045
OG0004029	LOC137426739	LOC133341426	LOC116947736
OG0004030	LOC137437472	LOC133363036	COX7A2L
OG0004031	LOC137433729	SLC12A7	SLC12A7
OG0004032	LOC137427803	LOC133340906	LOC116951675
OG0004033	LOC137428023	LOC133360639	PLG
OG0004034	LOC137436105	LOC133344152	LOC116941690
OG0004035	LOC137428629	LOC133350180	LOC116940088
OG0004036	LOC137434442	LOC133355812	LOC116954274
OG0004037	LOC137431442	LOC133345956	LOC116938696
OG0004038	LOC137429599	LOC133345392	LOC116945055
OG0004039	LOC137431866	LOC133346179	LOC116937906
OG0004040	LOC137430332	LOC133357908	LOC116955986
OG0004041	LOC137430387	LOC133352491	LOC116950556
OG0004042	LOC137438007	LOC133358194	LOC116954717
OG0004043	LOC137430966	CBX1	CBX1
OG0004044	LOC137430999	LOC133342119	LOC116948208
OG0004045	LOC137433422	LOC133358582	LOC116955911
OG0004046	LOC137434463	LOC133345077	LOC116946899
OG0004047	LOC137435793	LOC133347254	LOC116939631
OG0004048	LOC137439654	LOC133348511	LOC116939092
OG0004049	ACACA	ACACA	ACACA
OG0004050	LOC137421938	LOC133343717	LOC116942035
OG0004051	ACO1	ACO1	ACO1
OG0004052	CASP3	CASP3	CASP3
OG0004053	LOC137432860	LOC133350591	LOC116940288
OG0004054	CHRM4	LOC133350202	CHRM4
OG0004055	LOC137431674	LOC133360412	LOC116956383
OG0004056	DHX9	LOC133361191	DHX9
OG0004057	DHX36	DHX36	DHX36
OG0004058	DLG2	LOC133357261	LOC116956329
OG0004060	LOC137439206	DNAH10	DNAH10
OG0004061	DNAH10	LOC133348754	LOC116950280
OG0004062	DNAH8	LOC133345118	LOC116947221
OG0004063	DNAH5	DNAH5	DNAH5
OG0004064	LOC137437234	DOCK3	DOCK3
OG0004065	DOCK4	DOCK4	DOCK4
OG0004066	LOC137421176	LOC133346415	LOC116948366
OG0004067	ENC1	LOC133341698	LOC116954886
OG0004068	LOC137436353	LOC133356200	LOC116953857
OG0004069	ENTPD5	ENTPD5	ENTPD5
OG0004071	HACD3	HACD3	HACD3
OG0004072	GABBR2	LOC133344719	LOC116941097
OG0004073	LOC137430709	LOC133345158	LOC116948019
OG0004074	GID4	LOC133346916	LOC116949628
OG0004075	LOC137434239	GID4	GID4
OG0004076	HRAS	LOC133351533	LOC116945466
OG0004078	LOC137423760	LOC133345638	LOC116941207
OG0004079	JAKMIP1	LOC133343563	LOC116940740
OG0004081	KDELR2	LOC133348065	LOC116956195
OG0004082	LOC137411018	GCG	GCG
OG0004083	LOC137433999	LOC133345040	LOC103091771
OG0004084	LOC137431904	NCKAP1	LOC116938752
OG0004085	LOC137411544	LOC133349617	LOC116948744
OG0004086	LOC137424999	LOC133352051	LOC116948873
OG0004087	LOC137411728	LOC133359122	LOC116941946
OG0004088	LOC137411924	LOC133350306	LOC116940098
OG0004089	LOC137433081	LOC133351506	LOC116945488
OG0004090	LOC137412532	LOC133350334	LOC116939885
OG0004091	LOC137423289	LOC133347521	LOC116952157
OG0004092	LOC137427890	LOC133340992	LOC116951561
OG0004093	LOC137413929	LOC133348060	LOC116956114
OG0004094	LOC137439950	YWHAE	LOC116939165
OG0004095	LOC137416132	LOC133348908	LOC116950168
OG0004097	LOC137429030	LOC133352465	LOC116950564
OG0004098	SLC25A36	LOC133351100	SLC25A36
OG0004099	LOC137417417	LOC133352432	LOC116950389
OG0004100	LOC137417878	LOC133360573	LOC116947217
OG0004101	LOC137420683	LOC133343482	LOC116940647
OG0004102	LOC137424684	TMEM107	LOC116946835
OG0004104	LOC137422858	LOC133361105	LOC116958248
OG0004106	LOC137418737	LOC133351571	LOC116947556
OG0004107	LOC137424429	LOC133355437	LOC116952322
OG0004108	LOC137436992	LOC133349488	LOC116942350
OG0004109	LOC137418766	LOC133351750	PFKFB3
OG0004110	LOC137424507	LOC133351149	LOC116946884
OG0004111	LOC137418814	LOC133352296	LOC103091722
OG0004112	LOC137438362	LOC133354705	LOC116953201
OG0004113	LOC137419035	LOC133339034	LOC116937217
OG0004114	LOC137419078	LOC133343310	LOC116940455
OG0004115	LOC137424065	LOC133345549	LOC116941307
OG0004116	LOC137420542	LOC133343314	LOC116940459
OG0004117	WDR1	LOC133345611	LOC116941238
OG0004118	LOC137420587	KCNIP2	LOC116940471
OG0004119	LOC137423647	LOC133345510	LOC116941353
OG0004120	LOC137423655	LOC133345517	LOC116941344
OG0004121	LOC137420791	LOC133343363	LOC116940516
OG0004122	LOC137420967	LOC133343461	LOC116940626
OG0004123	LOC137423450	LOC133345542	LOC116941316
OG0004124	LOC137421645	LOC133343816	LOC116941931
OG0004125	LOC137420984	LOC133346476	LOC116938511
OG0004126	LOC137422084	IQGAP1	IQGAP1
OG0004127	LOC137420992	LOC133346574	LOC116939017
OG0004128	LOC137421008	LOC133346693	LOC116940297
OG0004129	LOC137436415	LOC133355149	LOC116953556
OG0004130	LOC137421664	LOC133343779	LOC116941967
OG0004131	LOC137421030	SMAD3	SMAD3
OG0004132	LOC137421100	CHRNA7	CHRNA7
OG0004133	LOC137422344	LOC133343645	LOC116942120
OG0004134	LOC137423756	LOC133345637	LOC116941209
OG0004135	LOC137421121	LOC133343565	LOC116940742
OG0004136	LOC137421428	LOC133350957	LOC116944260
OG0004137	LOC137434450	LOC133355784	LOC116954195
OG0004138	LOC137421558	LOC133349718	LOC116951932
OG0004139	LOC137425618	LOC133351945	ELAVL4
OG0004140	LOC137421640	LOC133343610	LOC116942122
OG0004141	THSD4	THSD4	THSD4
OG0004142	LOC137421663	LOC133343780	LOC116941966
OG0004143	LOC137433827	LOC133345376	LOC116955030
OG0004144	LOC137421694	LOC133343648	LOC116942150
OG0004145	PTPN9	PTPN9	PTPN9
OG0004146	LOC137421772	LOC133352927	LOC116946711
OG0004147	LOC137438679	LOC133349303	LOC116942580
OG0004148	LOC137421917	LOC133350872	LOC116951894
OG0004150	LOC137422004	LOC133343657	LOC116942090
OG0004151	LOC137433975	LOC133345974	LOC116954946
OG0004152	LOC137422006	LOC133343658	LOC116942105
OG0004153	LOC137434188	LOC133356002	LOC116955003
OG0004154	LOC137435204	LOC133339385	LOC116945775
OG0004155	LOC137422060	LOC133350978	ELMO1
OG0004156	LOC137423011	LOC133347438	LOC116950990
OG0004157	LOC137439047	LOC133349261	LOC116942691
OG0004158	LOC137423077	LOC133347440	LOC116951040
OG0004159	SGK1	LOC133353336	LOC116945231
OG0004160	LOC137432915	LOC133341860	LOC116945084
OG0004161	LOC137423078	LOC133341861	LOC116944994
OG0004162	LOC137423172	LOC133347848	USF2
OG0004163	LOC137433487	LOC133358578	LOC116957832
OG0004164	LOC137423218	MAPRE3	MAPRE3
OG0004165	LOC137438839	LOC133344130	LOC116941748
OG0004166	LOC137423224	LOC133352896	LOC116946488
OG0004167	LOC137427772	LOC133340807	LOC116957805
OG0004168	LOC137439811	LOC133355111	LOC116952928
OG0004169	LOC137423499	LOC133352464	LOC116953441
OG0004170	TEKT2	LOC133352994	LOC116946558
OG0004171	LOC137424238	LOC133353537	LOC116946170
OG0004172	LOC137429023	LOC133352524	LOC116950545
OG0004173	LOC137424564	LOC133351118	LOC116946917
OG0004174	LOC137424593	LOC133356736	LOC116952800
OG0004175	NT5DC2	NT5DC2	LOC116952370
OG0004176	LOC137433043	LOC133350568	LOC116940314
OG0004177	LOC137424699	LOC133354554	LOC116951077
OG0004178	LOC137424701	LOC133354559	LOC116951021
OG0004179	LOC137432425	LOC133350540	LOC116940339
OG0004180	LOC137437969	LOC133349915	LOC116943656
OG0004181	LOC137424746	LOC133342916	SLC25A31
OG0004182	LOC137424952	LOC133354536	LOC116951012
OG0004183	LOC137433040	LOC133350571	LOC116940312
OG0004184	LOC137434950	LOC133349360	LOC116951974
OG0004185	LOC137424966	LOC133351946	LOC116948840
OG0004186	LOC137436529	LOC133349441	SLC6A8
OG0004187	LOC137425156	LOC133356647	LOC116952664
OG0004188	LOC137425193	LOC133351846	LOC116948836
OG0004189	LOC137434989	ZSWIM5	LOC116951984
OG0004191	LOC137425332	LOC133340091	LOC116957126
OG0004192	LOC137425384	LOC133360900	LOC116957150
OG0004193	LOC137427532	LOC133353964	LOC116952550
OG0004194	LOC137425464	LOC133354429	LOC116951018
OG0004195	TLL2	LOC133350659	TLL2
OG0004196	LOC137426786	LOC133350024	LOC116943594
OG0004197	LOC137425696	LOC133343108	LOC116942849
OG0004198	LOC137437658	LOC133349985	LOC116943628
OG0004199	LOC137425711	SMARCA5	SMARCA5
OG0004200	LOC137426026	LOC133342975	LOC116942950
OG0004201	LOC137437732	GALNT7	GALNT7
OG0004202	LOC137426452	LOC133341431	LOC116947711
OG0004203	LOC137436499	LOC133352812	LOC116948365
OG0004204	LOC137436933	LOC133342284	LOC103091711
OG0004205	LOC137426566	LOC133341419	LOC116947742
OG0004206	LOC137426586	LOC133341500	LOC116947653
OG0004207	LOC137436614	LOC133356255	LOC116953936
OG0004208	LOC137426724	LOC133341319	LOC116947841
OG0004209	LOC137436370	LOC133352612	LOC116948396
OG0004210	LOC137426732	LOC133341312	LOC116947848
OG0004211	LOC137434921	LOC133346999	LOC116939379
OG0004212	LOC137426857	LOC133346766	LOC116949629
OG0004213	TRAF7	TRAF7	TRAF7
OG0004214	LOC137427024	LOC133352006	LOC116953328
OG0004215	LOC137439628	LOC133354186	LOC116952918
OG0004216	LOC137432239	LOC133351507	LOC116945562
OG0004217	LOC137427679	LOC133350184	LOC116940085
OG0004218	LOC137428089	LOC133352054	LOC116948974
OG0004219	SMARCA4	LOC133349297	LOC116951859
OG0004220	LOC137428737	LOC133340966	LOC116951683
OG0004221	LOC137428738	WDR90	WDR90
OG0004222	SHC1	LOC133359229	LOC116937808
OG0004223	LOC137429716	SHC1	LOC116953603
OG0004224	LOC137431840	LOC133346230	LOC116938745
OG0004225	LOC137430230	LOC133344771	LOC116941046
OG0004226	LOC137431392	LOC133349663	LOC116948705
OG0004227	LOC137430697	LOC133346128	CHN1
OG0004228	LOC137431605	LOC133346006	LOC116938641
OG0004229	LOC137431033	LOC133349762	LOC116948603
OG0004230	LOC137434004	LOC133345250	LOC116949124
OG0004231	LOC137431060	LOC133346194	LOC116937673
OG0004232	LOC137432421	LOC133357327	LOC116943751
OG0004233	NPEPPS	NPEPPS	NPEPPS
OG0004234	LOC137438666	LOC133349176	LOC116942585
OG0004235	LOC137432649	LOC133353251	LOC116945205
OG0004237	LOC137432724	LOC133341875	LOC116945009
OG0004238	LOC137438834	LOC133349095	LOC103091841
OG0004239	LOC137432907	LOC133353398	LOC116945202
OG0004240	LOC137439427	LOC133348730	LOC116950087
OG0004241	LOC137433026	PXN	PXN
OG0004242	LOC137437593	LOC133341363	LOC116947795
OG0004243	LOC137434109	LOC133356735	LOC116952767
OG0004244	LOC137434506	LOC133355978	LOC116954068
OG0004245	LOC137435239	LOC133340435	LOC116945961
OG0004246	LOC137434832	LOC133354795	LOC116952043
OG0004247	PHKB	PHKB	PHKB
OG0004248	LOC137435316	HTR2A	HTR2A
OG0004249	LOC137438356	LOC133357495	LOC116954537
OG0004250	LOC137435511	LOC133347356	LOC116939696
OG0004251	LOC137437451	LOC133360164	LOC116947204
OG0004252	LOC137436139	LOC133344053	LOC116941645
OG0004253	LOC137439108	LOC133349306	LOC116942640
OG0004254	LOC137437041	LOC133342441	LOC116943138
OG0004255	LOC137436425	LOC133352795	LOC116948380
OG0004256	LOC137436650	LOC133356304	LOC116954025
OG0004257	LOC137438257	LOC133352587	LOC116948262
OG0004258	LOC137437938	LOC133360507	LOC116947200
OG0004259	LOC137437017	DEGS2	DEGS2
OG0004260	LOC137437954	LOC133357657	LOC116955715
OG0004261	LOC137439700	LOC133349879	LOC116943682
OG0004262	LOC137438947	LOC133349286	LOC116942726
OG0004263	LOC137438347	LOC133349287	LOC116942727
OG0004265	CDKN1B	LOC133350285	LOC116939932
OG0004267	LOC137420564	LOC133343525	LOC116940699
OG0004268	LOC137413901	RAB6A	RAB6A
OG0004269	LOC137423280	LOC133347524	LOC116952122
OG0004270	LOC137417414	SSU72	LOC116950393
OG0004271	LOC137423938	LOC133347660	LOC116953565
OG0004272	LOC137435781	LOC133347643	LOC116953379
OG0004273	LOC137430290	LOC133347817	LOC116949695
OG0004274	LOC137433109	LOC133353865	LOC116952475
OG0004275	LOC137435005	LOC133354919	LOC116952055
OG0004276	AAAS	AAAS	AAAS
OG0004277	AACS	AACS	AACS
OG0004278	AADAT	AADAT	AADAT
OG0004279	AAMP	AAMP	AAMP
OG0004280	AARS1	AARS1	AARS1
OG0004281	AARSD1	AARSD1	AARSD1
OG0004282	AASDH	AASDH	AASDH
OG0004283	AASDHPPT	AASDHPPT	AASDHPPT
OG0004284	AATF	AATF	AATF
OG0004285	ABAT	ABAT	ABAT
OG0004286	ABCA7	LOC133349078	ABCA7
OG0004287	ABCB11	ABCB11	ABCB11
OG0004288	ABCB6	LOC133355925	ABCB6
OG0004289	ABCB8	LOC133346007	LOC116938639
OG0004290	ABCC10	ABCC10	ABCC10
OG0004291	ABCC12	ABCC5	ABCC5
OG0004292	ABCD3	ABCD3	ABCD3
OG0004293	ABCE1	ABCE1	ABCE1
OG0004294	ABCF1	ABCF1	ABCF1
OG0004295	ABCF3	ABCF3	ABCF3
OG0004296	ABCG4	ABCG4	ABCG4
OG0004297	ABHD10	ABHD10	ABHD10
OG0004298	ABHD12	ABHD12	ABHD12
OG0004299	ABHD13	ABHD13	ABHD13
OG0004300	ABHD18	ABHD18	ABHD18
OG0004301	ABHD2	ABHD2	ABHD2
OG0004302	ABHD3	LOC133353098	LOC116946638
OG0004303	ABHD8	ABHD8	LOC116942053
OG0004304	ABITRAM	ABITRAM	ABITRAM
OG0004305	ABRA	LOC133344238	LOC116941587
OG0004306	ABRACL	ABRACL	ABRACL
OG0004307	ABT1	ABT1	ABT1
OG0004308	ABTB1	ABTB1	ABTB1
OG0004309	ABTB2	ABTB2	ABTB2
OG0004310	ACAA1	ACAA1	ACAA1
OG0004311	ACAA2	ACAA2	ACAA2
OG0004312	ACADM	ACADM	ACADM
OG0004313	ACADS	ACADS	ACADS
OG0004314	ACADSB	ACADSB	LOC116941436
OG0004315	ACADVL	ACADVL	ACADVL
OG0004316	ACAP1	ACAP1	LOC116946886
OG0004317	ACAT1	ACAT1	ACAT1
OG0004318	ACBD3	ACBD3	ACBD3
OG0004319	ACBD5	LOC133345102	LOC116947546
OG0004321	ACMSD	ACMSD	ACMSD
OG0004322	ACO2	ACO2	ACO2
OG0004323	ACOT11	ACOT11	ACOT11
OG0004324	ACOT13	ACOT13	ACOT13
OG0004325	ACOT7	ACOT7	ACOT7
OG0004326	ACOT9	ACOT9	ACOT9
OG0004327	ACOX1	ACOX1	ACOX1
OG0004328	ACP1	ACP1	ACP1
OG0004329	ACP5	ACP5	ACP5
OG0004330	ACP6	LOC133347498	LOC116951892
OG0004331	ACP7	ACP7	ACP7
OG0004332	ACSS3	ACSS3	ACSS3
OG0004333	ACTR10	ACTR10	ACTR10
OG0004334	ACTR6	ACTR6	ACTR6
OG0004335	ACTR8	ACTR8	ACTR8
OG0004336	ACYP2	ACYP2	ACYP2
OG0004337	ADA	ADA	ADA
OG0004338	ADAM11	ADAM22	LOC116940781
OG0004339	ADAMTSL5	LOC133346571	ADAMTSL5
OG0004340	ADAP1	LOC133344780	LOC116949720
