OrthoSymbol	americanLobster	amphioxus	drosophila	flameJellyfish	octopus	scallop	vaseTunicate	waspSpider
OG0004402	LOC121859662	LOC136427836	O-fut1	LOC135693883	LOC106869159	LOC110460790	LOC100181584	LOC129988715
OG0004403	LOC121870954	LOC136422345	pbl	LOC135684300	LOC106881851	LOC110458381	LOC100176255	LOC129967020
OG0004409	LOC121853092	LOC136447981	Iml1	LOC135683897	LOC106883578	LOC110463088	LOC104266695	LOC129961990
OG0004410	LOC121853149	LOC136444638	CG13625	LOC135685218	LOC106871288	LOC110448803	LOC100184101	LOC129965962
OG0004411	LOC121853156	LOC136440000	TBC1D16	LOC135692203	LOC106867662	LOC110459025	LOC100183410	LOC129963268
OG0004412	LOC121853166	LOC136439605	oxt	LOC135692163	LOC106882818	LOC110449879	xt	LOC129965812
OG0004413	LOC121853179	LOC136430851	Pi4KIIalpha	LOC135695834	LOC106882174	LOC110455919	LOC100177113	LOC129980930
OG0004414	LOC121853184	LOC136447305	ATPCL	LOC135682677	LOC106879485	LOC110465532	acl	LOC129965602
OG0004415	LOC121853191	LOC136439776	eRF3	LOC135692284	LOC106870164	LOC110455656	LOC100177861	LOC129968839
OG0004416	LOC121853208	LOC136430300	CG3803	LOC135696221	LOC106876136	LOC110447338	LOC100179184	LOC129965800
OG0004419	LOC121853290	LOC136433442	CG42233	LOC135692850	LOC106875737	LOC110455940	LOC100178920	LOC129988191
OG0004420	LOC121853296	LOC136438883	Trf4-1	LOC135690710	LOC106873407	LOC110463501	LOC100183193	LOC129960153
OG0004421	LOC121853303	LOC136443576	Pex10	LOC135688238	LOC106881990	LOC110448511	LOC100185991	LOC129972167
OG0004423	LOC121853353	LOC136444839	Zir	LOC135694724	LOC106868262	LOC110461761	LOC100185115	LOC129968911
OG0004425	LOC121853401	LOC136435555	Strip	LOC135681470	LOC106874354	LOC110443338	LOC100187214	LOC129958450
OG0004426	LOC121853406	LOC136435410	CG7099	LOC135689122	LOC106867592	LOC110459559	LOC100181908	LOC129957019
OG0004427	LOC121853438	LOC136441203	CG13667	LOC135693225	LOC106873710	LOC110467430	LOC100179351	LOC129964229
OG0004428	LOC121853439	LOC136445329	DMAP1	LOC135694318	LOC106873705	LOC110456347	LOC100184322	LOC129981125
OG0004429	LOC121853441	LOC136439857	CG2906	LOC135687025	LOC106879509	LOC110447250	LOC100182901	LOC129960442
OG0004430	LOC121853446	LOC136444514	Nct	LOC135684594	LOC106874840	LOC110449068	LOC100184851	LOC129968451
OG0004431	LOC121853458	LOC136427206	Snx1	LOC135687200	LOC128249214	LOC110449270	LOC100178582	LOC129971583
OG0004432	LOC121853466	LOC136428263	DCP2	LOC135687811	LOC106870416	LOC110443156	LOC100185451	LOC129961656
OG0004433	LOC121853472	LOC136429021	sigmar	LOC135687069	LOC106878717	LOC110453741	LOC100178055	LOC129968740
OG0004434	LOC121853481	LOC136427230	Asx	LOC135689001	LOC106873380	LOC110442833	LOC100176097	LOC129962656
OG0004436	LOC121853499	LOC136434344	Abcd1	LOC135692579	LOC106871171	LOC110465166	LOC100182016	LOC129960169
OG0004437	LOC121853513	LOC136437809	fus	LOC135690728	LOC106879768	LOC110461649	LOC100181195	LOC129968598
OG0004438	LOC121853518	LOC136444870	kermit	LOC135694395	LOC106882697	LOC110442825	LOC100186863	LOC129960255
OG0004440	LOC121853532	LOC136438544	E_z	LOC135681585	LOC106874217	LOC110442389	LOC100177449	LOC129984254
OG0004441	LOC121853542	LOC136425057	CG5493	LOC135690319	LOC106883352	LOC110451032	LOC101242078	LOC129956917
OG0004442	LOC121853548	LOC136433909	boca	LOC135687673	LOC106874971	LOC110466971	LOC100178272	LOC129981383
