OrganismShortName	OrganismID	OrganismColor	AnnotationSource	ProteinSource	CMAF	NRL	MAFA	MAFB	MAFF	MAFG	MAFK	OTX1	OTX2	CRX
spider	Habronattus_gilaensis	Nonchordates	NoGenome	Denovo	spider__Unknown__TRINITY_DN44266_c0_g1_i1.p1				spider__Unknown__TRINITY_DN29467_c0_g1_i1.p1					
norwayLobster	Nephrops_norvegicus	Nonchordates	GCF Near	Denovo					norwayLobster__Unknown__TRINITY_DN602_c0_g1_i25.p1			norwayLobster__Unknown__TRINITY_DN99258_c0_g1_i1.p1,norwayLobster__Unknown__TRINITY_DN953_c2_g1_i7.p1,norwayLobster__Unknown__TRINITY_DN370_c1_g1_i2.p1		
americanLobster	Homarus_americanus	Nonchordates	GCF	Annotated					americanLobster__LOC121867327__XP_042223182.1			americanLobster__LOC121854528__XP_042205135.1,americanLobster__LOC121879871__XP_042242588.1		
drosophila	Drosophila_melanogaster	Nonchordates	GCF	Annotated	drosophila__tj__NP_001260582.1				drosophila__maf-S__NP_001286639.1			drosophila__oc__NP_001356934.1		
drosophila	Drosophila_melanogaster	Nonchordates	GCF	Denovo	drosophila__Unknown__TRINITY_DN25296_c0_g1_i2.p1				drosophila__Unknown__TRINITY_DN3038_c0_g1_i12.p1			drosophila__Unknown__TRINITY_DN1543_c0_g2_i7.p1		
plastererBee	Colletes_gigas	Nonchordates	GCF	Annotated	plastererBee__LOC122403542__XP_043263048.1				plastererBee__LOC122396420__XP_043250725.1			plastererBee__LOC122399790__XP_043256686.1,plastererBee__LOC122399734__XP_043256577.1		
acornWorm	Saccoglossus_kowalevskii	Nonchordates	GCF	Annotated	acornWorm__maf-like__NP_001164706.1							acornWorm__otx__NP_001158360.1		
seaurchin	Lytechinus_variegatus	Nonchordates	GCF	Annotated								seaurchin__LOC121418261__XP_041467961.1,seaurchin__LOC121407968__XP_041455186.1		
echinoderm	Anneissia_japonica	Nonchordates	GCF	Annotated	echinoderm__LOC117114910__XP_033114416.1							echinoderm__LOC117107729__XP_033105362.1,echinoderm__LOC117119230__XP_033119929.1		
amphioxus	Branchiostoma_floridae	Protochordates	GCF	Annotated	amphioxus__LOC136438471__XP_066289367.1							amphioxus__LOC136433338__XP_066281542.1		
amphioxus	Branchiostoma_floridae	Protochordates	GCF	Denovo	Amy_Amphi,amphioxus__Unknown__TRINITY_DN2837_c0_g1_i3.p1				amphioxus__Unknown__TRINITY_DN5051_c0_g1_i9.p1			amphioxus__Unknown__TRINITY_DN154777_c0_g1_i1.p1,amphioxus__Unknown__TRINITY_DN10165_c0_g1_i8.p1		
vaseTunicate	Ciona_intestinalis	Protochordates	GCF	Annotated					vaseTunicate__LOC778757__NP_001071818.1			vaseTunicate__otx2__NP_001027662.2		
vaseTunicate	Ciona_intestinalis	Protochordates	GCF	Denovo	vaseTunicate__Unknown__TRINITY_DN8422_c0_g1_i2.p1				vaseTunicate__Unknown__TRINITY_DN1083_c0_g1_i4.p1,Amy_Tunicate			vaseTunicate__Unknown__TRINITY_DN3750_c0_g1_i1.p1		
seaSquirt	Styela_clava	Protochordates	GCF	Annotated					seaSquirt__LOC120347869__XP_039273915.1,seaSquirt__LOC120331304__XP_039254309.1			seaSquirt__LOC120326315__XP_039248511.1		
atlanticHagfish	Myxine_glutinosa	Agnathans (hagfish and lampreys)	GCF	Annotated		hagfish_MyxGlu_XP_067985303.1,hagfish_MyxGlu_XP_067985302.1		hagfish_MyxGlu_XP_067963301.1						
broadgilledHagfish	Eptatretus_cirrhatus	Agnathans (hagfish and lampreys)	NoGenome	Denovo		EPCI4_TRINITY_DN2198_c0_g1_i8.p1,EPCI4_TRINITY_DN2198_c0_g1_i15.p1			broadgilledHagfish__Unknown__TRINITY_DN2165_c0_g1_i4.p1			broadgilledHagfish__Unknown__TRINITY_DN14002_c1_g1_i2.p2,broadgilledHagfish__Unknown__TRINITY_DN74_c12_g1_i2.p1,broadgilledHagfish__Unknown__TRINITY_DN74_c1_g1_i3.p1,broadgilledHagfish__Unknown__TRINITY_DN1106_c1_g1_i2.p1	broadgilledHagfish__Unknown__TRINITY_DN74_c0_g1_i1.p1	
pouchedLamprey	Geotria_australis	Agnathans (hagfish and lampreys)	GCA	Denovo		pouchedLamprey__Unknown__TRINITY_DN6656_c0_g2_i2.p2		pouchedLamprey__Unknown__TRINITY_DN4424_c2_g1_i1.p2				pouchedLamprey__Unknown__TRINITY_DN7103_c1_g1_i1.p2,pouchedLamprey__Unknown__TRINITY_DN1833_c0_g1_i24.p2		
shortheadLamprey	Mordacia_mordax	Agnathans (hagfish and lampreys)	GCA	Denovo		shortheadLamprey__Unknown__TRINITY_DN10608_c0_g1_i1.p2				shortheadLamprey__Unknown__TRINITY_DN86006_c0_g1_i1.p1		shortheadLamprey__Unknown__TRINITY_DN945_c4_g1_i1.p1		
seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	GCF	Annotated		lamprey_PetMar_XP_032816146.1,lamprey_PetMar_XP_032830443.1		lamprey_PetMar_XP_032813639.1						
seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	GCF	Denovo	seaLamprey__Unknown__TRINITY_DN7178_c1_g1_i1.p1	seaLamprey__Unknown__TRINITY_DN143252_c0_g2_i1.p1,seaLamprey__Unknown__TRINITY_DN80874_c0_g1_i1.p1			seaLamprey__Unknown__TRINITY_DN48567_c2_g2_i1.p2	seaLamprey__Unknown__TRINITY_DN48567_c2_g1_i1.p3		seaLamprey__Unknown__TRINITY_DN1391_c0_g1_i6.p1	seaLamprey__Unknown__TRINITY_DN18384_c0_g1_i3.p1	seaLamprey__Unknown__TRINITY_DN280600_c0_g1_i1.p1
fareasternBrookLamprey	Lethenteron_reissneri	Agnathans (hagfish and lampreys)	GCF	Annotated		lamprey_LetRei_XP_061404357.1,lamprey_LetRei_XP_061404356.1								
arcticLamprey	Lethenteron_camtschaticum	Agnathans (hagfish and lampreys)	GCF Near	Denovo								arcticLamprey__Unknown__TRINITY_DN558_c1_g2_i1.p2,arcticLamprey__Unknown__TRINITY_DN2921_c0_g1_i6.p1		
bluespottedStingray	Neotrygon_kuhlii	Cartilaginous fishes	GCF Near	Denovo				bluespottedStingray__Unknown__TRINITY_DN1087_c0_g1_i1.p2		bluespottedStingray__Unknown__TRINITY_DN3460_c0_g2_i1.p1	bluespottedStingray__Unknown__TRINITY_DN6273_c7_g1_i1.p1	bluespottedStingray__Unknown__TRINITY_DN8755_c0_g1_i1.p1	bluespottedStingray__Unknown__TRINITY_DN5071_c0_g1_i9.p1	bluespottedStingray__Unknown__TRINITY_DN20_c12_g1_i3.p2
redStingray	Hemitrygon_akajei	Cartilaginous fishes	GCF	Annotated	redStingray__LOC140740842__XP_072926494.1		redStingray__mafaa__XP_072904721.1	redStingray__mafba__XP_072918127.1	redStingray__LOC140719078__XP_072889555.1	redStingray__mafga__XP_072882308.1	redStingray__mafk__XP_072917087.1	redStingray__otx1__XP_072907299.1	redStingray__otx2b__XP_072896008.1	
catshark	Scyliorhinus_torazame	Cartilaginous fishes	GCF	Annotated	catshark__mafa__XP_072373938.1		catshark__mafaa__XP_072324324.1	catshark__LOC140428545__XP_072371246.1	catshark__LOC140403927__XP_072348285.1	catshark__LOC140395576__XP_072339627.1	catshark__mafk__XP_072337129.1	catshark__otx1__XP_072363412.1	catshark__otx2b__XP_072345682.1	catshark__LOC140402323__XP_072346133.1
catshark	Scyliorhinus_torazame	Cartilaginous fishes	GCF	Denovo			catshark__Unknown__TRINITY_DN50368_c1_g1_i1.p1	catshark__Unknown__TRINITY_DN7538_c0_g1_i1.p2,catshark__Unknown__TRINITY_DN58144_c0_g1_i1.p2	catshark__Unknown__TRINITY_DN3246_c0_g1_i1.p1,catshark__Unknown__TRINITY_DN33891_c0_g1_i1.p1	catshark__Unknown__TRINITY_DN86925_c0_g1_i1.p1		catshark__Unknown__TRINITY_DN1816_c0_g1_i1.p1	catshark__Unknown__TRINITY_DN85832_c0_g1_i1.p1	catshark__Unknown__TRINITY_DN1784_c0_g1_i1.p1
reefShark	Carcharhinus_amblyrhynchos	Cartilaginous fishes	GCF Near	Denovo			reefShark__Unknown__TRINITY_DN17848_c0_g1_i1.p2	reefShark__Unknown__TRINITY_DN21881_c0_g1_i5.p2	reefShark__Unknown__TRINITY_DN42538_c0_g1_i2.p1	reefShark__Unknown__TRINITY_DN7961_c0_g1_i1.p1	reefShark__Unknown__TRINITY_DN9238_c0_g2_i2.p1	reefShark__Unknown__TRINITY_DN7936_c0_g1_i1.p1	reefShark__Unknown__TRINITY_DN3752_c0_g1_i9.p1	reefShark__Unknown__TRINITY_DN2645_c0_g1_i1.p1,reefShark__Unknown__TRINITY_DN27_c5_g1_i2.p1
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	GCF	Annotated	bambooShark__mafa__XP_072451968.1		bambooShark__mafaa__XP_072426116.1	bambooShark__LOC140462900__XP_072412445.1	bambooShark__LOC140488943__XP_072444262.1	bambooShark__LOC140464029__XP_072414753.1	bambooShark__mafk__XP_072415341.1	bambooShark__otx1__XP_072437691.1	bambooShark__otx2b__XP_072424894.1	bambooShark__LOC140454601__XP_072405569.1
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	GCF	Denovo	bambooShark__Unknown__TRINITY_DN2442_c8_g1_i1.p1,bambooShark__Unknown__TRINITY_DN8580_c1_g1_i4.p1		bambooShark__Unknown__TRINITY_DN49467_c0_g1_i1.p2	bambooShark__Unknown__TRINITY_DN510_c3_g5_i3.p1	bambooShark__Unknown__TRINITY_DN10530_c0_g1_i1.p1	bambooShark__Unknown__TRINITY_DN94201_c0_g1_i4.p1	bambooShark__Unknown__TRINITY_DN9476_c6_g1_i1.p1	bambooShark__Unknown__TRINITY_DN74477_c0_g1_i2.p1	bambooShark__Unknown__TRINITY_DN1700_c1_g2_i7.p1	bambooShark__Unknown__TRINITY_DN174_c0_g2_i7.p1
nurseShark	Ginglymostoma_cirratum	Cartilaginous fishes	GCF Near	Denovo	nurseShark__Unknown__TRINITY_DN13088_c0_g1_i1.p1,nurseShark__Unknown__TRINITY_DN7377_c0_g1_i1.p1			nurseShark__Unknown__TRINITY_DN1428_c5_g1_i3.p1		nurseShark__Unknown__TRINITY_DN90521_c0_g1_i2.p1	nurseShark__Unknown__TRINITY_DN571_c0_g2_i2.p1	nurseShark__Unknown__TRINITY_DN24680_c0_g1_i1.p1,nurseShark__Unknown__TRINITY_DN3114_c0_g1_i7.p1	nurseShark__Unknown__TRINITY_DN1882_c0_g1_i8.p1	nurseShark__Unknown__TRINITY_DN396_c4_g1_i7.p1
zebraShark	Stegostoma_tigrinum	Cartilaginous fishes	GCF	Annotated	zebraShark__LOC125460078__XP_048403134.2		zebraShark__mafaa__XP_048385419.1	zebraShark__LOC125461481__XP_048406268.1	zebraShark__LOC125447181__XP_048377337.1	zebraShark__LOC125463828__XP_048411544.1	zebraShark__mafk__XP_048408027.1	zebraShark__otx1__XP_048391779.1	zebraShark__otx2b__XP_048394529.1	zebraShark__LOC125447748__XP_048378383.1
whaleShark	Rhincodon_typus	Cartilaginous fishes	GCF	Annotated	whaleShark__mafa__XP_048462041.1		whaleShark__LOC109920499__XP_020376119.1	whaleShark__LOC109915489__XP_048464344.1	whaleShark__LOC109925329__XP_048473543.1	whaleShark__LOC125481030__XP_048466689.1	whaleShark__mafk__XP_020382141.1	whaleShark__otx1__XP_048457470.1	whaleShark__otx2b__XP_020382934.1	whaleShark__LOC109936750__XP_048474331.1
bowfin	Amia_calva	Non-teleost ray-finned fishes	GCF Near	Denovo	bowfin__Unknown__TRINITY_DN10945_c0_g1_i2.p1	bowfin__Unknown__TRINITY_DN4469_c0_g1_i1.p1		bowfin__Unknown__TRINITY_DN13789_c0_g1_i1.p1	bowfin__Unknown__TRINITY_DN3926_c0_g1_i2.p1	bowfin__Unknown__TRINITY_DN39931_c0_g1_i1.p1		bowfin__Unknown__TRINITY_DN815_c0_g1_i2.p1	bowfin__Unknown__TRINITY_DN10178_c0_g1_i6.p1	bowfin__Unknown__TRINITY_DN692_c4_g2_i1.p1
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	GCF	Annotated	spottedGar__mafa__XP_006641197.2	spottedGar__nrl__XP_069044909.1	spottedGar__mafaa__XP_069047236.1	spottedGar__mafba__XP_006639587.2	spottedGar__maff__XP_069053156.1	spottedGar__mafgb__XP_006635210.2	spottedGar__mafk__XP_015215295.1	spottedGar__otx1__XP_006638669.2	spottedGar__otx2b__XP_006632284.1	spottedGar__LOC102686928__XP_069042592.1
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	GCF	Denovo	spottedGar__Unknown__TRINITY_DN4874_c0_g1_i3.p2	spottedGar__Unknown__TRINITY_DN95_c2_g2_i2.p1	spottedGar__Unknown__TRINITY_DN10751_c0_g1_i1.p1	spottedGar__Unknown__TRINITY_DN3773_c0_g1_i1.p1	spottedGar__Unknown__TRINITY_DN5067_c0_g1_i2.p1	spottedGar__Unknown__TRINITY_DN5067_c0_g2_i5.p1	spottedGar__Unknown__TRINITY_DN29427_c0_g1_i34.p1	spottedGar__Unknown__TRINITY_DN110_c4_g1_i6.p1	spottedGar__Unknown__TRINITY_DN1707_c0_g1_i5.p1	spottedGar__Unknown__TRINITY_DN435_c1_g1_i5.p1
floridaGar	Lepisosteus_platyrhincus	Non-teleost ray-finned fishes	GCF Near	Denovo	floridaGar__Unknown__TRINITY_DN46121_c0_g1_i1.p1	floridaGar__Unknown__TRINITY_DN1_c7_g1_i1.p1		floridaGar__Unknown__TRINITY_DN764_c0_g1_i1.p1	floridaGar__Unknown__TRINITY_DN10496_c0_g4_i2.p2			floridaGar__Unknown__TRINITY_DN7066_c0_g2_i2.p1,floridaGar__Unknown__TRINITY_DN7066_c0_g1_i1.p1	floridaGar__Unknown__TRINITY_DN3169_c0_g1_i2.p1	floridaGar__Unknown__TRINITY_DN16_c0_g2_i3.p1
eel	Gymnothorax_saxicola	Teleost ray-finned fishes	NoGenome	Denovo	eel__Unknown__TRINITY_DN465_c2_g1_i1.p1,eel__Unknown__TRINITY_DN16734_c0_g2_i1.p2,eel__Unknown__TRINITY_DN49631_c1_g1_i1.p1	eel__Unknown__TRINITY_DN1472_c1_g1_i7.p1,eel__Unknown__TRINITY_DN125207_c0_g1_i1.p1,eel__Unknown__TRINITY_DN33521_c0_g2_i7.p1	eel__Unknown__TRINITY_DN84209_c0_g2_i1.p1,eel__Unknown__TRINITY_DN22962_c0_g1_i1.p2	eel__Unknown__TRINITY_DN32077_c0_g1_i1.p1,eel__Unknown__TRINITY_DN22962_c0_g3_i1.p2,eel__Unknown__TRINITY_DN20670_c0_g2_i1.p1,eel__Unknown__TRINITY_DN10285_c0_g1_i4.p1	eel__Unknown__TRINITY_DN14911_c0_g1_i1.p2,eel__Unknown__TRINITY_DN17_c1_g1_i4.p1	eel__Unknown__TRINITY_DN16734_c0_g1_i7.p2	eel__Unknown__TRINITY_DN65844_c1_g1_i1.p1,eel__Unknown__TRINITY_DN24239_c0_g1_i6.p1			eel__Unknown__TRINITY_DN9142_c0_g1_i3.p1,eel__Unknown__TRINITY_DN598_c0_g1_i10.p1
zebrafish	Danio_rerio	Teleost ray-finned fishes	GCF	Annotated	zebrafish__mafb__NP_001303598.2,zebrafish__mafa__XP_021323247.1	zebrafish__nrl__NP_001035421.1	zebrafish__mafaa__NP_001076409.1	zebrafish__mafba__NP_571090.2	zebrafish__maff__NP_956630.1	zebrafish__mafgb__XP_005169479.2,zebrafish__mafga__XP_021325832.2	zebrafish__mafk__XP_005164260.1	zebrafish__otx1__NP_571325.2,zebrafish__otx2a__NP_571290.1		zebrafish__crx__NP_694419.1,zebrafish__otx5__NP_851848.2
zebrafish	Danio_rerio	Teleost ray-finned fishes	GCF	Denovo	zebrafish__Unknown__TRINITY_DN15784_c0_g1_i1.p1,zebrafish__Unknown__TRINITY_DN9981_c0_g1_i1.p2	zebrafish__Unknown__TRINITY_DN112_c2_g1_i21.p1	zebrafish__Unknown__TRINITY_DN52277_c0_g1_i1.p1	zebrafish__Unknown__TRINITY_DN13437_c0_g1_i1.p1,zebrafish__Unknown__TRINITY_DN3154_c0_g1_i1.p2,zebrafish__Unknown__TRINITY_DN85309_c0_g1_i1.p1	zebrafish__Unknown__TRINITY_DN24357_c0_g1_i1.p2		zebrafish__Unknown__TRINITY_DN71006_c0_g1_i1.p2	zebrafish__Unknown__TRINITY_DN26423_c0_g1_i1.p1,zebrafish__Unknown__TRINITY_DN25331_c0_g1_i2.p1	zebrafish__Unknown__TRINITY_DN3855_c0_g1_i5.p1	zebrafish__Unknown__TRINITY_DN1357_c3_g1_i2.p1,zebrafish__Unknown__TRINITY_DN2115_c0_g2_i1.p1
grassCarp	Ctenopharyngodon_idella	Teleost ray-finned fishes	GCF	Annotated	grassCarp__mafa__XP_051727005.1,grassCarp__mafb__XP_051739567.1	grassCarp__nrl__XP_051731548.1	grassCarp__mafaa__XP_051754161.1	grassCarp__mafba__XP_051736520.1	grassCarp__maff__XP_051771291.1	grassCarp__mafga__XP_051743368.1,grassCarp__mafgb__XP_051767641.1	grassCarp__mafk__XP_051742255.1	grassCarp__otx1__XP_051725101.1,grassCarp__otx2a__XP_051764913.1		grassCarp__crx__XP_051750357.1,grassCarp__otx5__XP_051718509.1
channelCatfish	Ictalurus_punctatus	Teleost ray-finned fishes	GCF	Annotated	channelCatfish__mafb__XP_047015791.1,channelCatfish__mafa__XP_017322189.1	channelCatfish__nrl__XP_053541635.1	channelCatfish__mafaa__XP_053539678.1	channelCatfish__mafba__XP_017343290.1	channelCatfish__maff__XP_017339225.1	channelCatfish__mafgb__XP_017333948.1,channelCatfish__mafga__XP_053530046.1	channelCatfish__mafk__XP_017310124.1	channelCatfish__otx1__XP_017330959.1,channelCatfish__otx2a__XP_017312368.1		channelCatfish__crx__XP_017315072.1,channelCatfish__otx5__XP_017345917.1
yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	GCF	Annotated	yangtzeCatfish__mafb__XP_046715288.1,yangtzeCatfish__mafa__XP_046721024.1	yangtzeCatfish__nrl__XP_046729803.1	yangtzeCatfish__mafaa__XP_046709800.1	yangtzeCatfish__mafba__XP_046725730.1	yangtzeCatfish__maff__XP_046709373.1	yangtzeCatfish__mafga__XP_046721846.1,yangtzeCatfish__mafgb__XP_046713108.1	yangtzeCatfish__mafk__XP_046690455.1	yangtzeCatfish__otx1__XP_046711104.1,yangtzeCatfish__otx2a__XP_046693058.1		yangtzeCatfish__crx__XP_046695462.1,yangtzeCatfish__otx5__XP_046719411.1
yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	GCF	Denovo	yangtzeCatfish__Unknown__TRINITY_DN9366_c1_g2_i1.p1,yangtzeCatfish__Unknown__TRINITY_DN9366_c1_g1_i1.p2	yangtzeCatfish__Unknown__TRINITY_DN2946_c1_g1_i1.p1		yangtzeCatfish__Unknown__TRINITY_DN5320_c4_g1_i1.p1	yangtzeCatfish__Unknown__TRINITY_DN8217_c0_g3_i7.p2	yangtzeCatfish__Unknown__TRINITY_DN6074_c0_g1_i4.p1		yangtzeCatfish__Unknown__TRINITY_DN89400_c0_g1_i1.p1,yangtzeCatfish__Unknown__TRINITY_DN6440_c1_g1_i1.p1	yangtzeCatfish__Unknown__TRINITY_DN1212_c2_g1_i1.p1,yangtzeCatfish__Unknown__TRINITY_DN5902_c0_g2_i1.p1,yangtzeCatfish__Unknown__TRINITY_DN425_c4_g1_i2.p1	yangtzeCatfish__Unknown__TRINITY_DN418_c0_g3_i7.p1
piranha	Pygocentrus_nattereri	Teleost ray-finned fishes	GCF	Annotated	piranha__mafb__XP_017554927.1,piranha__mafa__XP_017564729.1	piranha__nrl__XP_017553181.1	piranha__mafaa__XP_017577129.1	piranha__mafba__XP_017553718.1	piranha__maff__XP_017560970.1	piranha__mafga__XP_017569580.1,piranha__mafgb__XP_037400945.1	piranha__mafk__XP_017562994.1	piranha__otx1__XP_017560465.1,piranha__otx2a__XP_017572022.1		piranha__otx5__XP_017578892.1,piranha__crx__XP_017569370.1
northernPike	Esox_lucius	Teleost ray-finned fishes	GCF	Annotated	northernPike__mafa__XP_019895967.1,northernPike__LOC105022181__XP_010888682.1	northernPike__nrl__XP_010870577.1	northernPike__mafaa__XP_010870766.1	northernPike__mafbb__XP_010880215.1,northernPike__mafba__XP_019907591.2	northernPike__maff__XP_010893859.1	northernPike__LOC105013039__XP_010872589.1,northernPike__mafgb__XP_028978188.1	northernPike__mafk__XP_010872892.1	northernPike__otx1__XP_010865940.1,northernPike__LOC105021530__XP_019905224.2		northernPike__otx5__XP_010896957.3,northernPike__crx__XP_010869096.1
northernPike	Esox_lucius	Teleost ray-finned fishes	GCF	Denovo	northernPike__Unknown__TRINITY_DN5726_c0_g1_i3.p3,northernPike__Unknown__TRINITY_DN5580_c2_g2_i1.p1	northernPike__Unknown__TRINITY_DN451_c0_g1_i12.p1	northernPike__Unknown__TRINITY_DN18254_c0_g1_i1.p1	northernPike__Unknown__TRINITY_DN114276_c0_g1_i1.p1,northernPike__Unknown__TRINITY_DN4145_c2_g1_i2.p1	northernPike__Unknown__TRINITY_DN2890_c0_g2_i2.p2	northernPike__Unknown__TRINITY_DN36679_c0_g1_i1.p1,northernPike__Unknown__TRINITY_DN2890_c0_g5_i1.p1	northernPike__Unknown__TRINITY_DN9584_c0_g1_i5.p1	northernPike__Unknown__TRINITY_DN13539_c0_g1_i2.p1,northernPike__Unknown__TRINITY_DN7752_c0_g2_i2.p1	northernPike__Unknown__TRINITY_DN37611_c1_g1_i3.p1	northernPike__Unknown__TRINITY_DN508_c2_g1_i2.p1,northernPike__Unknown__TRINITY_DN508_c0_g1_i1.p1
lanternFish	Electrona_risso	Teleost ray-finned fishes	NoGenome	Denovo										lanternFish__Unknown__TRINITY_DN32251_c0_g1_i1.p1,lanternFish__Unknown__TRINITY_DN576_c0_g1_i3.p1
cod	Gadus_morhua	Teleost ray-finned fishes	GCF	Annotated	cod__mafa__XP_030233636.1	cod__nrl__XP_030229459.1	cod__mafaa__XP_030229457.1	cod__mafbb__XP_030229769.1,cod__mafba__XP_030211285.1	cod__LOC115531400__XP_074930269.1	cod__LOC115539323__XP_030206232.1,cod__mafgb__XP_030208298.1	cod__mafk__XP_030206167.1	cod__otx1__XP_030235839.1,cod__LOC115539721__XP_030206357.1		cod__crx__XP_030218380.1,cod__LOC115528900__XP_030193154.1
cod	Gadus_morhua	Teleost ray-finned fishes	GCF	Denovo		cod__Unknown__TRINITY_DN200_c1_g1_i3.p1		cod__Unknown__TRINITY_DN342_c1_g1_i1.p1					cod__Unknown__TRINITY_DN5496_c0_g2_i1.p1	cod__Unknown__TRINITY_DN528_c1_g1_i1.p1,cod__Unknown__TRINITY_DN88_c1_g1_i2.p1
tuna	Thunnus_albacares	Teleost ray-finned fishes	GCF	Annotated	tuna__mafa__XP_044203536.1,tuna__mafb__XP_044212074.1	tuna__nrl__XP_044216424.1	tuna__mafaa__XP_044217031.1	tuna__mafbb__XP_044204647.1,tuna__mafba__XP_044207803.1	tuna__maff__XP_044193825.1	tuna__mafgb__XP_044202054.1,tuna__LOC122966582__XP_044186748.1	tuna__mafk__XP_044186196.1	tuna__otx1__XP_044229764.1,tuna__LOC122976959__XP_044201435.1		tuna__crx__XP_044225469.1,tuna__LOC122983364__XP_044208999.1
tuna	Thunnus_albacares	Teleost ray-finned fishes	GCF	Denovo		tuna__Unknown__TRINITY_DN53792_c0_g1_i1.p1,tuna__Unknown__TRINITY_DN3893_c0_g1_i1.p1		tuna__Unknown__TRINITY_DN10768_c0_g1_i1.p1,tuna__Unknown__TRINITY_DN4544_c0_g1_i1.p1	tuna__Unknown__TRINITY_DN2230_c0_g3_i1.p1	tuna__Unknown__TRINITY_DN45236_c0_g1_i1.p1	tuna__Unknown__TRINITY_DN33611_c0_g1_i1.p1			tuna__Unknown__TRINITY_DN2224_c0_g1_i1.p1,tuna__Unknown__TRINITY_DN14777_c0_g1_i1.p1
snakeheadFish	Channa_argus	Teleost ray-finned fishes	GCF	Annotated	snakeheadFish__mafa__XP_067343238.1,snakeheadFish__LOC137125426__XP_067356963.1	snakeheadFish__nrl__XP_067370542.1	snakeheadFish__mafaa__XP_067370396.1	snakeheadFish__LOC137127917__XP_067361581.1,snakeheadFish__mafba__XP_067383503.1	snakeheadFish__maff__XP_067343664.1	snakeheadFish__LOC137099843__XP_067333265.1,snakeheadFish__mafgb__XP_067354826.1	snakeheadFish__mafk__XP_067332667.1	snakeheadFish__otx1__XP_067369269.1,snakeheadFish__LOC137124486__XP_067355659.1		snakeheadFish__crx__XP_067350591.1,snakeheadFish__LOC137129553__XP_067364930.1
