OrganismShortName	SpeciesGroup	GeneGroup	ProteinID
blindMoleRat	mammal	MAFA	blindMoleRat__Mafa__XP_008832750.1
brownRat	mammal	MAFA	brownRat__Mafa__NP_001386702.1
cat	mammal	MAFA	cat__MAFA__XP_023104341.2
cow	mammal	MAFA	cow__MAFA__XP_059730327.1
crabMacaque	mammal	MAFA	crabMacaque__MAFA__XP_015310804.3
daubentonBat	mammal	MAFA	daubentonBat__MAFA__XP_059528455.1
deerMouse	mammal	MAFA	deerMouse__Mafa__XP_076412222.1
dog	mammal	MAFA	dog__MAFA__XP_038411032.1
egyptianBat	mammal	MAFA	egyptianBat__MAFA__XP_015994715.2
europeanHedgehog	mammal	MAFA	europeanHedgehog__MAFA__XP_007516052.1
ferret	mammal	MAFA	ferret__MAFA__XP_044930139.1
gerbil	mammal	MAFA	gerbil__Mafa__XP_021515761.1
grassMouse	mammal	MAFA	grassMouse__Mafa__Mafa-T1
groundSquirrel	mammal	MAFA	groundSquirrel__Mafa__XP_005316155.1
guineapig	mammal	MAFA	guineapig__Mafa__XP_005008726.2
hamster	mammal	MAFA	hamster__Mafa__XP_005086026.1
horse	mammal	MAFA	horse__MAFA__XP_023504885.1
human	mammal	MAFA	human__MAFA__NP_963883.2
labMouse	mammal	MAFA	labMouse__Mafa__NP_919331.1
marmoset	mammal	MAFA	marmoset__MAFA__XP_008981332.2
minkeWhale	mammal	MAFA	minkeWhale__MAFA__XP_057388115.1
nancymaMonkey	mammal	MAFA	nancymaMonkey__MAFA__XP_021527743.2
oliveBaboon	mammal	MAFA	oliveBaboon__MAFA__XP_003919735.1
opossum	mammal	MAFA	opossum__MAFA__XP_056678923.1
pig	mammal	MAFA	pig__MAFA__XP_020946195.1
platypus	mammal	MAFA	platypus__MAFA__XP_007656620.2
rhesusMacaque	mammal	MAFA	rhesusMacaque__MAFA__XP_015001613.2
roundleafBat	mammal	MAFA	roundleafBat__MAFA__XP_019513343.1
sacwingedBat	mammal	MAFA	sacwingedBat__MAFA__XP_066121610.1
sandRat	mammal	MAFA	sandRat__Mafa__XP_055482483.1
sheep	mammal	MAFA	sheep__MAFA__XP_027829230.1
treeShrew	mammal	MAFA	treeShrew__MAFA__TSDBTID.8045.1
blindMoleRat	mammal	MAFB	blindMoleRat__Mafb__XP_008847806.1
brownRat	mammal	MAFB	brownRat__Mafb__NP_062189.1
cat	mammal	MAFB	cat__MAFB__XP_023107022.1
cow	mammal	MAFB	cow__MAFB__XP_002692508.1
crabMacaque	mammal	MAFB	crabMacaque__MAFB__XP_045218909.1
daubentonBat	mammal	MAFB	daubentonBat__MAFB__XP_059563059.1
deerMouse	mammal	MAFB	deerMouse__Mafb__XP_015854992.2
dog	mammal	MAFB	dog__MAFB__XP_038427303.1
egyptianBat	mammal	MAFB	egyptianBat__MAFB__XP_015993032.1
europeanHedgehog	mammal	MAFB	europeanHedgehog__MAFB__XP_007521706.2
ferret	mammal	MAFB	ferret__MAFB__XP_012908766.2
gerbil	mammal	MAFB	gerbil__Mafb__XP_021500039.1
grassMouse	mammal	MAFB	grassMouse__Mafb__Mafb-T1
groundSquirrel	mammal	MAFB	groundSquirrel__Mafb__XP_005329891.1
guineapig	mammal	MAFB	guineapig__Mafb__XP_005002829.1
hamster	mammal	MAFB	hamster__Mafb__XP_005082705.2
horse	mammal	MAFB	horse__MAFB__XP_023482332.1
human	mammal	MAFB	human__MAFB__NP_005452.2
labMouse	mammal	MAFB	labMouse__Mafb__NP_034788.1
marmoset	mammal	MAFB	marmoset__MAFB__XP_002747609.1
minkeWhale	mammal	MAFB	minkeWhale__MAFB__XP_057386227.1
nancymaMonkey	mammal	MAFB	nancymaMonkey__MAFB__XP_012310439.2
oliveBaboon	mammal	MAFB	oliveBaboon__MAFB__XP_003904790.1
opossum	mammal	MAFB	opossum__MAFB__XP_007474403.2
pig	mammal	MAFB	pig__MAFB__XP_013840831.2
platypus	mammal	MAFB	platypus__MAFB__XP_028926613.1
rhesusMacaque	mammal	MAFB	rhesusMacaque__MAFB__XP_001101624.3
roundleafBat	mammal	MAFB	roundleafBat__MAFB__XP_019492655.1
sacwingedBat	mammal	MAFB	sacwingedBat__MAFB__XP_066091476.1
sandRat	mammal	MAFB	sandRat__Mafb__XP_055458414.1
sheep	mammal	MAFB	sheep__MAFB__XP_012044596.3
treeShrew	mammal	MAFB	treeShrew__MAFB__TSDBTID.5231.1
blindMoleRat	mammal	NRL	blindMoleRat__Nrl__XP_008838065.1
brownRat	mammal	NRL	brownRat__Nrl__NP_001099506.1
cat	mammal	NRL	cat__NRL__XP_023111367.1
cow	mammal	NRL	cow__NRL__XP_010807337.1
crabMacaque	mammal	NRL	crabMacaque__NRL__XP_065403554.1
daubentonBat	mammal	NRL	daubentonBat__NRL__XP_059564454.1
deerMouse	mammal	NRL	deerMouse__Nrl__XP_006988587.1
dog	mammal	NRL	dog__NRL__XP_038399950.1
egyptianBat	mammal	NRL	egyptianBat__NRL__XP_015976087.1
europeanHedgehog	mammal	NRL	europeanHedgehog__NRL__XP_016049314.2
ferret	mammal	NRL	ferret__NRL__XP_004755334.1
gerbil	mammal	NRL	gerbil__Nrl__XP_060247157.1
grassMouse	mammal	NRL	grassMouse__Nrl__Nrl-T1
groundSquirrel	mammal	NRL	groundSquirrel__Nrl__XP_040131621.1
guineapig	mammal	NRL	guineapig__Nrl__NP_001166521.1
hamster	mammal	NRL	hamster__Nrl__XP_005085649.1
horse	mammal	NRL	horse__NRL__XP_001491313.1
human	mammal	NRL	human__NRL__NP_001341697.1
human	mammal	NRL	human__NRL__XP_054188315.1
labMouse	mammal	NRL	labMouse__Nrl__NP_032762.1
marmoset	mammal	NRL	marmoset__NRL__XP_035116064.1
minkeWhale	mammal	NRL	minkeWhale__NRL__XP_007180659.1
nancymaMonkey	mammal	NRL	nancymaMonkey__NRL__XP_064230808.1
oliveBaboon	mammal	NRL	oliveBaboon__NRL__XP_009209537.1
opossum	mammal	NRL	opossum__NRL__XP_056666074.1
pig	mammal	NRL	pig__NRL__XP_001925889.3
platypus	mammal	NRL	platypus__NRL__XP_028934270.1
rhesusMacaque	mammal	NRL	rhesusMacaque__NRL__XP_028707272.1
roundleafBat	mammal	NRL	roundleafBat__NRL__XP_019518658.1
sacwingedBat	mammal	NRL	sacwingedBat__NRL__XP_066133605.1
sandRat	mammal	NRL	sandRat__Nrl__XP_055473835.1
sheep	mammal	NRL	sheep__NRL__XP_042108879.1
treeShrew	mammal	NRL	treeShrew__NRL__TSDBTID.22451.1
blindMoleRat	mammal	MAFF	blindMoleRat__Maff__XP_008849486.1
brownRat	mammal	MAFF	brownRat__Maff__NP_001124045.1
cat	mammal	MAFF	cat__MAFF__XP_023113493.1
cow	mammal	MAFF	cow__MAFF__XP_024847998.1
crabMacaque	mammal	MAFF	crabMacaque__MAFF__XP_005567368.3
daubentonBat	mammal	MAFF	daubentonBat__MAFF__XP_059537548.1
deerMouse	mammal	MAFF	deerMouse__Maff__XP_006979206.1
dog	mammal	MAFF	dog__MAFF__XP_038407500.1
egyptianBat	mammal	MAFF	egyptianBat__MAFF__XP_036093375.1
europeanHedgehog	mammal	MAFF	europeanHedgehog__MAFF__XP_060044945.1
ferret	mammal	MAFF	ferret__MAFF__XP_004743278.1
gerbil	mammal	MAFF	gerbil__Maff__XP_021517277.2
grassMouse	mammal	MAFF	grassMouse__Maff__Maff-T1
groundSquirrel	mammal	MAFF	groundSquirrel__Maff__XP_005322482.1
guineapig	mammal	MAFF	guineapig__Maff__XP_063099865.1
hamster	mammal	MAFF	hamster__Maff__XP_040610079.1
horse	mammal	MAFF	horse__MAFF__XP_023487201.1
human	mammal	MAFF	human__MAFF__NP_036455.1
labMouse	mammal	MAFF	labMouse__Maff__NP_034885.1
marmoset	mammal	MAFF	marmoset__MAFF__XP_035128467.1
minkeWhale	mammal	MAFF	minkeWhale__MAFF__XP_057413363.1
nancymaMonkey	mammal	MAFF	nancymaMonkey__MAFF__XP_012314355.1
oliveBaboon	mammal	MAFF	oliveBaboon__MAFF__XP_017800799.1
opossum	mammal	MAFF	opossum__MAFF__XP_056654910.1
pig	mammal	MAFF	pig__MAFF__XP_013843663.1
platypus	mammal	MAFF	platypus__MAFF__XP_028935268.1
rhesusMacaque	mammal	MAFF	rhesusMacaque__MAFF__XP_001092994.2
roundleafBat	mammal	MAFF	roundleafBat__MAFF__XP_019520114.1
sacwingedBat	mammal	MAFF	sacwingedBat__MAFF__XP_066114419.1
sandRat	mammal	MAFF	sandRat__Maff__XP_055458888.1
sheep	mammal	MAFF	sheep__MAFF__XP_042103658.1
treeShrew	mammal	MAFF	treeShrew__MAFF__TSDBTID.24461.1
blindMoleRat	mammal	MAFG	blindMoleRat__Mafg__XP_029416972.1
brownRat	mammal	MAFG	brownRat__Mafg__NP_071781.1
cat	mammal	MAFG	cat__MAFG__XP_019673944.2
cow	mammal	MAFG	cow__MAFG__XP_059734011.1
crabMacaque	mammal	MAFG	crabMacaque__MAFG__XP_065388225.1
daubentonBat	mammal	MAFG	daubentonBat__MAFG__XP_059527539.1
deerMouse	mammal	MAFG	deerMouse__Mafg__XP_042139187.1
dog	mammal	MAFG	dog__MAFG__XP_038402227.1
egyptianBat	mammal	MAFG	egyptianBat__MAFG__XP_016019320.1
europeanHedgehog	mammal	MAFG	europeanHedgehog__MAFG__XP_060027730.1
ferret	mammal	MAFG	ferret__MAFG__XP_004748742.1
gerbil	mammal	MAFG	gerbil__Mafg__XP_021493069.1
grassMouse	mammal	MAFG	grassMouse__Mafg__Mafg-T1
groundSquirrel	mammal	MAFG	groundSquirrel__Mafg__XP_021586965.2
guineapig	mammal	MAFG	guineapig__Mafg__XP_005001512.1
hamster	mammal	MAFG	hamster__Mafg__XP_012968772.1
horse	mammal	MAFG	horse__MAFG__XP_005597102.2
human	mammal	MAFG	human__MAFG__NP_002350.1
labMouse	mammal	MAFG	labMouse__Mafg__NP_034886.1
marmoset	mammal	MAFG	marmoset__MAFG__XP_035158027.1
minkeWhale	mammal	MAFG	minkeWhale__MAFG__XP_028023182.1
nancymaMonkey	mammal	MAFG	nancymaMonkey__MAFG__XP_012308133.2
oliveBaboon	mammal	MAFG	oliveBaboon__MAFG__XP_021784144.1
opossum	mammal	MAFG	opossum__MAFG__XP_007482908.1
pig	mammal	MAFG	pig__MAFG__XP_020922083.1
platypus	mammal	MAFG	platypus__MAFG__XP_028912595.1
rhesusMacaque	mammal	MAFG	rhesusMacaque__MAFG__NP_001181498.1
roundleafBat	mammal	MAFG	roundleafBat__MAFG__XP_019517383.1
sacwingedBat	mammal	MAFG	sacwingedBat__MAFG__XP_066093539.1
sandRat	mammal	MAFG	sandRat__Mafg__XP_055448662.1
sheep	mammal	MAFG	sheep__MAFG__XP_042112177.1
blindMoleRat	mammal	MAFK	blindMoleRat__Mafk__XP_017658288.1
brownRat	mammal	MAFK	brownRat__Mafk__NP_663706.2
cat	mammal	MAFK	cat__MAFK__XP_044903301.1
cow	mammal	MAFK	cow__MAFK__XP_005225295.1
crabMacaque	mammal	MAFK	crabMacaque__MAFK__XP_065397606.1
daubentonBat	mammal	MAFK	daubentonBat__MAFK__XP_059555425.1
deerMouse	mammal	MAFK	deerMouse__Mafk__XP_015864857.1
dog	mammal	MAFK	dog__MAFK__XP_038395595.1
egyptianBat	mammal	MAFK	egyptianBat__MAFK__XP_015974595.1
europeanHedgehog	mammal	MAFK	europeanHedgehog__MAFK__XP_007525129.1
ferret	mammal	MAFK	ferret__MAFK__XP_044931115.1
gerbil	mammal	MAFK	gerbil__Mafk__XP_021496398.1
grassMouse	mammal	MAFK	grassMouse__Mafk__Mafk-T1
groundSquirrel	mammal	MAFK	groundSquirrel__Mafk__XP_005339892.1
guineapig	mammal	MAFK	guineapig__Mafk__XP_063090094.1
hamster	mammal	MAFK	hamster__Mafk__XP_005080042.1
horse	mammal	MAFK	horse__MAFK__XP_023510876.1
human	mammal	MAFK	human__MAFK__NP_002351.1
labMouse	mammal	MAFK	labMouse__Mafk__NP_034887.1
marmoset	mammal	MAFK	marmoset__MAFK__XP_035145692.2
minkeWhale	mammal	MAFK	minkeWhale__MAFK__XP_057385102.1
nancymaMonkey	mammal	MAFK	nancymaMonkey__MAFK__XP_012326328.2
oliveBaboon	mammal	MAFK	oliveBaboon__MAFK__XP_003895698.1
opossum	mammal	MAFK	opossum__MAFK__XP_007498385.1
pig	mammal	MAFK	pig__MAFK__XP_003124297.1
platypus	mammal	MAFK	platypus__MAFK__XP_001514510.2
rhesusMacaque	mammal	MAFK	rhesusMacaque__MAFK__XP_028701319.1
roundleafBat	mammal	MAFK	roundleafBat__MAFK__XP_019493117.1
sacwingedBat	mammal	MAFK	sacwingedBat__MAFK__XP_066129634.1
sandRat	mammal	MAFK	sandRat__Mafk__XP_055454539.1
sheep	mammal	MAFK	sheep__MAFK__XP_027817076.1
treeShrew	mammal	MAFK	treeShrew__MAFK__TSDBTID.12800.2
blindMoleRat	mammal	OTX1	blindMoleRat__Otx1__XP_008848847.1
brownRat	mammal	OTX1	brownRat__Otx1__NP_037241.2
cat	mammal	OTX1	cat__OTX1__XP_044910197.1
cow	mammal	OTX1	cow__OTX1__XP_005212853.1
crabMacaque	mammal	OTX1	crabMacaque__OTX1__XP_005575818.1
daubentonBat	mammal	OTX1	daubentonBat__OTX1__XP_059515653.1
deerMouse	mammal	OTX1	deerMouse__Otx1__XP_076402182.1
dog	mammal	OTX1	dog__OTX1__XP_038407327.1
egyptianBat	mammal	OTX1	egyptianBat__OTX1__XP_016018485.1
europeanHedgehog	mammal	OTX1	europeanHedgehog__OTX1__XP_060043185.1
ferret	mammal	OTX1	ferret__OTX1__XP_004742108.1
gerbil	mammal	OTX1	gerbil__Otx1__XP_021515851.1
grassMouse	mammal	OTX1	grassMouse__OTX1__Otx1-T1
groundSquirrel	mammal	OTX1	groundSquirrel__Otx1__XP_005322113.1
guineapig	mammal	OTX1	guineapig__Otx1__XP_003467541.3
hamster	mammal	OTX1	hamster__Otx1__XP_040589169.1
horse	mammal	OTX1	horse__OTX1__XP_023474792.1
human	mammal	OTX1	human__OTX1__NP_055377.1
labMouse	mammal	OTX1	labMouse__Otx1__NP_035153.1
marmoset	mammal	OTX1	marmoset__OTX1__XP_008978870.1
minkeWhale	mammal	OTX1	minkeWhale__OTX1__XP_007189783.2
nancymaMonkey	mammal	OTX1	nancymaMonkey__OTX1__XP_012332543.1
oliveBaboon	mammal	OTX1	oliveBaboon__OTX1__XP_003908766.1
opossum	mammal	OTX1	opossum__OTX1__XP_001374919.2
pig	mammal	OTX1	pig__OTX1__XP_003125144.1
platypus	mammal	OTX1	platypus__OTX1__XP_028927478.1
rhesusMacaque	mammal	OTX1	rhesusMacaque__OTX1__XP_001084150.1
roundleafBat	mammal	OTX1	roundleafBat__OTX1__XP_019491596.1
sacwingedBat	mammal	OTX1	sacwingedBat__OTX1__XP_066123323.1
sandRat	mammal	OTX1	sandRat__Otx1__XP_055468085.1
sheep	mammal	OTX1	sheep__OTX1__XP_042101940.1
treeShrew	mammal	OTX1	treeShrew__OTX1__TSDBTID.7135.1
blindMoleRat	mammal	OTX2	blindMoleRat__Otx2__XP_029422537.1
brownRat	mammal	OTX2	brownRat__Otx2__NP_001094036.1
cat	mammal	OTX2	cat__OTX2__XP_003987729.1
cow	mammal	OTX2	cow__OTX2__XP_059746555.1
crabMacaque	mammal	OTX2	crabMacaque__OTX2__XP_005561397.1
daubentonBat	mammal	OTX2	daubentonBat__OTX2__XP_059551101.1
deerMouse	mammal	OTX2	deerMouse__Otx2__XP_042140690.1
dog	mammal	OTX2	dog__OTX2__XP_038399965.1
egyptianBat	mammal	OTX2	egyptianBat__OTX2__XP_016011594.1
europeanHedgehog	mammal	OTX2	europeanHedgehog__OTX2__XP_007535826.1
ferret	mammal	OTX2	ferret__OTX2__XP_012911979.1
gerbil	mammal	OTX2	gerbil__Otx2__XP_021508022.1
grassMouse	mammal	OTX2	grassMouse__OTX2__Otx2-T1
groundSquirrel	mammal	OTX2	groundSquirrel__Otx2__XP_040130602.1
guineapig	mammal	OTX2	guineapig__Otx2__XP_063097393.1
hamster	mammal	OTX2	hamster__Otx2__XP_040591726.1
horse	mammal	OTX2	horse__OTX2__XP_014591350.1
human	mammal	OTX2	human__OTX2__NP_068374.1
labMouse	mammal	OTX2	labMouse__Otx2__NP_001273411.1
marmoset	mammal	OTX2	marmoset__OTX2__XP_035116504.1
minkeWhale	mammal	OTX2	minkeWhale__LOC103019289__XP_057384495.1
minkeWhale	mammal	OTX2	minkeWhale__OTX2__XP_007192978.1
nancymaMonkey	mammal	OTX2	nancymaMonkey__OTX2__XP_012306408.1
oliveBaboon	mammal	OTX2	oliveBaboon__OTX2__XP_031523944.1
opossum	mammal	OTX2	opossum__OTX2__XP_056666776.1
pig	mammal	OTX2	pig__OTX2__XP_005660049.1
platypus	mammal	OTX2	platypus__CRX__XP_028922525.1
platypus	mammal	OTX2	platypus__OTX2__XP_039769946.1
rhesusMacaque	mammal	OTX2	rhesusMacaque__OTX2__NP_001171116.1
roundleafBat	mammal	OTX2	roundleafBat__OTX2__XP_019500461.1
sacwingedBat	mammal	OTX2	sacwingedBat__OTX2__XP_066132606.1
sandRat	mammal	OTX2	sandRat__Otx2__XP_055462205.1
sheep	mammal	OTX2	sheep__LOC101106129__XP_004020461.2
sheep	mammal	OTX2	sheep__LOC114118382__XP_027834964.1
sheep	mammal	OTX2	sheep__OTX2__XP_042108500.1
treeShrew	mammal	OTX2	treeShrew__OTX2__TSDBTID.21986.1
blindMoleRat	mammal	CRX	blindMoleRat__Crx__XP_008825396.1
brownRat	mammal	CRX	brownRat__Crx__NP_068627.2
cat	mammal	CRX	cat__CRX__XP_044901347.1
cow	mammal	CRX	cow__CRX__NP_776329.1
crabMacaque	mammal	CRX	crabMacaque__CRX__XP_065390758.1
daubentonBat	mammal	CRX	daubentonBat__LOC132216657__XP_059521972.1
deerMouse	mammal	CRX	deerMouse__Crx__XP_006996974.1
dog	mammal	CRX	dog__CRX__NP_001003049.1
egyptianBat	mammal	CRX	egyptianBat__CRX__XP_016010792.1
europeanHedgehog	mammal	CRX	europeanHedgehog__CRX__XP_007538635.1
ferret	mammal	CRX	ferret__CRX__XP_004767515.1
gerbil	mammal	CRX	gerbil__LOC110555202__XP_021503974.1
groundSquirrel	mammal	CRX	groundSquirrel__LOC101960714__XP_021589808.1
guineapig	mammal	CRX	guineapig__Crx__XP_063109068.1
hamster	mammal	CRX	hamster__Crx__XP_040590377.1
horse	mammal	CRX	horse__CRX__XP_023507330.1
human	mammal	CRX	human__CRX__NP_000545.1
labMouse	mammal	CRX	labMouse__Crx__NP_031796.1
marmoset	mammal	CRX	marmoset__CRX__XP_054105526.1
minkeWhale	mammal	CRX	minkeWhale__LOC103005484__XP_007168269.1
nancymaMonkey	mammal	CRX	nancymaMonkey__CRX__XP_012302187.2
oliveBaboon	mammal	CRX	oliveBaboon__CRX__XP_017808056.1
pig	mammal	CRX	pig__CRX__XP_003127313.2
rhesusMacaque	mammal	CRX	rhesusMacaque__CRX__XP_014979851.1
roundleafBat	mammal	CRX	roundleafBat__CRX__XP_019490603.1
sacwingedBat	mammal	CRX	sacwingedBat__CRX__XP_066127770.1
sandRat	mammal	CRX	sandRat__Crx__XP_055471636.1
sheep	mammal	CRX	sheep__CRX__XP_012045975.3
treeShrew	mammal	CRX	treeShrew__CRX__TSDBTID.18795.1
barnOwl	bird	CMAF	barnOwl__MAF__XP_032846531.2
budgerigar	bird	CMAF	budgerigar__MAF__XP_033928568.1
canary	bird	CMAF	canary__MAF__XP_050834999.1
chicken	bird	CMAF	chicken__MAF__XP_015148000.1
commonBuzzard	bird	CMAF	commonBuzzard__MAF__XP_074896084.1
commonKestrel	bird	CMAF	commonKestrel__gene_ENSFTIG00000003636__ENSFTIP00000005211
eagleOwl	bird	CMAF	eagleOwl__gene_ENSBOBG00000000091__ENSBOBP00000000082
emu	bird	CMAF	emu__MAF__XP_064375807.1
goldenEagle	bird	CMAF	goldenEagle__MAF__XP_029880100.1
gosHwak	bird	CMAF	gosHwak__MAF__XP_049662322.1
harpyEagle	bird	CMAF	harpyEagle__MAF__XP_052651390.1
hawaiianCrow	bird	CMAF	hawaiianCrow__MAF__XP_048173038.1
honeyguide	bird	CMAF	honeyguide__MAF__XP_054245698.1
hoodedCrow	bird	CMAF	hoodedCrow__MAF__XP_039414468.1
littleOwl	bird	CMAF	littleOwl__MAF__XP_074769062.1
mallardDuck	bird	CMAF	mallardDuck__MAF__XP_038041342.1
mousebird	bird	CMAF	mousebird__MAF__XP_061863169.1
ostrich	bird	CMAF	ostrich__MAF__XP_068812426.1
peregrineFalcon	bird	CMAF	peregrineFalcon__MAF__XP_055674912.1
pigeon	bird	CMAF	pigeon__MAF__XP_064884597.1
quail	bird	CMAF	quail__MAF__XP_015729607.1
sparrowHawk	bird	CMAF	sparrowHawk__gene_ENSANIG00000002392__ENSANIP00000003522
tawnyOwl	bird	CMAF	tawnyOwl__MAF__XP_074695275.1
uralOwl	bird	CMAF	uralOwl__MAF__XP_074738276.1
whiteWagtail	bird	CMAF	whiteWagtail__MAF__XP_038004334.1
zebrafinch	bird	CMAF	zebrafinch__MAF__XP_030138184.2
barnOwl	bird	MAFA	barnOwl__MAFA__XP_042642191.1
budgerigar	bird	MAFA	budgerigar__MAFA__XP_033921063.1
canary	bird	MAFA	canary__MAFA__XP_030085722.1
chicken	bird	MAFA	chicken__MAFA__NP_990356.1
commonBuzzard	bird	MAFA	commonBuzzard__MAFA__XP_074880177.1
commonKestrel	bird	MAFA	commonKestrel__gene_ENSFTIG00000002193__ENSFTIP00000003181
eagleOwl	bird	MAFA	eagleOwl__gene_ENSBOBG00000014832__ENSBOBP00000025026
emu	bird	MAFA	emu__MAFA__XP_025969455.2
goldenEagle	bird	MAFA	goldenEagle__MAFA__XP_029868500.1
gosHwak	bird	MAFA	gosHwak__MAFA__XP_049682097.1
harpyEagle	bird	MAFA	harpyEagle__MAFA__XP_052644556.1
hawaiianCrow	bird	MAFA	hawaiianCrow__MAFA__XP_048143014.1
honeyguide	bird	MAFA	honeyguide__MAFA__XP_054241450.1
hoodedCrow	bird	MAFA	hoodedCrow__MAFA__XP_039406043.1
littleOwl	bird	MAFA	littleOwl__MAFA__XP_074754432.1
mallardDuck	bird	MAFA	mallardDuck__MAFA__XP_027308589.1
mousebird	bird	MAFA	mousebird__MAFA__XP_010203193.2
ostrich	bird	MAFA	ostrich__MAFA__XP_068789949.1
peregrineFalcon	bird	MAFA	peregrineFalcon__MAFA__XP_005235862.2
pigeon	bird	MAFA	pigeon__MAFA__XP_064910682.1
quail	bird	MAFA	quail__MAFA__XP_015711959.1
sparrowHawk	bird	MAFA	sparrowHawk__gene_ENSANIG00000009040__ENSANIP00000013306
tawnyOwl	bird	MAFA	tawnyOwl__MAFA__XP_074685104.1
uralOwl	bird	MAFA	uralOwl__MAFA__XP_074745166.1
whiteWagtail	bird	MAFA	whiteWagtail__MAFA__XP_037985746.1
zebrafinch	bird	MAFA	zebrafinch__MAFA__XP_030122661.1
barnOwl	bird	MAFB	barnOwl__MAFB__XP_032859530.2
budgerigar	bird	MAFB	budgerigar__MAFB__XP_030903509.1
canary	bird	MAFB	canary__MAFB__XP_009091206.1
chicken	bird	MAFB	chicken__MAFB__NP_001026023.1
commonBuzzard	bird	MAFB	commonBuzzard__MAFB__XP_074915426.1
commonKestrel	bird	MAFB	commonKestrel__gene_ENSFTIG00000008212__ENSFTIP00000012252
eagleOwl	bird	MAFB	eagleOwl__gene_ENSBOBG00000006688__ENSBOBP00000010424
emu	bird	MAFB	emu__MAFB__XP_025948812.1
goldenEagle	bird	MAFB	goldenEagle__MAFB__XP_029866112.1
gosHwak	bird	MAFB	gosHwak__MAFB__XP_049672993.1
harpyEagle	bird	MAFB	harpyEagle__MAFB__XP_052645446.1
hawaiianCrow	bird	MAFB	hawaiianCrow__MAFB__XP_048178000.1
honeyguide	bird	MAFB	honeyguide__MAFB__XP_054247952.1
hoodedCrow	bird	MAFB	hoodedCrow__MAFB__XP_010395328.1
littleOwl	bird	MAFB	littleOwl__MAFB__XP_074776558.1
mallardDuck	bird	MAFB	mallardDuck__MAFB__XP_005012103.1
mousebird	bird	MAFB	mousebird__MAFB__XP_061864958.1
ostrich	bird	MAFB	ostrich__MAFB__XP_009669433.1
peregrineFalcon	bird	MAFB	peregrineFalcon__MAFB__XP_005235943.1
pigeon	bird	MAFB	pigeon__MAFB__XP_005502756.1
quail	bird	MAFB	quail__MAFB__XP_015736936.1
sparrowHawk	bird	MAFB	sparrowHawk__gene_ENSANIG00000007633__ENSANIP00000011272
tawnyOwl	bird	MAFB	tawnyOwl__MAFB__XP_074699417.1
uralOwl	bird	MAFB	uralOwl__MAFB__XP_074744481.1
whiteWagtail	bird	MAFB	whiteWagtail__MAFB__XP_038015228.1
zebrafinch	bird	MAFB	zebrafinch__MAFB__XP_072773087.1
barnOwl	bird	MAFF	barnOwl__MAFF__XP_042648826.1
budgerigar	bird	MAFF	budgerigar__MAFF__XP_033918644.1
canary	bird	MAFF	canary__MAFF__XP_009084748.1
chicken	bird	MAFF	chicken__MAFF__XP_046760163.1
commonBuzzard	bird	MAFF	commonBuzzard__MAFF__XP_074907107.1
commonKestrel	bird	MAFF	commonKestrel__gene_ENSFTIG00000014670__ENSFTIP00000022774
eagleOwl	bird	MAFF	eagleOwl__gene_ENSBOBG00000006606__ENSBOBP00000010285
emu	bird	MAFF	emu__MAFF__XP_025957942.2
goldenEagle	bird	MAFF	goldenEagle__MAFF__XP_029896324.1
gosHwak	bird	MAFF	gosHwak__MAFF__XP_049677759.1
