AnnotationType	ProteinID	OrganismShortName	SpeciesGroup	GeneGroup	ProteinLen
annotated	rhesusMacaque__MAFB__XP_001101624.3	rhesusMacaque	mammal	MAFB	
annotated	roundleafBat__MAFB__XP_019492655.1	roundleafBat	mammal	MAFB	
annotated	sacwingedBat__MAFB__XP_066091476.1	sacwingedBat	mammal	MAFB	
annotated	sandRat__Mafb__XP_055458414.1	sandRat	mammal	MAFB	
annotated	sheep__MAFB__XP_012044596.3	sheep	mammal	MAFB	
annotated	treeShrew__MAFB__TSDBTID.5231.1	treeShrew	mammal	MAFB	
annotated	blindMoleRat__Nrl__XP_008838065.1	blindMoleRat	mammal	NRL	
annotated	brownRat__Nrl__NP_001099506.1	brownRat	mammal	NRL	
annotated	cat__NRL__XP_023111367.1	cat	mammal	NRL	
annotated	cow__NRL__XP_010807337.1	cow	mammal	NRL	
annotated	crabMacaque__NRL__XP_065403554.1	crabMacaque	mammal	NRL	
annotated	daubentonBat__NRL__XP_059564454.1	daubentonBat	mammal	NRL	
annotated	deerMouse__Nrl__XP_006988587.1	deerMouse	mammal	NRL	
annotated	dog__NRL__XP_038399950.1	dog	mammal	NRL	
annotated	egyptianBat__NRL__XP_015976087.1	egyptianBat	mammal	NRL	
annotated	europeanHedgehog__NRL__XP_016049314.2	europeanHedgehog	mammal	NRL	
annotated	ferret__NRL__XP_004755334.1	ferret	mammal	NRL	
annotated	gerbil__Nrl__XP_060247157.1	gerbil	mammal	NRL	
annotated	grassMouse__Nrl__Nrl-T1	grassMouse	mammal	NRL	
annotated	groundSquirrel__Nrl__XP_040131621.1	groundSquirrel	mammal	NRL	
annotated	guineapig__Nrl__NP_001166521.1	guineapig	mammal	NRL	
annotated	hamster__Nrl__XP_005085649.1	hamster	mammal	NRL	
annotated	horse__NRL__XP_001491313.1	horse	mammal	NRL	
annotated	human__NRL__NP_001341697.1	human	mammal	NRL	
annotated	human__NRL__XP_054188315.1	human	mammal	NRL	
annotated	labMouse__Nrl__NP_032762.1	labMouse	mammal	NRL	
annotated	marmoset__NRL__XP_035116064.1	marmoset	mammal	NRL	
annotated	minkeWhale__NRL__XP_007180659.1	minkeWhale	mammal	NRL	
annotated	nancymaMonkey__NRL__XP_064230808.1	nancymaMonkey	mammal	NRL	
annotated	oliveBaboon__NRL__XP_009209537.1	oliveBaboon	mammal	NRL	
annotated	opossum__NRL__XP_056666074.1	opossum	mammal	NRL	
annotated	pig__NRL__XP_001925889.3	pig	mammal	NRL	
annotated	platypus__NRL__XP_028934270.1	platypus	mammal	NRL	
annotated	rhesusMacaque__NRL__XP_028707272.1	rhesusMacaque	mammal	NRL	
annotated	roundleafBat__NRL__XP_019518658.1	roundleafBat	mammal	NRL	
annotated	sacwingedBat__NRL__XP_066133605.1	sacwingedBat	mammal	NRL	
annotated	sandRat__Nrl__XP_055473835.1	sandRat	mammal	NRL	
annotated	sheep__NRL__XP_042108879.1	sheep	mammal	NRL	
annotated	treeShrew__NRL__TSDBTID.22451.1	treeShrew	mammal	NRL	
annotated	blindMoleRat__Maff__XP_008849486.1	blindMoleRat	mammal	MAFF	
annotated	brownRat__Maff__NP_001124045.1	brownRat	mammal	MAFF	
annotated	cat__MAFF__XP_023113493.1	cat	mammal	MAFF	
annotated	cow__MAFF__XP_024847998.1	cow	mammal	MAFF	
annotated	crabMacaque__MAFF__XP_005567368.3	crabMacaque	mammal	MAFF	
annotated	daubentonBat__MAFF__XP_059537548.1	daubentonBat	mammal	MAFF	
annotated	deerMouse__Maff__XP_006979206.1	deerMouse	mammal	MAFF	
annotated	dog__MAFF__XP_038407500.1	dog	mammal	MAFF	
annotated	egyptianBat__MAFF__XP_036093375.1	egyptianBat	mammal	MAFF	
annotated	europeanHedgehog__MAFF__XP_060044945.1	europeanHedgehog	mammal	MAFF	
annotated	ferret__MAFF__XP_004743278.1	ferret	mammal	MAFF	
annotated	gerbil__Maff__XP_021517277.2	gerbil	mammal	MAFF	
annotated	grassMouse__Maff__Maff-T1	grassMouse	mammal	MAFF	
annotated	groundSquirrel__Maff__XP_005322482.1	groundSquirrel	mammal	MAFF	
annotated	guineapig__Maff__XP_063099865.1	guineapig	mammal	MAFF	
annotated	hamster__Maff__XP_040610079.1	hamster	mammal	MAFF	
annotated	horse__MAFF__XP_023487201.1	horse	mammal	MAFF	
annotated	human__MAFF__NP_036455.1	human	mammal	MAFF	
annotated	labMouse__Maff__NP_034885.1	labMouse	mammal	MAFF	
annotated	marmoset__MAFF__XP_035128467.1	marmoset	mammal	MAFF	
annotated	minkeWhale__MAFF__XP_057413363.1	minkeWhale	mammal	MAFF	
annotated	nancymaMonkey__MAFF__XP_012314355.1	nancymaMonkey	mammal	MAFF	
annotated	oliveBaboon__MAFF__XP_017800799.1	oliveBaboon	mammal	MAFF	
annotated	opossum__MAFF__XP_056654910.1	opossum	mammal	MAFF	
annotated	pig__MAFF__XP_013843663.1	pig	mammal	MAFF	
annotated	platypus__MAFF__XP_028935268.1	platypus	mammal	MAFF	
annotated	rhesusMacaque__MAFF__XP_001092994.2	rhesusMacaque	mammal	MAFF	
annotated	roundleafBat__MAFF__XP_019520114.1	roundleafBat	mammal	MAFF	
annotated	sacwingedBat__MAFF__XP_066114419.1	sacwingedBat	mammal	MAFF	
annotated	sandRat__Maff__XP_055458888.1	sandRat	mammal	MAFF	
annotated	sheep__MAFF__XP_042103658.1	sheep	mammal	MAFF	
annotated	treeShrew__MAFF__TSDBTID.24461.1	treeShrew	mammal	MAFF	
annotated	blindMoleRat__Mafg__XP_029416972.1	blindMoleRat	mammal	MAFG	
annotated	brownRat__Mafg__NP_071781.1	brownRat	mammal	MAFG	
annotated	cat__MAFG__XP_019673944.2	cat	mammal	MAFG	
annotated	cow__MAFG__XP_059734011.1	cow	mammal	MAFG	
annotated	crabMacaque__MAFG__XP_065388225.1	crabMacaque	mammal	MAFG	
annotated	daubentonBat__MAFG__XP_059527539.1	daubentonBat	mammal	MAFG	
annotated	deerMouse__Mafg__XP_042139187.1	deerMouse	mammal	MAFG	
annotated	dog__MAFG__XP_038402227.1	dog	mammal	MAFG	
annotated	egyptianBat__MAFG__XP_016019320.1	egyptianBat	mammal	MAFG	
annotated	europeanHedgehog__MAFG__XP_060027730.1	europeanHedgehog	mammal	MAFG	
annotated	ferret__MAFG__XP_004748742.1	ferret	mammal	MAFG	
annotated	gerbil__Mafg__XP_021493069.1	gerbil	mammal	MAFG	
annotated	grassMouse__Mafg__Mafg-T1	grassMouse	mammal	MAFG	
annotated	groundSquirrel__Mafg__XP_021586965.2	groundSquirrel	mammal	MAFG	
annotated	guineapig__Mafg__XP_005001512.1	guineapig	mammal	MAFG	
annotated	hamster__Mafg__XP_012968772.1	hamster	mammal	MAFG	
annotated	horse__MAFG__XP_005597102.2	horse	mammal	MAFG	
annotated	human__MAFG__NP_002350.1	human	mammal	MAFG	
annotated	labMouse__Mafg__NP_034886.1	labMouse	mammal	MAFG	
annotated	marmoset__MAFG__XP_035158027.1	marmoset	mammal	MAFG	
annotated	minkeWhale__MAFG__XP_028023182.1	minkeWhale	mammal	MAFG	
annotated	nancymaMonkey__MAFG__XP_012308133.2	nancymaMonkey	mammal	MAFG	
annotated	oliveBaboon__MAFG__XP_021784144.1	oliveBaboon	mammal	MAFG	
annotated	opossum__MAFG__XP_007482908.1	opossum	mammal	MAFG	
annotated	pig__MAFG__XP_020922083.1	pig	mammal	MAFG	
annotated	platypus__MAFG__XP_028912595.1	platypus	mammal	MAFG	
annotated	rhesusMacaque__MAFG__NP_001181498.1	rhesusMacaque	mammal	MAFG	
annotated	roundleafBat__MAFG__XP_019517383.1	roundleafBat	mammal	MAFG	
annotated	sacwingedBat__MAFG__XP_066093539.1	sacwingedBat	mammal	MAFG	
annotated	sandRat__Mafg__XP_055448662.1	sandRat	mammal	MAFG	
annotated	sheep__MAFG__XP_042112177.1	sheep	mammal	MAFG	
annotated	blindMoleRat__Mafk__XP_017658288.1	blindMoleRat	mammal	MAFK	
annotated	brownRat__Mafk__NP_663706.2	brownRat	mammal	MAFK	
annotated	cat__MAFK__XP_044903301.1	cat	mammal	MAFK	
annotated	cow__MAFK__XP_005225295.1	cow	mammal	MAFK	
annotated	crabMacaque__MAFK__XP_065397606.1	crabMacaque	mammal	MAFK	
annotated	daubentonBat__MAFK__XP_059555425.1	daubentonBat	mammal	MAFK	
annotated	deerMouse__Mafk__XP_015864857.1	deerMouse	mammal	MAFK	
annotated	dog__MAFK__XP_038395595.1	dog	mammal	MAFK	
annotated	egyptianBat__MAFK__XP_015974595.1	egyptianBat	mammal	MAFK	
annotated	europeanHedgehog__MAFK__XP_007525129.1	europeanHedgehog	mammal	MAFK	
annotated	ferret__MAFK__XP_044931115.1	ferret	mammal	MAFK	
annotated	gerbil__Mafk__XP_021496398.1	gerbil	mammal	MAFK	
annotated	grassMouse__Mafk__Mafk-T1	grassMouse	mammal	MAFK	
annotated	groundSquirrel__Mafk__XP_005339892.1	groundSquirrel	mammal	MAFK	
annotated	guineapig__Mafk__XP_063090094.1	guineapig	mammal	MAFK	
annotated	hamster__Mafk__XP_005080042.1	hamster	mammal	MAFK	
annotated	horse__MAFK__XP_023510876.1	horse	mammal	MAFK	
annotated	human__MAFK__NP_002351.1	human	mammal	MAFK	
annotated	labMouse__Mafk__NP_034887.1	labMouse	mammal	MAFK	
annotated	marmoset__MAFK__XP_035145692.2	marmoset	mammal	MAFK	
annotated	minkeWhale__MAFK__XP_057385102.1	minkeWhale	mammal	MAFK	
annotated	nancymaMonkey__MAFK__XP_012326328.2	nancymaMonkey	mammal	MAFK	
annotated	oliveBaboon__MAFK__XP_003895698.1	oliveBaboon	mammal	MAFK	
annotated	opossum__MAFK__XP_007498385.1	opossum	mammal	MAFK	
annotated	pig__MAFK__XP_003124297.1	pig	mammal	MAFK	
annotated	platypus__MAFK__XP_001514510.2	platypus	mammal	MAFK	
annotated	rhesusMacaque__MAFK__XP_028701319.1	rhesusMacaque	mammal	MAFK	
annotated	roundleafBat__MAFK__XP_019493117.1	roundleafBat	mammal	MAFK	
annotated	sacwingedBat__MAFK__XP_066129634.1	sacwingedBat	mammal	MAFK	
annotated	sandRat__Mafk__XP_055454539.1	sandRat	mammal	MAFK	
annotated	sheep__MAFK__XP_027817076.1	sheep	mammal	MAFK	
annotated	treeShrew__MAFK__TSDBTID.12800.2	treeShrew	mammal	MAFK	
annotated	blindMoleRat__Otx1__XP_008848847.1	blindMoleRat	mammal	OTX1	
annotated	brownRat__Otx1__NP_037241.2	brownRat	mammal	OTX1	
annotated	cat__OTX1__XP_044910197.1	cat	mammal	OTX1	
annotated	cow__OTX1__XP_005212853.1	cow	mammal	OTX1	
annotated	crabMacaque__OTX1__XP_005575818.1	crabMacaque	mammal	OTX1	
annotated	daubentonBat__OTX1__XP_059515653.1	daubentonBat	mammal	OTX1	
annotated	deerMouse__Otx1__XP_076402182.1	deerMouse	mammal	OTX1	
annotated	dog__OTX1__XP_038407327.1	dog	mammal	OTX1	
annotated	egyptianBat__OTX1__XP_016018485.1	egyptianBat	mammal	OTX1	
annotated	europeanHedgehog__OTX1__XP_060043185.1	europeanHedgehog	mammal	OTX1	
annotated	ferret__OTX1__XP_004742108.1	ferret	mammal	OTX1	
annotated	gerbil__Otx1__XP_021515851.1	gerbil	mammal	OTX1	
annotated	grassMouse__OTX1__Otx1-T1	grassMouse	mammal	OTX1	
annotated	groundSquirrel__Otx1__XP_005322113.1	groundSquirrel	mammal	OTX1	
annotated	guineapig__Otx1__XP_003467541.3	guineapig	mammal	OTX1	
annotated	hamster__Otx1__XP_040589169.1	hamster	mammal	OTX1	
annotated	horse__OTX1__XP_023474792.1	horse	mammal	OTX1	
annotated	human__OTX1__NP_055377.1	human	mammal	OTX1	
annotated	labMouse__Otx1__NP_035153.1	labMouse	mammal	OTX1	
annotated	marmoset__OTX1__XP_008978870.1	marmoset	mammal	OTX1	
annotated	minkeWhale__OTX1__XP_007189783.2	minkeWhale	mammal	OTX1	
annotated	nancymaMonkey__OTX1__XP_012332543.1	nancymaMonkey	mammal	OTX1	
annotated	oliveBaboon__OTX1__XP_003908766.1	oliveBaboon	mammal	OTX1	
annotated	opossum__OTX1__XP_001374919.2	opossum	mammal	OTX1	
annotated	pig__OTX1__XP_003125144.1	pig	mammal	OTX1	
annotated	platypus__OTX1__XP_028927478.1	platypus	mammal	OTX1	
annotated	rhesusMacaque__OTX1__XP_001084150.1	rhesusMacaque	mammal	OTX1	
annotated	roundleafBat__OTX1__XP_019491596.1	roundleafBat	mammal	OTX1	
annotated	sacwingedBat__OTX1__XP_066123323.1	sacwingedBat	mammal	OTX1	
annotated	sandRat__Otx1__XP_055468085.1	sandRat	mammal	OTX1	
annotated	sheep__OTX1__XP_042101940.1	sheep	mammal	OTX1	
annotated	treeShrew__OTX1__TSDBTID.7135.1	treeShrew	mammal	OTX1	
annotated	blindMoleRat__Otx2__XP_029422537.1	blindMoleRat	mammal	OTX2	
annotated	brownRat__Otx2__NP_001094036.1	brownRat	mammal	OTX2	
annotated	cat__OTX2__XP_003987729.1	cat	mammal	OTX2	
annotated	cow__OTX2__XP_059746555.1	cow	mammal	OTX2	
annotated	crabMacaque__OTX2__XP_005561397.1	crabMacaque	mammal	OTX2	
annotated	daubentonBat__OTX2__XP_059551101.1	daubentonBat	mammal	OTX2	
annotated	deerMouse__Otx2__XP_042140690.1	deerMouse	mammal	OTX2	
annotated	dog__OTX2__XP_038399965.1	dog	mammal	OTX2	
annotated	egyptianBat__OTX2__XP_016011594.1	egyptianBat	mammal	OTX2	
annotated	europeanHedgehog__OTX2__XP_007535826.1	europeanHedgehog	mammal	OTX2	
annotated	ferret__OTX2__XP_012911979.1	ferret	mammal	OTX2	
annotated	gerbil__Otx2__XP_021508022.1	gerbil	mammal	OTX2	
annotated	grassMouse__OTX2__Otx2-T1	grassMouse	mammal	OTX2	
annotated	groundSquirrel__Otx2__XP_040130602.1	groundSquirrel	mammal	OTX2	
annotated	guineapig__Otx2__XP_063097393.1	guineapig	mammal	OTX2	
annotated	hamster__Otx2__XP_040591726.1	hamster	mammal	OTX2	
annotated	horse__OTX2__XP_014591350.1	horse	mammal	OTX2	
annotated	human__OTX2__NP_068374.1	human	mammal	OTX2	
annotated	labMouse__Otx2__NP_001273411.1	labMouse	mammal	OTX2	
annotated	marmoset__OTX2__XP_035116504.1	marmoset	mammal	OTX2	
annotated	minkeWhale__LOC103019289__XP_057384495.1	minkeWhale	mammal	OTX2	
annotated	minkeWhale__OTX2__XP_007192978.1	minkeWhale	mammal	OTX2	
annotated	nancymaMonkey__OTX2__XP_012306408.1	nancymaMonkey	mammal	OTX2	
annotated	oliveBaboon__OTX2__XP_031523944.1	oliveBaboon	mammal	OTX2	
annotated	opossum__OTX2__XP_056666776.1	opossum	mammal	OTX2	
annotated	pig__OTX2__XP_005660049.1	pig	mammal	OTX2	
annotated	platypus__CRX__XP_028922525.1	platypus	mammal	OTX2	
annotated	platypus__OTX2__XP_039769946.1	platypus	mammal	OTX2	
annotated	rhesusMacaque__OTX2__NP_001171116.1	rhesusMacaque	mammal	OTX2	
annotated	roundleafBat__OTX2__XP_019500461.1	roundleafBat	mammal	OTX2	
annotated	sacwingedBat__OTX2__XP_066132606.1	sacwingedBat	mammal	OTX2	
annotated	sandRat__Otx2__XP_055462205.1	sandRat	mammal	OTX2	
annotated	sheep__LOC101106129__XP_004020461.2	sheep	mammal	OTX2	
annotated	sheep__LOC114118382__XP_027834964.1	sheep	mammal	OTX2	
annotated	sheep__OTX2__XP_042108500.1	sheep	mammal	OTX2	
annotated	treeShrew__OTX2__TSDBTID.21986.1	treeShrew	mammal	OTX2	
annotated	blindMoleRat__Crx__XP_008825396.1	blindMoleRat	mammal	CRX	
annotated	brownRat__Crx__NP_068627.2	brownRat	mammal	CRX	
annotated	cat__CRX__XP_044901347.1	cat	mammal	CRX	
annotated	cow__CRX__NP_776329.1	cow	mammal	CRX	
annotated	crabMacaque__CRX__XP_065390758.1	crabMacaque	mammal	CRX	
annotated	daubentonBat__LOC132216657__XP_059521972.1	daubentonBat	mammal	CRX	
annotated	deerMouse__Crx__XP_006996974.1	deerMouse	mammal	CRX	
annotated	dog__CRX__NP_001003049.1	dog	mammal	CRX	
annotated	egyptianBat__CRX__XP_016010792.1	egyptianBat	mammal	CRX	
annotated	europeanHedgehog__CRX__XP_007538635.1	europeanHedgehog	mammal	CRX	
annotated	ferret__CRX__XP_004767515.1	ferret	mammal	CRX	
annotated	gerbil__LOC110555202__XP_021503974.1	gerbil	mammal	CRX	
annotated	groundSquirrel__LOC101960714__XP_021589808.1	groundSquirrel	mammal	CRX	
annotated	guineapig__Crx__XP_063109068.1	guineapig	mammal	CRX	
annotated	hamster__Crx__XP_040590377.1	hamster	mammal	CRX	
annotated	horse__CRX__XP_023507330.1	horse	mammal	CRX	
annotated	human__CRX__NP_000545.1	human	mammal	CRX	
annotated	labMouse__Crx__NP_031796.1	labMouse	mammal	CRX	
annotated	marmoset__CRX__XP_054105526.1	marmoset	mammal	CRX	
annotated	minkeWhale__LOC103005484__XP_007168269.1	minkeWhale	mammal	CRX	
annotated	nancymaMonkey__CRX__XP_012302187.2	nancymaMonkey	mammal	CRX	
annotated	oliveBaboon__CRX__XP_017808056.1	oliveBaboon	mammal	CRX	
annotated	pig__CRX__XP_003127313.2	pig	mammal	CRX	
annotated	rhesusMacaque__CRX__XP_014979851.1	rhesusMacaque	mammal	CRX	
annotated	roundleafBat__CRX__XP_019490603.1	roundleafBat	mammal	CRX	
annotated	sacwingedBat__CRX__XP_066127770.1	sacwingedBat	mammal	CRX	
annotated	sandRat__Crx__XP_055471636.1	sandRat	mammal	CRX	
annotated	sheep__CRX__XP_012045975.3	sheep	mammal	CRX	
annotated	treeShrew__CRX__TSDBTID.18795.1	treeShrew	mammal	CRX	
annotated	barnOwl__MAF__XP_032846531.2	barnOwl	bird	CMAF	
annotated	budgerigar__MAF__XP_033928568.1	budgerigar	bird	CMAF	
annotated	canary__MAF__XP_050834999.1	canary	bird	CMAF	
annotated	chicken__MAF__XP_015148000.1	chicken	bird	CMAF	
annotated	commonBuzzard__MAF__XP_074896084.1	commonBuzzard	bird	CMAF	
annotated	commonKestrel__gene_ENSFTIG00000003636__ENSFTIP00000005211	commonKestrel	bird	CMAF	
annotated	eagleOwl__gene_ENSBOBG00000000091__ENSBOBP00000000082	eagleOwl	bird	CMAF	
annotated	emu__MAF__XP_064375807.1	emu	bird	CMAF	
annotated	goldenEagle__MAF__XP_029880100.1	goldenEagle	bird	CMAF	
annotated	gosHwak__MAF__XP_049662322.1	gosHwak	bird	CMAF	
annotated	harpyEagle__MAF__XP_052651390.1	harpyEagle	bird	CMAF	
annotated	hawaiianCrow__MAF__XP_048173038.1	hawaiianCrow	bird	CMAF	
annotated	honeyguide__MAF__XP_054245698.1	honeyguide	bird	CMAF	
annotated	hoodedCrow__MAF__XP_039414468.1	hoodedCrow	bird	CMAF	
annotated	littleOwl__MAF__XP_074769062.1	littleOwl	bird	CMAF	
annotated	mallardDuck__MAF__XP_038041342.1	mallardDuck	bird	CMAF	
annotated	mousebird__MAF__XP_061863169.1	mousebird	bird	CMAF	
annotated	ostrich__MAF__XP_068812426.1	ostrich	bird	CMAF	
annotated	peregrineFalcon__MAF__XP_055674912.1	peregrineFalcon	bird	CMAF	
annotated	pigeon__MAF__XP_064884597.1	pigeon	bird	CMAF	
annotated	quail__MAF__XP_015729607.1	quail	bird	CMAF	
annotated	sparrowHawk__gene_ENSANIG00000002392__ENSANIP00000003522	sparrowHawk	bird	CMAF	
annotated	tawnyOwl__MAF__XP_074695275.1	tawnyOwl	bird	CMAF	
annotated	uralOwl__MAF__XP_074738276.1	uralOwl	bird	CMAF	
annotated	whiteWagtail__MAF__XP_038004334.1	whiteWagtail	bird	CMAF	
annotated	zebrafinch__MAF__XP_030138184.2	zebrafinch	bird	CMAF	
annotated	barnOwl__MAFA__XP_042642191.1	barnOwl	bird	MAFA	
annotated	budgerigar__MAFA__XP_033921063.1	budgerigar	bird	MAFA	
annotated	canary__MAFA__XP_030085722.1	canary	bird	MAFA	
annotated	chicken__MAFA__NP_990356.1	chicken	bird	MAFA	
annotated	commonBuzzard__MAFA__XP_074880177.1	commonBuzzard	bird	MAFA	
annotated	commonKestrel__gene_ENSFTIG00000002193__ENSFTIP00000003181	commonKestrel	bird	MAFA	
annotated	eagleOwl__gene_ENSBOBG00000014832__ENSBOBP00000025026	eagleOwl	bird	MAFA	
annotated	emu__MAFA__XP_025969455.2	emu	bird	MAFA	
annotated	goldenEagle__MAFA__XP_029868500.1	goldenEagle	bird	MAFA	
annotated	gosHwak__MAFA__XP_049682097.1	gosHwak	bird	MAFA	
annotated	harpyEagle__MAFA__XP_052644556.1	harpyEagle	bird	MAFA	
