OrganismShortName	SpeciesGroup	GeneGroup	ProteinID
bambooShark	diverse	OTX	bambooShark__otx2b__XP_072424894.1
brownHagfish	diverse	OTX	brownHagfish__OTX2-1__EA18302.1
brownHagfish	diverse	OTX	brownHagfish__OTX2-2__EA51288.1
brownHagfish	diverse	OTX	brownHagfish__OTX2-3__EA54667.1
brownHagfish	diverse	OTX	brownHagfish__OTX2-4__EA63177.1
chicken	diverse	OTX	chicken__OTX1__XP_015133598.2
chicken	diverse	OTX	chicken__OTX2__NP_989851.2
chicken	diverse	OTX	chicken__OTX5__XP_040511023.1
echinoderm	diverse	OTX	echinoderm__LOC117107729__XP_033105362.1
europeanBrookLamprey	diverse	OTX	europeanBrookLamprey__EIF2S1__LAPLM00000003788
europeanBrookLamprey	diverse	OTX	europeanBrookLamprey__FAM78B__LAPLM00000008916
europeanBrookLamprey	diverse	OTX	europeanBrookLamprey__LAPLG00000006519__LAPLM00000006519
europeanBrookLamprey	diverse	OTX	europeanBrookLamprey__LAPLG00000010760__LAPLM00000010760
europeanRiverLamprey	diverse	OTX	europeanRiverLamprey__ECI2__LAFLM00000009879
europeanRiverLamprey	diverse	OTX	europeanRiverLamprey__LAFLG00000002479__LAFLM00000002479
europeanRiverLamprey	diverse	OTX	europeanRiverLamprey__LAFLG00000005894__LAFLM00000005894
europeanRiverLamprey	diverse	OTX	europeanRiverLamprey__LAFLG00000007354__LAFLM00000007354
fareasternBrookLamprey	diverse	OTX	fareasternBrookLamprey__LOC133341283__XP_061405777.1
fareasternBrookLamprey	diverse	OTX	fareasternBrookLamprey__LOC133342300__XP_061407364.1
fareasternBrookLamprey	diverse	OTX	fareasternBrookLamprey__LOC133347341__XP_061415527.1
fareasternBrookLamprey	diverse	OTX	fareasternBrookLamprey__LOC133362651__XP_061437560.1
human	diverse	OTX	human__CRX__NP_000545.1
human	diverse	OTX	human__OTX1__NP_055377.1
human	diverse	OTX	human__OTX2__NP_068374.1
inshoreHagfish	diverse	OTX	inshoreHagfish__OtxA__ENSEBUP00000003621
inshoreHagfish	diverse	OTX	inshoreHagfish__OtxD__ENSEBUP00000027279
inshoreHagfish	diverse	OTX	inshoreHagfish__gene_ENSEBUG00000002056__ENSEBUP00000002692
inshoreHagfish	diverse	OTX	inshoreHagfish__gene_ENSEBUG00000008460__ENSEBUP00000013396
northernPike	diverse	OTX	northernPike__LOC105017544__XP_010880540.1
northernPike	diverse	OTX	northernPike__LOC105021530__XP_019905224.2
northernPike	diverse	OTX	northernPike__crx__XP_010869096.1
northernPike	diverse	OTX	northernPike__otx1__XP_010865940.1
northernPike	diverse	OTX	northernPike__otx2b__XP_034153487.1
northernPike	diverse	OTX	northernPike__otx5__XP_010896957.3
seaLamprey	diverse	OTX	seaLamprey__LOC103091753__XP_032804310.1
seaLamprey	diverse	OTX	seaLamprey__LOC116943301__XP_032811938.1
seaLamprey	diverse	OTX	seaLamprey__LOC116947280__XP_032818709.2
seaLamprey	diverse	OTX	seaLamprey__LOC116947882__XP_032820018.1
seaSquirt	diverse	OTX	seaSquirt__LOC120326315__XP_039248511.1
seaurchin	diverse	OTX	seaurchin__LOC121418261__XP_041467961.1
spottedGar	diverse	OTX	spottedGar__LOC102686928__XP_069042592.1
spottedGar	diverse	OTX	spottedGar__otx1__XP_006638669.2
spottedGar	diverse	OTX	spottedGar__otx2b__XP_006632284.1
vaseTunicate	diverse	OTX	vaseTunicate__otx2__NP_001027662.2
zebrafish	diverse	OTX	zebrafish__crx__NP_694419.1
zebrafish	diverse	OTX	zebrafish__otx1__NP_571325.2
zebrafish	diverse	OTX	zebrafish__otx2a__NP_571290.1
zebrafish	diverse	OTX	zebrafish__otx2b__XP_009291522.1
zebrafish	diverse	OTX	zebrafish__otx5__NP_851848.2
