	OrganismShortName	OrganismID	OrganismColor	AnnotationSource	SpeciesGroup	CMAF	CRX	MAFA	MAFB	MAFF	MAFG	MAFK	NRL	OTX1	OTX2	nMAFL	nMAFS	nOTX
39	grassCarp	Ctenopharyngodon_idella	Teleost ray-finned fishes	GCF	teleost	grassCarp__mafa__XP_051727005.1,grassCarp__mafb__XP_051739567.1	grassCarp__crx__XP_051750357.1	grassCarp__mafaa__XP_051754161.1	grassCarp__mafba__XP_051736520.1	grassCarp__maff__XP_051771291.1	grassCarp__mafga__XP_051743368.1,grassCarp__mafgb__XP_051767641.1	grassCarp__mafk__XP_051742255.1	grassCarp__nrl__XP_051731548.1	grassCarp__otx1__XP_051725101.1	grassCarp__otx2a__XP_051764913.1,grassCarp__otx5__XP_051718509.1	3.0	3.0	3.0
40	channelCatfish	Ictalurus_punctatus	Teleost ray-finned fishes	GCF	teleost	channelCatfish__mafa__XP_017322189.1,channelCatfish__mafb__XP_047015791.1	channelCatfish__crx__XP_017315072.1	channelCatfish__mafaa__XP_053539678.1	channelCatfish__mafba__XP_017343290.1	channelCatfish__maff__XP_017339225.1	channelCatfish__mafga__XP_053530046.1,channelCatfish__mafgb__XP_017333948.1	channelCatfish__mafk__XP_017310124.1	channelCatfish__nrl__XP_053541635.1	channelCatfish__otx1__XP_017330959.1	channelCatfish__otx2a__XP_017312368.1,channelCatfish__otx5__XP_017345917.1	3.0	3.0	3.0
41	yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	GCF	teleost	yangtzeCatfish__mafa__XP_046721024.1,yangtzeCatfish__mafb__XP_046715288.1	yangtzeCatfish__crx__XP_046695462.1	yangtzeCatfish__mafaa__XP_046709800.1	yangtzeCatfish__mafba__XP_046725730.1	yangtzeCatfish__maff__XP_046709373.1	yangtzeCatfish__mafga__XP_046721846.1,yangtzeCatfish__mafgb__XP_046713108.1	yangtzeCatfish__mafk__XP_046690455.1	yangtzeCatfish__nrl__XP_046729803.1	yangtzeCatfish__otx1__XP_046711104.1	yangtzeCatfish__otx2a__XP_046693058.1,yangtzeCatfish__otx5__XP_046719411.1	3.0	3.0	3.0
42	piranha	Pygocentrus_nattereri	Teleost ray-finned fishes	GCF	teleost	piranha__mafa__XP_017564729.1,piranha__mafb__XP_017554927.1	piranha__crx__XP_017569370.1	piranha__mafaa__XP_017577129.1	piranha__mafba__XP_017553718.1	piranha__maff__XP_017560970.1	piranha__mafga__XP_017569580.1,piranha__mafgb__XP_037400945.1	piranha__mafk__XP_017562994.1	piranha__nrl__XP_017553181.1	piranha__otx1__XP_017560465.1	piranha__otx2a__XP_017572022.1,piranha__otx5__XP_017578892.1	3.0	3.0	3.0
43	northernPike	Esox_lucius	Teleost ray-finned fishes	GCF	teleost	northernPike__LOC105022181__XP_010888682.1,northernPike__mafa__XP_019895967.1	northernPike__crx__XP_010869096.1	northernPike__mafaa__XP_010870766.1	northernPike__mafba__XP_019907591.2,northernPike__mafbb__XP_010880215.1	northernPike__maff__XP_010893859.1	northernPike__LOC105013039__XP_010872589.1,northernPike__mafgb__XP_028978188.1	northernPike__mafk__XP_010872892.1	northernPike__nrl__XP_010870577.1	northernPike__otx1__XP_010865940.1	northernPike__LOC105021530__XP_019905224.2,northernPike__otx5__XP_010896957.3	3.0	3.0	3.0
44	lanternFish	Electrona_risso	Teleost ray-finned fishes	NoGenome														
45	cod	Gadus_morhua	Teleost ray-finned fishes	GCF	teleost	cod__mafa__XP_030233636.1	cod__crx__XP_030218380.1	cod__mafaa__XP_030229457.1	cod__mafba__XP_030211285.1,cod__mafbb__XP_030229769.1	cod__LOC115531400__XP_074930269.1	cod__LOC115539323__XP_030206232.1,cod__mafgb__XP_030208298.1	cod__mafk__XP_030206167.1	cod__nrl__XP_030229459.1	cod__otx1__XP_030235839.1	cod__LOC115539721__XP_030206357.1,cod__LOC115528900__XP_030193154.1	3.0	3.0	3.0
46	tuna	Thunnus_albacares	Teleost ray-finned fishes	GCF	teleost	tuna__mafa__XP_044203536.1,tuna__mafb__XP_044212074.1	tuna__crx__XP_044225469.1	tuna__mafaa__XP_044217031.1	tuna__mafba__XP_044207803.1,tuna__mafbb__XP_044204647.1	tuna__maff__XP_044193825.1	tuna__LOC122966582__XP_044186748.1,tuna__mafgb__XP_044202054.1	tuna__mafk__XP_044186196.1	tuna__nrl__XP_044216424.1	tuna__otx1__XP_044229764.1	tuna__LOC122976959__XP_044201435.1,tuna__LOC122983364__XP_044208999.1	3.0	3.0	3.0
47	snakeheadFish	Channa_argus	Teleost ray-finned fishes	GCF	teleost	snakeheadFish__LOC137125426__XP_067356963.1,snakeheadFish__mafa__XP_067343238.1	snakeheadFish__crx__XP_067350591.1	snakeheadFish__mafaa__XP_067370396.1	snakeheadFish__LOC137127917__XP_067361581.1,snakeheadFish__mafba__XP_067383503.1	snakeheadFish__maff__XP_067343664.1	snakeheadFish__LOC137099843__XP_067333265.1,snakeheadFish__mafgb__XP_067354826.1	snakeheadFish__mafk__XP_067332667.1	snakeheadFish__nrl__XP_067370542.1	snakeheadFish__otx1__XP_067369269.1	snakeheadFish__LOC137124486__XP_067355659.1,snakeheadFish__LOC137129553__XP_067364930.1	3.0	3.0	3.0
48	cichlid	Archocentrus_centrarchus	Teleost ray-finned fishes	GCF Near														
49	tilapia	Oreochromis_mossambicus	Teleost ray-finned fishes	GCF Near														
50	flavescentPeacockFish	Aulonocara_stuartgranti	Teleost ray-finned fishes	GCF	teleost	flavescentPeacockFish__LOC115781690__XP_030587350.1,flavescentPeacockFish__mafa__XP_030613676.1	flavescentPeacockFish__crx__XP_030601988.1	flavescentPeacockFish__mafaa__XP_030584217.1	flavescentPeacockFish__LOC115780235__XP_030585184.1,flavescentPeacockFish__mafba__XP_030590400.1	flavescentPeacockFish__LOC115798469__XP_074930552.1	flavescentPeacockFish__LOC115785214__XP_030592582.1,flavescentPeacockFish__mafgb__XP_030592808.1	flavescentPeacockFish__mafk__XP_030591848.1	flavescentPeacockFish__nrl__XP_030583765.1	flavescentPeacockFish__otx1__XP_030603933.1	flavescentPeacockFish__LOC115784140__XP_030591115.1,flavescentPeacockFish__LOC115790034__XP_030599542.1	3.0	3.0	3.0
51	yellowPeacockFish	Aulonocara_baenschi	Teleost ray-finned fishes	GCF Near														
52	triggerfish	Rhinecanthus_aculeatus	Teleost ray-finned fishes	GCF Near														
53	oceanJacket	Nelusetta_ayraudi	Teleost ray-finned fishes	GCF	teleost	oceanJacket__LOC142903523__XP_075905321.1,oceanJacket__mafa__XP_075879646.1	oceanJacket__LOC142884405__XP_075876083.1	oceanJacket__mafaa__XP_075901712.1	oceanJacket__mafba__XP_075882207.1,oceanJacket__mafbb__XP_075903975.1	oceanJacket__maff__XP_075890875.1	oceanJacket__LOC142886990__XP_075880409.1,oceanJacket__mafgb__XP_075895695.1	oceanJacket__mafk__XP_075894952.1	oceanJacket__nrl__XP_075895450.1	oceanJacket__otx1__XP_075906938.1	oceanJacket__LOC142881380__XP_075871769.1,oceanJacket__LOC142903351__XP_075905034.1,oceanJacket__LOC142903970__XP_075905998.1	3.0	3.0	3.0
54	giltheadBream	Sparus_aurata	Teleost ray-finned fishes	GCF	teleost	giltheadBream__LOC115586770__XP_030281966.1,giltheadBream__mafa__XP_030270417.1	giltheadBream__crx__XP_030293809.1	giltheadBream__mafaa__XP_030287986.1	giltheadBream__mafba__XP_030279318.1,giltheadBream__mafbb__XP_030276052.1	giltheadBream__maff__XP_030257020.1	giltheadBream__LOC115576097__XP_030264467.1,giltheadBream__mafgb__XP_030252038.1	giltheadBream__mafk__XP_030264057.1	giltheadBream__nrl__XP_030288310.1	giltheadBream__otx1__XP_030296709.1	giltheadBream__LOC115592924__XP_030292055.1,giltheadBream__LOC115594333__XP_030294209.1	3.0	3.0	3.0
55	oldwife	Enoplosus_armatus	Teleost ray-finned fishes	GCF	teleost	oldwife__LOC139286594__XP_070763562.1,oldwife__mafa__XP_070760746.1	oldwife__crx__XP_070773366.1	oldwife__mafaa__XP_070765312.1	oldwife__mafba__XP_070766159.1,oldwife__mafbb__XP_070758187.1	oldwife__maff__XP_070783430.1	oldwife__LOC139300464__XP_070779677.1,oldwife__mafgb__XP_070778961.1	oldwife__mafk__XP_070778581.1	oldwife__nrl__XP_070764973.1	oldwife__otx1__XP_070772027.1	oldwife__LOC139294521__XP_070772537.1,oldwife__LOC139285196__XP_070761798.1	3.0	3.0	3.0
56	bluegill	Lepomis_macrochirus	Teleost ray-finned fishes	GCF Near														
57	coelacanth	Latimeria_chalumnae	Lobe-finned fishes	GCF	fish	coelacanth__LOC102348657__XP_014344902.1	coelacanth__LOC102351276__XP_005987868.1	coelacanth__MAFAA__XP_006007664.1	coelacanth__LOC102365976__XP_005990472.1	coelacanth__LOC102353766__XP_014352934.1	coelacanth__LOC102359190__XP_064423458.1		coelacanth__LOC102354056__XP_005994483.1	coelacanth__OTX1__XP_005989615.1	coelacanth__OTX2B__XP_005986517.1	3.0	2.0	3.0
58	lungfish	Protopterus_annectens	Lobe-finned fishes	GCF	fish	lungfish__MAF__XP_043937739.1	lungfish__LOC122811864__XP_043940051.1	lungfish__MAFA__XP_043923271.1	lungfish__MAFB__XP_043946392.1	lungfish__MAFF__XP_043924399.1	lungfish__MAFG__XP_043924159.1		lungfish__LOC122790346__XP_043913796.1	lungfish__OTX1__XP_043911449.1	lungfish__OTX2__XP_043930372.1	3.0	2.0	3.0
59	tinyCaecilian	Microcaecilia_unicolor	Amphibians	GCF	fish	tinyCaecilian__MAF__XP_030060362.1	tinyCaecilian__CRX__XP_030075057.1	tinyCaecilian__MAFA__XP_030075691.1	tinyCaecilian__MAFB__XP_030068487.1	tinyCaecilian__MAFF__XP_030064149.1	tinyCaecilian__LOC115462212__XP_030048085.1,tinyCaecilian__MAFG__XP_030061033.1	tinyCaecilian__MAFK__XP_030068393.1	tinyCaecilian__NRL__XP_030043638.1	tinyCaecilian__OTX1__XP_030050515.1	tinyCaecilian__OTX2__XP_030070658.1	3.0	3.0	3.0
60	twolinedCaecilian	Rhinatrema_bivittatum	Amphibians	GCF	fish	twolinedCaecilian__MAF__XP_029464021.1	twolinedCaecilian__LOC115100559__XP_029474937.1,twolinedCaecilian__LOC115100686__XP_029475258.1	twolinedCaecilian__MAFA__XP_029448037.1	twolinedCaecilian__LOC115097897__XP_029469921.1	twolinedCaecilian__MAFF__XP_029446022.1	twolinedCaecilian__MAFG__XP_029454938.1	twolinedCaecilian__MAFK__XP_029432539.1	twolinedCaecilian__NRL__XP_029436441.1	twolinedCaecilian__OTX1__XP_029449529.1	twolinedCaecilian__OTX2__XP_029453271.1	3.0	3.0	3.0
61	chineseSalamander	Andrias_davidianus	Amphibians	GCF Near														
62	axolotl	Ambystoma_mexicanum	Amphibians	GCF	fish	axolotl__MAF__XP_069508968.1	axolotl__LOC138566747__XP_069500480.1	axolotl__MAFA__XP_069477854.1	axolotl__MAFB__XP_069508371.1	axolotl__MAFF__XP_069509081.1	axolotl__MAFG__XP_069511406.1	axolotl__MAFK__XP_069503740.1	axolotl__LOC138521230__XP_069490020.1	axolotl__OTX1__XP_069464308.1	axolotl__OTX2__XP_069494173.1	3.0	3.0	3.0
63	redSalamander	Plethodon_cinereus	Amphibians	GCF Near														
64	himalayaFrog	Nanorana_parkeri	Amphibians	GCF	fish	himalayaFrog__MAF__XP_018411242.1	himalayaFrog__CRX__XP_018411526.1	himalayaFrog__MAFA__XP_018414465.1	himalayaFrog__MAFB__XP_018411672.1	himalayaFrog__MAFF__XP_018426547.1	himalayaFrog__MAFG__XP_018409131.1	himalayaFrog__MAFK__XP_018412616.1	himalayaFrog__LOC108786756__XP_018411616.1	himalayaFrog__OTX1__XP_018411224.1	himalayaFrog__OTX2__XP_018418283.1	3.0	3.0	3.0
65	westernFrog	Xenopus_tropicalis	Amphibians	GCF	fish	westernFrog__maf__NP_001027476.1	westernFrog__crx__XP_012823813.2	westernFrog__mafa__NP_001027475.1	westernFrog__mafb__NP_001025694.1	westernFrog__maff__XP_002934281.1	westernFrog__mafg__XP_004916428.1	westernFrog__mafk__XP_031748285.1	westernFrog__nrl__XP_012808720.1	westernFrog__otx1__XP_031757465.1	westernFrog__otx2__XP_012823826.1	3.0	3.0	3.0
66	africanFrog	Xenopus_laevis	Amphibians	GCF	fish	africanFrog__maf.L__XP_041446090.1,africanFrog__maf.S__XP_041417067.1	africanFrog__crx.L__NP_001081916.1,africanFrog__crx.S__XP_041429996.1	africanFrog__mafa.L__XP_018123804.1,africanFrog__mafa.S__XP_018079484.1	africanFrog__mafb.L__XP_018090693.1,africanFrog__mafb.S__NP_001083852.1	africanFrog__maff.L__XP_018114367.1,africanFrog__maff.S__XP_018115181.1	africanFrog__mafg.L__XP_041432720.1	africanFrog__mafk.L__XP_041432184.1,africanFrog__mafk.S__XP_018094625.1	africanFrog__nrl.L__XP_018115091.1,africanFrog__nrl.S__NP_001079206.1	africanFrog__otx1.L__XP_018117180.1	africanFrog__otx2.L__XP_018084329.1,africanFrog__otx2.S__NP_001084160.1	3.0	3.0	3.0
67	tokayGecko	Gekko_gecko	Squamata (lizards and snakes)	GCF Near														
68	japaneseGecko	Gekko_japonicus	Squamata (lizards and snakes)	GCF	reptile	japaneseGecko__MAF__XP_015285014.1	japaneseGecko__LOC107121371__XP_015279773.1	japaneseGecko__MAFA__XP_015273594.1	japaneseGecko__MAFB__XP_015260977.1	japaneseGecko__MAFF__XP_015274659.1	japaneseGecko__MAFG__XP_015275850.1	japaneseGecko__MAFK__XP_015276628.1	japaneseGecko__NRL__XP_015269140.1	japaneseGecko__LOC107107343__XP_015263117.1	japaneseGecko__OTX2__XP_015262914.1	3.0	3.0	3.0
69	sandLizard	Lacerta_agilis	Squamata (lizards and snakes)	GCF	reptile	sandLizard__MAF__XP_033013070.1	sandLizard__LOC117052044__XP_033014662.1	sandLizard__MAFA__XP_033011850.1	sandLizard__MAFB__XP_033009283.1	sandLizard__MAFF__XP_033018043.1	sandLizard__MAFG__XP_032994994.1	sandLizard__MAFK__XP_033022525.1	sandLizard__NRL__XP_033026288.1	sandLizard__OTX1__XP_033001507.1	sandLizard__OTX2__XP_033024617.1	3.0	3.0	3.0
70	tawnyDragon	Ctenophorus_decresii	Squamata (lizards and snakes)	GCF Near														
71	beardedDragon	Pogona_vitticeps	Squamata (lizards and snakes)	GCF	reptile	beardedDragon__MAF__XP_020657363.1	beardedDragon__LOC110088518__XP_020666511.1	beardedDragon__MAFA__XP_020669048.1	beardedDragon__MAFB__XP_020644911.1	beardedDragon__MAFF__XP_020643246.1	beardedDragon__MAFG__XP_020670010.1	beardedDragon__MAFK__XP_020659950.1	beardedDragon__NRL__XP_020664985.1	beardedDragon__OTX1__XP_020646291.1	beardedDragon__OTX2__XP_020658164.1	3.0	3.0	3.0
72	greenAnole	Anolis_carolinensis	Squamata (lizards and snakes)	GCF	reptile	greenAnole__maf__XP_008112130.2	greenAnole__LOC100559672__XP_062818439.1	greenAnole__mafa__XP_062835983.1	greenAnole__mafb__XP_008115790.2	greenAnole__maff__XP_003227196.2	greenAnole__mafg__XP_008102792.1	greenAnole__mafk__XP_008116599.1	greenAnole__nrl__XP_062814062.1	greenAnole__otx1__XP_062815107.1	greenAnole__otx2__XP_062824717.1	3.0	3.0	3.0
73	brownAnole	Anolis_sagrei	Squamata (lizards and snakes)	GCF	reptile	brownAnole__MAF__XP_060644362.2	brownAnole__LOC132780209__XP_060639772.1,brownAnole__LOC137095319__XP_067317913.1	brownAnole__MAFA__XP_060631969.2	brownAnole__MAFB__XP_060628215.2	brownAnole__MAFF__XP_060633020.1	brownAnole__MAFG__XP_060620842.1	brownAnole__LOC132782144__XP_060642834.2,brownAnole__LOC137095487__XP_067318314.1	brownAnole__NRL__XP_060635977.1	brownAnole__OTX1__XP_067325612.1	brownAnole__OTX2__XP_067319192.1	3.0	3.0	3.0
74	python	Python_bivittatus	Squamata (lizards and snakes)	GCF	reptile	python__LOC103049108__XP_025027841.1	python__CRX__XP_007427043.1		python__MAFB__XP_015744577.1	python__MAFF__XP_025025777.1	python__MAFG__XP_007427839.1	python__MAFK__XP_007442315.1	python__NRL__XP_007437369.1	python__LOC103067230__XP_025022551.1	python__OTX2__XP_007422992.1	2.0	3.0	3.0
75	groundBoa	Candoia_aspera	Squamata (lizards and snakes)	GCF	reptile	groundBoa__MAF__XP_063169066.1	groundBoa__LOC134503250__XP_063168066.1	groundBoa__MAFA__XP_063156075.1	groundBoa__MAFB__XP_063153241.1	groundBoa__MAFF__XP_063164167.1	groundBoa__MAFG__XP_063149356.1	groundBoa__MAFK__XP_063170913.1	groundBoa__NRL__XP_063157679.1	groundBoa__OTX1__XP_063147491.1	groundBoa__OTX2__XP_063150066.1	3.0	3.0	3.0
76	cobra	Naja_naja	Squamata (lizards and snakes)	GCF Near														
77	garterSnake	Thamnophis_sirtalis	Squamata (lizards and snakes)	GCF	reptile	garterSnake__LOC106551874__XP_013925512.1	garterSnake__LOC106555201__XP_013929460.1	garterSnake__MAFA__XP_013917130.1	garterSnake__MAFB__XP_013914637.1	garterSnake__MAFF__XP_013910419.1	garterSnake__MAFG__XP_013916963.1	garterSnake__MAFK__XP_013916685.1	garterSnake__LOC106552296__XP_013926010.1	garterSnake__OTX1__XP_013919834.1	garterSnake__LOC106538813__XP_013908912.1,garterSnake__LOC106538819__XP_013908919.1	3.0	3.0	3.0
78	cornSnake	Pantherophis_guttatus	Squamata (lizards and snakes)	GCF	reptile	cornSnake__MAF__XP_034281304.1	cornSnake__LOC117677699__XP_034293968.1	cornSnake__MAFA__XP_034275836.1	cornSnake__MAFB__XP_034269821.1	cornSnake__MAFF__XP_034259519.1	cornSnake__MAFG__XP_034268786.1	cornSnake__MAFK__XP_034297459.1	cornSnake__NRL__XP_060540776.1	cornSnake__OTX1__XP_060545338.1	cornSnake__OTX2__XP_034289343.1	3.0	3.0	3.0
79	greenTurtle	Chelonia_mydas	Turtles	GCF	reptile	greenTurtle__MAF__XP_043381875.1	greenTurtle__CRX__XP_037740430.1	greenTurtle__MAFA__XP_043394915.1	greenTurtle__MAFB__XP_037771984.1	greenTurtle__MAFF__XP_043399227.1	greenTurtle__MAFG__XP_037770029.1	greenTurtle__MAFK__XP_007065416.2	greenTurtle__NRL__XP_037733020.2	greenTurtle__OTX1__XP_037752009.1	greenTurtle__OTX2__XP_043405691.1	3.0	3.0	3.0
