ProteinID	GeneGroup	ProteinLen
vaseTunicateDenovo__Unknown__TRINITY_DN5152_c0_g1_i2.p1	OTX	521.0
broadgilledHagfishDenovo__Unknown__TRINITY_DN4400_c1_g1_i51.p1	CRX	447.0
broadgilledHagfishDenovo__Unknown__TRINITY_DN2165_c0_g1_i4.p1	MAFF	164.0
broadgilledHagfishDenovo__Unknown__TRINITY_DN1106_c1_g1_i2.p1	OTX1	377.0
broadgilledHagfishDenovo__Unknown__TRINITY_DN4400_c1_g1_i51.p1	OTX2	447.0
pouchedLampreyDenovo__Unknown__TRINITY_DN4424_c2_g1_i1.p2	CMAF	252.0
pouchedLampreyDenovo__Unknown__TRINITY_DN583_c1_g1_i6.p1	CRX	410.0
pouchedLampreyDenovo__Unknown__TRINITY_DN6656_c0_g2_i2.p2	NRL	178.0
pouchedLampreyDenovo__Unknown__TRINITY_DN1833_c0_g1_i24.p2	OTX1	309.0
pouchedLampreyDenovo__Unknown__TRINITY_DN583_c1_g1_i6.p1	OTX2	410.0
shortheadLampreyDenovo__Unknown__TRINITY_DN86006_c0_g1_i1.p1	MAFG	152.0
shortheadLampreyDenovo__Unknown__TRINITY_DN10608_c0_g1_i1.p2	NRL	373.0
shortheadLampreyDenovo__Unknown__TRINITY_DN216_c1_g1_i9.p1	OTX1	482.0
seaLampreyDenovo__Unknown__TRINITY_DN7178_c1_g1_i1.p1	CMAF	411.0
seaLampreyDenovo__Unknown__TRINITY_DN18384_c0_g1_i3.p1	CRX	277.0
seaLampreyDenovo__Unknown__TRINITY_DN48567_c2_g2_i1.p2	MAFG	151.0
seaLampreyDenovo__Unknown__TRINITY_DN143252_c0_g2_i1.p1	NRL	105.0
seaLampreyDenovo__Unknown__TRINITY_DN18384_c0_g1_i3.p1	OTX2	277.0
arcticLampreyDenovo__Unknown__TRINITY_DN37071_c0_g1_i2.p1	CRX	346.0
arcticLampreyDenovo__Unknown__TRINITY_DN2921_c0_g1_i6.p1	OTX1	210.0
arcticLampreyDenovo__Unknown__TRINITY_DN37071_c0_g1_i2.p1	OTX2	346.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN6522_c0_g2_i2.p1	CMAF	691.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN20_c12_g1_i3.p2	CRX	294.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN1087_c0_g1_i1.p2	MAFB	307.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN3460_c0_g2_i1.p1	MAFG	163.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN6273_c7_g1_i1.p1	MAFK	142.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN8755_c0_g1_i1.p1	OTX1	321.0
bluespottedStingrayDenovo__Unknown__TRINITY_DN15987_c0_g1_i1.p1	OTX2	343.0
catsharkDenovo__Unknown__TRINITY_DN68612_c0_g1_i1.p1	CMAF	107.0
catsharkDenovo__Unknown__TRINITY_DN1784_c0_g1_i1.p1	CRX	328.0
catsharkDenovo__Unknown__TRINITY_DN50368_c1_g1_i1.p1	MAFA	160.0
catsharkDenovo__Unknown__TRINITY_DN58144_c0_g1_i1.p2	MAFB	184.0
catsharkDenovo__Unknown__TRINITY_DN33891_c0_g1_i1.p1	MAFF	181.0
catsharkDenovo__Unknown__TRINITY_DN86925_c0_g1_i1.p1	MAFG	163.0
catsharkDenovo__Unknown__TRINITY_DN4533_c0_g1_i2.p3	NRL	172.0
catsharkDenovo__Unknown__TRINITY_DN1816_c0_g1_i1.p1	OTX1	317.0
catsharkDenovo__Unknown__TRINITY_DN1784_c0_g1_i1.p1	OTX2	328.0
reefSharkDenovo__Unknown__TRINITY_DN3752_c0_g1_i9.p1	CRX	291.0
reefSharkDenovo__Unknown__TRINITY_DN17848_c0_g1_i1.p2	MAFA	102.0
reefSharkDenovo__Unknown__TRINITY_DN21881_c0_g1_i5.p2	MAFB	131.0
reefSharkDenovo__Unknown__TRINITY_DN9238_c0_g2_i2.p1	MAFF	172.0
reefSharkDenovo__Unknown__TRINITY_DN7961_c0_g1_i1.p1	MAFG	217.0
reefSharkDenovo__Unknown__TRINITY_DN7936_c0_g1_i1.p1	OTX1	317.0
reefSharkDenovo__Unknown__TRINITY_DN3752_c0_g1_i9.p1	OTX2	291.0
bambooSharkDenovo__Unknown__TRINITY_DN2442_c8_g1_i1.p1	CMAF	159.0
bambooSharkDenovo__Unknown__TRINITY_DN174_c0_g2_i7.p1	CRX	311.0
bambooSharkDenovo__Unknown__TRINITY_DN49467_c0_g1_i1.p2	MAFA	224.0
bambooSharkDenovo__Unknown__TRINITY_DN510_c3_g5_i3.p1	MAFB	333.0
bambooSharkDenovo__Unknown__TRINITY_DN10530_c0_g1_i1.p1	MAFF	159.0
bambooSharkDenovo__Unknown__TRINITY_DN94201_c0_g1_i4.p1	MAFG	163.0
bambooSharkDenovo__Unknown__TRINITY_DN9476_c6_g1_i1.p1	MAFK	180.0
bambooSharkDenovo__Unknown__TRINITY_DN74477_c0_g1_i2.p1	OTX1	316.0
bambooSharkDenovo__Unknown__TRINITY_DN1700_c1_g2_i7.p1	OTX2	291.0
nurseSharkDenovo__Unknown__TRINITY_DN7377_c0_g1_i1.p1	CMAF	209.0
nurseSharkDenovo__Unknown__TRINITY_DN1882_c0_g1_i8.p1	CRX	291.0
nurseSharkDenovo__Unknown__TRINITY_DN1428_c5_g1_i3.p1	MAFB	320.0
nurseSharkDenovo__Unknown__TRINITY_DN90521_c0_g1_i2.p1	MAFG	163.0
nurseSharkDenovo__Unknown__TRINITY_DN571_c0_g2_i2.p1	MAFK	141.0
nurseSharkDenovo__Unknown__TRINITY_DN3114_c0_g1_i7.p1	OTX1	169.0
nurseSharkDenovo__Unknown__TRINITY_DN1882_c0_g1_i8.p1	OTX2	291.0
bowfinDenovo__Unknown__TRINITY_DN10945_c0_g1_i2.p1	CMAF	320.0
bowfinDenovo__Unknown__TRINITY_DN8079_c0_g1_i2.p1	CRX	366.0
bowfinDenovo__Unknown__TRINITY_DN13789_c0_g1_i1.p1	MAFB	346.0
bowfinDenovo__Unknown__TRINITY_DN3926_c0_g1_i2.p1	MAFF	168.0
bowfinDenovo__Unknown__TRINITY_DN39931_c0_g1_i1.p1	MAFG	215.0
bowfinDenovo__Unknown__TRINITY_DN815_c0_g1_i2.p1	OTX1	330.0
bowfinDenovo__Unknown__TRINITY_DN692_c4_g2_i1.p1	OTX2	297.0
spottedGarDenovo__Unknown__TRINITY_DN4874_c0_g1_i3.p2	CMAF	330.0
spottedGarDenovo__Unknown__TRINITY_DN1707_c0_g1_i5.p1	CRX	439.0
spottedGarDenovo__Unknown__TRINITY_DN10751_c0_g1_i1.p1	MAFA	300.0
spottedGarDenovo__Unknown__TRINITY_DN3773_c0_g1_i1.p1	MAFB	390.0
spottedGarDenovo__Unknown__TRINITY_DN5067_c0_g1_i2.p1	MAFF	163.0
spottedGarDenovo__Unknown__TRINITY_DN5067_c0_g2_i5.p1	MAFG	221.0
spottedGarDenovo__Unknown__TRINITY_DN29427_c0_g1_i34.p1	MAFK	176.0
spottedGarDenovo__Unknown__TRINITY_DN95_c2_g2_i2.p1	NRL	300.0
spottedGarDenovo__Unknown__TRINITY_DN110_c4_g1_i6.p1	OTX1	339.0
spottedGarDenovo__Unknown__TRINITY_DN1707_c0_g1_i5.p1	OTX2	439.0
floridaGarDenovo__Unknown__TRINITY_DN46121_c0_g1_i1.p1	CMAF	322.0
floridaGarDenovo__Unknown__TRINITY_DN3169_c0_g1_i2.p1	CRX	378.0
floridaGarDenovo__Unknown__TRINITY_DN764_c0_g1_i1.p1	MAFB	390.0
floridaGarDenovo__Unknown__TRINITY_DN10496_c0_g4_i2.p2	MAFF	163.0
floridaGarDenovo__Unknown__TRINITY_DN1_c7_g1_i1.p1	NRL	106.0
floridaGarDenovo__Unknown__TRINITY_DN7066_c0_g1_i1.p1	OTX1	200.0
floridaGarDenovo__Unknown__TRINITY_DN3169_c0_g1_i2.p1	OTX2	378.0
eelDenovo__Unknown__TRINITY_DN49631_c1_g1_i1.p1	CMAF	324.0
eelDenovo__Unknown__TRINITY_DN598_c0_g1_i10.p1	CRX	349.0
eelDenovo__Unknown__TRINITY_DN22962_c0_g1_i1.p2	MAFA	289.0
eelDenovo__Unknown__TRINITY_DN10285_c0_g1_i4.p1	MAFB	378.0
eelDenovo__Unknown__TRINITY_DN17_c1_g1_i4.p1	MAFF	160.0
eelDenovo__Unknown__TRINITY_DN16734_c0_g1_i7.p2	MAFG	234.0
eelDenovo__Unknown__TRINITY_DN24239_c0_g1_i6.p1	MAFK	162.0
eelDenovo__Unknown__TRINITY_DN33521_c0_g2_i7.p1	NRL	263.0
zebrafishDenovo__Unknown__TRINITY_DN15784_c0_g1_i1.p1	CMAF	152.0
zebrafishDenovo__Unknown__TRINITY_DN3855_c0_g1_i5.p1	CRX	290.0
zebrafishDenovo__Unknown__TRINITY_DN52277_c0_g1_i1.p1	MAFA	114.0
zebrafishDenovo__Unknown__TRINITY_DN85309_c0_g1_i1.p1	MAFB	147.0
zebrafishDenovo__Unknown__TRINITY_DN24357_c0_g1_i1.p2	MAFF	109.0
zebrafishDenovo__Unknown__TRINITY_DN71006_c0_g1_i1.p2	MAFK	103.0
zebrafishDenovo__Unknown__TRINITY_DN112_c2_g1_i21.p1	NRL	413.0
zebrafishDenovo__Unknown__TRINITY_DN25331_c0_g1_i2.p1	OTX1	339.0
zebrafishDenovo__Unknown__TRINITY_DN3855_c0_g1_i5.p1	OTX2	290.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN9366_c1_g1_i1.p2	CMAF	226.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN418_c0_g3_i7.p1	CRX	265.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN5320_c4_g1_i1.p1	MAFB	406.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN8217_c0_g3_i7.p2	MAFF	160.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN6074_c0_g1_i4.p1	MAFG	237.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN2946_c1_g1_i1.p1	NRL	418.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN6440_c1_g1_i1.p1	OTX1	353.0
yangtzeCatfishDenovo__Unknown__TRINITY_DN418_c0_g3_i7.p1	OTX2	265.0
northernPikeDenovo__Unknown__TRINITY_DN5580_c2_g2_i1.p1	CMAF	333.0
northernPikeDenovo__Unknown__TRINITY_DN508_c0_g1_i1.p1	CRX	304.0
northernPikeDenovo__Unknown__TRINITY_DN18254_c0_g1_i1.p1	MAFA	309.0
northernPikeDenovo__Unknown__TRINITY_DN4145_c2_g1_i2.p1	MAFB	467.0
northernPikeDenovo__Unknown__TRINITY_DN2890_c0_g2_i2.p2	MAFF	159.0
northernPikeDenovo__Unknown__TRINITY_DN2890_c0_g5_i1.p1	MAFG	171.0
northernPikeDenovo__Unknown__TRINITY_DN9584_c0_g1_i5.p1	MAFK	161.0
northernPikeDenovo__Unknown__TRINITY_DN451_c0_g1_i12.p1	NRL	438.0
northernPikeDenovo__Unknown__TRINITY_DN7752_c0_g2_i2.p1	OTX1	337.0
northernPikeDenovo__Unknown__TRINITY_DN508_c2_g1_i2.p1	OTX2	296.0
lanternFishDenovo__Unknown__TRINITY_DN576_c0_g1_i3.p1	CRX	293.0
lanternFishDenovo__Unknown__TRINITY_DN43567_c0_g1_i1.p2	NRL	101.0
lanternFishDenovo__Unknown__TRINITY_DN576_c0_g1_i3.p1	OTX2	293.0
codDenovo__Unknown__TRINITY_DN528_c1_g1_i1.p1	CRX	296.0
codDenovo__Unknown__TRINITY_DN342_c1_g1_i1.p1	MAFB	395.0
codDenovo__Unknown__TRINITY_DN200_c1_g1_i3.p1	NRL	472.0
codDenovo__Unknown__TRINITY_DN7360_c0_g1_i2.p1	OTX2	452.0
tunaDenovo__Unknown__TRINITY_DN177_c1_g1_i16.p1	CRX	450.0
tunaDenovo__Unknown__TRINITY_DN4544_c0_g1_i1.p1	MAFB	409.0
tunaDenovo__Unknown__TRINITY_DN2230_c0_g3_i1.p1	MAFF	207.0
tunaDenovo__Unknown__TRINITY_DN45236_c0_g1_i1.p1	MAFG	128.0
tunaDenovo__Unknown__TRINITY_DN33611_c0_g1_i1.p1	MAFK	128.0
tunaDenovo__Unknown__TRINITY_DN3893_c0_g1_i1.p1	NRL	253.0
tunaDenovo__Unknown__TRINITY_DN177_c1_g1_i16.p1	OTX2	450.0
cichlidDenovo__Unknown__TRINITY_DN43933_c0_g1_i1.p1	CMAF	141.0
cichlidDenovo__Unknown__TRINITY_DN7215_c0_g1_i1.p1	CRX	297.0
cichlidDenovo__Unknown__TRINITY_DN51_c1_g1_i1.p1	MAFB	424.0
cichlidDenovo__Unknown__TRINITY_DN48907_c0_g1_i1.p1	MAFF	159.0
cichlidDenovo__Unknown__TRINITY_DN244_c0_g1_i1.p1	NRL	428.0
cichlidDenovo__Unknown__TRINITY_DN5108_c0_g1_i1.p1	OTX1	108.0
cichlidDenovo__Unknown__TRINITY_DN7215_c0_g1_i1.p1	OTX2	297.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN17161_c0_g1_i1.p1	CMAF	245.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN4424_c0_g2_i1.p1	CRX	296.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN83637_c0_g1_i1.p1	MAFA	145.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN6718_c0_g1_i1.p1	MAFB	409.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN4395_c0_g1_i2.p2	MAFF	159.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN10960_c0_g1_i5.p1	MAFG	228.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN97312_c0_g1_i1.p1	MAFK	156.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN1945_c0_g1_i2.p1	NRL	431.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN12787_c0_g1_i2.p1	OTX1	294.0
yellowPeacockFishDenovo__Unknown__TRINITY_DN4424_c0_g2_i1.p1	OTX2	296.0
triggerfishDenovo__Unknown__TRINITY_DN301_c0_g1_i2.p1	CRX	297.0
triggerfishDenovo__Unknown__TRINITY_DN8554_c0_g1_i2.p1	MAFF	158.0
triggerfishDenovo__Unknown__TRINITY_DN301_c0_g1_i2.p1	OTX2	297.0
giltheadBreamDenovo__Unknown__TRINITY_DN4044_c0_g1_i2.p1	CRX	356.0
giltheadBreamDenovo__Unknown__TRINITY_DN9304_c2_g2_i1.p1	MAFB	228.0
giltheadBreamDenovo__Unknown__TRINITY_DN3014_c0_g2_i1.p1	NRL	448.0
giltheadBreamDenovo__Unknown__TRINITY_DN4044_c0_g1_i2.p1	OTX2	356.0
bluegillDenovo__Unknown__TRINITY_DN9939_c0_g1_i1.p2	CMAF	388.0
bluegillDenovo__Unknown__TRINITY_DN2316_c1_g2_i1.p1	CRX	296.0
bluegillDenovo__Unknown__TRINITY_DN10979_c0_g1_i6.p1	MAFA	312.0
bluegillDenovo__Unknown__TRINITY_DN1031_c1_g1_i8.p1	MAFB	409.0
bluegillDenovo__Unknown__TRINITY_DN271_c0_g1_i4.p1	MAFF	208.0
bluegillDenovo__Unknown__TRINITY_DN3176_c1_g1_i2.p1	MAFG	183.0
bluegillDenovo__Unknown__TRINITY_DN16904_c1_g1_i2.p1	MAFK	161.0
bluegillDenovo__Unknown__TRINITY_DN114_c13_g1_i13.p1	NRL	429.0
bluegillDenovo__Unknown__TRINITY_DN2873_c0_g3_i1.p1	OTX1	289.0
bluegillDenovo__Unknown__TRINITY_DN2248_c1_g1_i4.p1	OTX2	357.0
chineseSalamanderDenovo__Unknown__TRINITY_DN7869_c2_g1_i1.p1	CMAF	197.0
chineseSalamanderDenovo__Unknown__TRINITY_DN1080_c0_g1_i1.p1	CRX	296.0
chineseSalamanderDenovo__Unknown__TRINITY_DN45281_c0_g1_i1.p1	MAFA	166.0
chineseSalamanderDenovo__Unknown__TRINITY_DN30536_c0_g1_i2.p1	MAFB	321.0
chineseSalamanderDenovo__Unknown__TRINITY_DN98594_c0_g1_i1.p2	MAFF	104.0
chineseSalamanderDenovo__Unknown__TRINITY_DN13272_c0_g1_i1.p1	MAFG	127.0
chineseSalamanderDenovo__Unknown__TRINITY_DN56040_c0_g1_i2.p1	MAFK	176.0
chineseSalamanderDenovo__Unknown__TRINITY_DN15256_c0_g3_i1.p1	NRL	273.0
chineseSalamanderDenovo__Unknown__TRINITY_DN10725_c1_g1_i4.p1	OTX1	279.0
chineseSalamanderDenovo__Unknown__TRINITY_DN94097_c0_g1_i1.p2	OTX2	106.0
redSalamanderDenovo__Unknown__TRINITY_DN19329_c0_g1_i1.p1	CMAF	332.0
redSalamanderDenovo__Unknown__TRINITY_DN1457_c1_g1_i8.p1	CRX	296.0
redSalamanderDenovo__Unknown__TRINITY_DN3785_c6_g1_i3.p1	MAFA	319.0
redSalamanderDenovo__Unknown__TRINITY_DN22393_c0_g1_i1.p1	MAFB	322.0
redSalamanderDenovo__Unknown__TRINITY_DN12403_c0_g1_i2.p2	MAFF	156.0
redSalamanderDenovo__Unknown__TRINITY_DN278064_c0_g1_i1.p1	MAFG	194.0
redSalamanderDenovo__Unknown__TRINITY_DN26937_c0_g1_i1.p1	MAFK	220.0
redSalamanderDenovo__Unknown__TRINITY_DN3202_c1_g1_i9.p1	NRL	285.0
redSalamanderDenovo__Unknown__TRINITY_DN2759_c0_g2_i1.p1	OTX1	331.0
redSalamanderDenovo__Unknown__TRINITY_DN271388_c0_g1_i1.p1	OTX2	117.0
westernFrogDenovo__Unknown__TRINITY_DN48255_c1_g1_i2.p1	CMAF	362.0
westernFrogDenovo__Unknown__TRINITY_DN4469_c1_g2_i2.p1	CRX	300.0
westernFrogDenovo__Unknown__TRINITY_DN144466_c0_g1_i1.p2	MAFA	290.0
westernFrogDenovo__Unknown__TRINITY_DN5068_c0_g1_i1.p1	MAFB	317.0
westernFrogDenovo__Unknown__TRINITY_DN3796_c0_g1_i25.p1	MAFF	149.0
westernFrogDenovo__Unknown__TRINITY_DN25049_c0_g1_i1.p1	MAFG	221.0
westernFrogDenovo__Unknown__TRINITY_DN5471_c0_g1_i11.p1	MAFK	201.0
westernFrogDenovo__Unknown__TRINITY_DN48255_c0_g1_i1.p1	NRL	263.0
westernFrogDenovo__Unknown__TRINITY_DN10263_c0_g1_i2.p1	OTX1	407.0
westernFrogDenovo__Unknown__TRINITY_DN500_c0_g1_i16.p1	OTX2	307.0
africanFrogDenovo__Unknown__TRINITY_DN1995_c0_g1_i8.p1	CMAF	397.0
africanFrogDenovo__Unknown__TRINITY_DN1648_c0_g1_i9.p1	CRX	368.0
africanFrogDenovo__Unknown__TRINITY_DN4799_c0_g1_i4.p1	MAFA	189.0
africanFrogDenovo__Unknown__TRINITY_DN4055_c0_g1_i9.p1	MAFB	314.0
africanFrogDenovo__Unknown__TRINITY_DN34057_c0_g1_i12.p1	MAFF	133.0
africanFrogDenovo__Unknown__TRINITY_DN37798_c0_g1_i1.p1	MAFG	164.0
africanFrogDenovo__Unknown__TRINITY_DN74455_c0_g1_i1.p1	MAFK	125.0
africanFrogDenovo__Unknown__TRINITY_DN6850_c0_g1_i4.p1	NRL	268.0
africanFrogDenovo__Unknown__TRINITY_DN35711_c0_g1_i11.p1	OTX2	309.0
tokayGeckoDenovo__Unknown__TRINITY_DN1916_c0_g1_i7.p1	CMAF	1171.0
tokayGeckoDenovo__Unknown__TRINITY_DN4063_c0_g1_i8.p1	CRX	291.0
tokayGeckoDenovo__Unknown__TRINITY_DN2203_c0_g1_i2.p5	MAFA	170.0
tokayGeckoDenovo__Unknown__TRINITY_DN307_c4_g1_i1.p2	MAFB	322.0
tokayGeckoDenovo__Unknown__TRINITY_DN2687_c0_g1_i2.p1	MAFF	181.0
tokayGeckoDenovo__Unknown__TRINITY_DN4607_c0_g1_i9.p1	MAFG	163.0
tokayGeckoDenovo__Unknown__TRINITY_DN6989_c0_g1_i1.p1	MAFK	194.0
tokayGeckoDenovo__Unknown__TRINITY_DN1067_c0_g1_i2.p1	NRL	266.0
tokayGeckoDenovo__Unknown__TRINITY_DN957_c7_g1_i1.p3	OTX1	122.0
tokayGeckoDenovo__Unknown__TRINITY_DN4063_c0_g1_i8.p1	OTX2	291.0
tawnyDragonDenovo__Unknown__TRINITY_DN1040_c26_g1_i1.p2	CMAF	165.0
tawnyDragonDenovo__Unknown__TRINITY_DN2840_c0_g1_i9.p2	CRX	293.0
tawnyDragonDenovo__Unknown__TRINITY_DN7913_c3_g1_i1.p3	MAFA	145.0
tawnyDragonDenovo__Unknown__TRINITY_DN1840_c1_g1_i1.p1	MAFB	325.0
tawnyDragonDenovo__Unknown__TRINITY_DN9032_c0_g1_i1.p1	MAFF	165.0
tawnyDragonDenovo__Unknown__TRINITY_DN5115_c0_g1_i4.p1	MAFG	207.0
tawnyDragonDenovo__Unknown__TRINITY_DN8715_c0_g1_i33.p1	MAFK	196.0
tawnyDragonDenovo__Unknown__TRINITY_DN174348_c0_g1_i1.p1	NRL	176.0
tawnyDragonDenovo__Unknown__TRINITY_DN29177_c0_g1_i6.p1	OTX1	172.0
tawnyDragonDenovo__Unknown__TRINITY_DN2840_c0_g1_i9.p2	OTX2	293.0
greenAnoleDenovo__Unknown__TRINITY_DN17345_c0_g1_i1.p2	CMAF	271.0
greenAnoleDenovo__Unknown__TRINITY_DN615_c1_g1_i2.p1	CRX	346.0
greenAnoleDenovo__Unknown__TRINITY_DN3642_c0_g1_i1.p2	MAFA	232.0
greenAnoleDenovo__Unknown__TRINITY_DN5789_c0_g1_i1.p2	MAFB	177.0
greenAnoleDenovo__Unknown__TRINITY_DN5970_c0_g1_i2.p1	MAFF	150.0
greenAnoleDenovo__Unknown__TRINITY_DN3426_c0_g4_i2.p1	MAFG	163.0
greenAnoleDenovo__Unknown__TRINITY_DN6663_c0_g1_i1.p1	MAFK	127.0
greenAnoleDenovo__Unknown__TRINITY_DN6610_c2_g1_i3.p1	NRL	268.0
greenAnoleDenovo__Unknown__TRINITY_DN615_c1_g1_i2.p1	OTX2	346.0
cobraDenovo__Unknown__TRINITY_DN21661_c0_g1_i1.p2	CMAF	131.0
cobraDenovo__Unknown__TRINITY_DN34587_c0_g1_i1.p1	CRX	329.0
cobraDenovo__Unknown__TRINITY_DN55440_c0_g1_i1.p1	MAFB	192.0
cobraDenovo__Unknown__TRINITY_DN26967_c0_g1_i1.p1	MAFF	284.0
cobraDenovo__Unknown__TRINITY_DN10102_c0_g1_i1.p1	OTX1	692.0
cobraDenovo__Unknown__TRINITY_DN34587_c0_g1_i1.p1	OTX2	329.0
garterSnakeDenovo__Unknown__TRINITY_DN14451_c0_g1_i1.p1	CMAF	225.0
garterSnakeDenovo__Unknown__TRINITY_DN588_c0_g1_i15.p1	CRX	448.0
garterSnakeDenovo__Unknown__TRINITY_DN1809_c0_g4_i1.p2	MAFA	315.0
garterSnakeDenovo__Unknown__TRINITY_DN2443_c0_g1_i1.p2	MAFB	343.0
garterSnakeDenovo__Unknown__TRINITY_DN1632_c0_g1_i2.p1	MAFF	150.0
garterSnakeDenovo__Unknown__TRINITY_DN40720_c0_g1_i1.p1	MAFG	189.0
garterSnakeDenovo__Unknown__TRINITY_DN63139_c0_g1_i1.p1	MAFK	200.0
garterSnakeDenovo__Unknown__TRINITY_DN7014_c0_g1_i5.p2	NRL	270.0
garterSnakeDenovo__Unknown__TRINITY_DN5126_c0_g1_i9.p1	OTX1	355.0
garterSnakeDenovo__Unknown__TRINITY_DN588_c0_g1_i15.p1	OTX2	448.0
americanAlligatorDenovo__Unknown__TRINITY_DN2819_c2_g1_i1.p1	CMAF	216.0
americanAlligatorDenovo__Unknown__TRINITY_DN223_c0_g1_i30.p1	CRX	291.0
americanAlligatorDenovo__Unknown__TRINITY_DN17678_c2_g1_i1.p1	MAFA	291.0
americanAlligatorDenovo__Unknown__TRINITY_DN6785_c1_g2_i1.p1	MAFB	181.0
americanAlligatorDenovo__Unknown__TRINITY_DN25409_c0_g1_i2.p2	MAFF	150.0
americanAlligatorDenovo__Unknown__TRINITY_DN16465_c2_g2_i1.p2	MAFG	163.0
americanAlligatorDenovo__Unknown__TRINITY_DN16465_c2_g1_i4.p1	MAFK	195.0
americanAlligatorDenovo__Unknown__TRINITY_DN39821_c0_g1_i1.p1	NRL	263.0
americanAlligatorDenovo__Unknown__TRINITY_DN3711_c0_g2_i2.p2	OTX1	143.0
americanAlligatorDenovo__Unknown__TRINITY_DN223_c0_g1_i30.p1	OTX2	291.0
emuDenovo__Unknown__TRINITY_DN6699_c1_g1_i1.p1	CMAF	196.0
emuDenovo__Unknown__TRINITY_DN526_c0_g2_i10.p1	CRX	405.0
emuDenovo__Unknown__TRINITY_DN535_c2_g3_i1.p1	MAFB	314.0
emuDenovo__Unknown__TRINITY_DN8089_c0_g1_i1.p1	MAFF	234.0
emuDenovo__Unknown__TRINITY_DN401_c0_g1_i1.p1	MAFK	194.0
emuDenovo__Unknown__TRINITY_DN535_c1_g3_i1.p1	OTX1	147.0
emuDenovo__Unknown__TRINITY_DN526_c0_g2_i10.p1	OTX2	405.0
