OrganismShortName	OrganismID	OrganismColor	bulkrna107	AnnotationSource	AnnotationType	CMAF	MAFA	MAFB	NRL	MAFF	MAFG	MAFK	OTX1	OTX2	CRX	nMAFL	nMAFS	nOTX
shortheadLamprey	Mordacia_mordax	Agnathans (hagfish and lampreys)	Yes	GCA	denovo				shortheadLampreyDenovo__Unknown__TRINITY_DN10608_c0_g1_i1.p2		shortheadLampreyDenovo__Unknown__TRINITY_DN86006_c0_g1_i1.p1		shortheadLampreyDenovo__Unknown__TRINITY_DN216_c1_g1_i9.p1			1.0	1.0	1.0
seaLamprey	Petromyzon_marinus	Agnathans (hagfish and lampreys)	Yes	GCF	denovo	seaLampreyDenovo__Unknown__TRINITY_DN7178_c1_g1_i1.p1			seaLampreyDenovo__Unknown__TRINITY_DN143252_c0_g2_i1.p1		seaLampreyDenovo__Unknown__TRINITY_DN48567_c2_g2_i1.p2			seaLampreyDenovo__Unknown__TRINITY_DN18384_c0_g1_i3.p1	seaLampreyDenovo__Unknown__TRINITY_DN18384_c0_g1_i3.p1	2.0	1.0	2.0
fareasternBrookLamprey	Lethenteron_reissneri	Agnathans (hagfish and lampreys)	No	GCF														
arcticLamprey	Lethenteron_camtschaticum	Agnathans (hagfish and lampreys)	Yes	GCF Near	denovo								arcticLampreyDenovo__Unknown__TRINITY_DN2921_c0_g1_i6.p1	arcticLampreyDenovo__Unknown__TRINITY_DN37071_c0_g1_i2.p1	arcticLampreyDenovo__Unknown__TRINITY_DN37071_c0_g1_i2.p1	0.0	0.0	3.0
bluespottedStingray	Neotrygon_kuhlii	Cartilaginous fishes	Yes	GCF Near	denovo	bluespottedStingrayDenovo__Unknown__TRINITY_DN6522_c0_g2_i2.p1		bluespottedStingrayDenovo__Unknown__TRINITY_DN1087_c0_g1_i1.p2			bluespottedStingrayDenovo__Unknown__TRINITY_DN3460_c0_g2_i1.p1	bluespottedStingrayDenovo__Unknown__TRINITY_DN6273_c7_g1_i1.p1	bluespottedStingrayDenovo__Unknown__TRINITY_DN8755_c0_g1_i1.p1	bluespottedStingrayDenovo__Unknown__TRINITY_DN15987_c0_g1_i1.p1	bluespottedStingrayDenovo__Unknown__TRINITY_DN20_c12_g1_i3.p2	2.0	2.0	3.0
redStingray	Hemitrygon_akajei	Cartilaginous fishes	No	GCF	annotated	redStingray__LOC140740842__XP_072926494.1	redStingray__mafaa__XP_072904721.1	redStingray__mafba__XP_072918127.1		redStingray__LOC140719078__XP_072889555.1	redStingray__mafga__XP_072882308.1	redStingray__mafk__XP_072917087.1	redStingray__otx1__XP_072907299.1	redStingray__otx2b__XP_072896008.1		3.0	3.0	2.0
catshark	Scyliorhinus_torazame	Cartilaginous fishes	Yes	GCF	annotated	catshark__mafa__XP_072373938.1	catshark__mafaa__XP_072324324.1	catshark__LOC140428545__XP_072371246.1		catshark__LOC140403927__XP_072348285.1	catshark__LOC140395576__XP_072339627.1	catshark__mafk__XP_072337129.1	catshark__otx1__XP_072363412.1	catshark__otx2b__XP_072345682.1	catshark__LOC140402323__XP_072346133.1	3.0	3.0	3.0
catshark	Scyliorhinus_torazame	Cartilaginous fishes	Yes	GCF	denovo	catsharkDenovo__Unknown__TRINITY_DN68612_c0_g1_i1.p1	catsharkDenovo__Unknown__TRINITY_DN50368_c1_g1_i1.p1	catsharkDenovo__Unknown__TRINITY_DN58144_c0_g1_i1.p2	catsharkDenovo__Unknown__TRINITY_DN4533_c0_g1_i2.p3	catsharkDenovo__Unknown__TRINITY_DN33891_c0_g1_i1.p1	catsharkDenovo__Unknown__TRINITY_DN86925_c0_g1_i1.p1		catsharkDenovo__Unknown__TRINITY_DN1816_c0_g1_i1.p1	catsharkDenovo__Unknown__TRINITY_DN1784_c0_g1_i1.p1	catsharkDenovo__Unknown__TRINITY_DN1784_c0_g1_i1.p1	4.0	2.0	3.0
reefShark	Carcharhinus_amblyrhynchos	Cartilaginous fishes	Yes	GCF Near	denovo		reefSharkDenovo__Unknown__TRINITY_DN17848_c0_g1_i1.p2	reefSharkDenovo__Unknown__TRINITY_DN21881_c0_g1_i5.p2		reefSharkDenovo__Unknown__TRINITY_DN9238_c0_g2_i2.p1	reefSharkDenovo__Unknown__TRINITY_DN7961_c0_g1_i1.p1		reefSharkDenovo__Unknown__TRINITY_DN7936_c0_g1_i1.p1	reefSharkDenovo__Unknown__TRINITY_DN3752_c0_g1_i9.p1	reefSharkDenovo__Unknown__TRINITY_DN3752_c0_g1_i9.p1	2.0	2.0	3.0
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	Yes	GCF	annotated	bambooShark__mafa__XP_072451968.1	bambooShark__mafaa__XP_072426116.1	bambooShark__LOC140462900__XP_072412445.1		bambooShark__LOC140488943__XP_072444262.1	bambooShark__LOC140464029__XP_072414753.1	bambooShark__mafk__XP_072415341.1	bambooShark__otx1__XP_072437691.1	bambooShark__otx2b__XP_072424894.1	bambooShark__LOC140454601__XP_072405569.1	3.0	3.0	3.0
bambooShark	Chiloscyllium_punctatum	Cartilaginous fishes	Yes	GCF	denovo	bambooSharkDenovo__Unknown__TRINITY_DN2442_c8_g1_i1.p1	bambooSharkDenovo__Unknown__TRINITY_DN49467_c0_g1_i1.p2	bambooSharkDenovo__Unknown__TRINITY_DN510_c3_g5_i3.p1		bambooSharkDenovo__Unknown__TRINITY_DN10530_c0_g1_i1.p1	bambooSharkDenovo__Unknown__TRINITY_DN94201_c0_g1_i4.p1	bambooSharkDenovo__Unknown__TRINITY_DN9476_c6_g1_i1.p1	bambooSharkDenovo__Unknown__TRINITY_DN74477_c0_g1_i2.p1	bambooSharkDenovo__Unknown__TRINITY_DN1700_c1_g2_i7.p1	bambooSharkDenovo__Unknown__TRINITY_DN174_c0_g2_i7.p1	3.0	3.0	3.0
nurseShark	Ginglymostoma_cirratum	Cartilaginous fishes	Yes	GCF Near	denovo	nurseSharkDenovo__Unknown__TRINITY_DN7377_c0_g1_i1.p1		nurseSharkDenovo__Unknown__TRINITY_DN1428_c5_g1_i3.p1			nurseSharkDenovo__Unknown__TRINITY_DN90521_c0_g1_i2.p1	nurseSharkDenovo__Unknown__TRINITY_DN571_c0_g2_i2.p1	nurseSharkDenovo__Unknown__TRINITY_DN3114_c0_g1_i7.p1	nurseSharkDenovo__Unknown__TRINITY_DN1882_c0_g1_i8.p1	nurseSharkDenovo__Unknown__TRINITY_DN1882_c0_g1_i8.p1	2.0	2.0	3.0
zebraShark	Stegostoma_tigrinum	Cartilaginous fishes	No	GCF	annotated	zebraShark__LOC125460078__XP_048403134.2	zebraShark__mafaa__XP_048385419.1	zebraShark__LOC125461481__XP_048406268.1		zebraShark__LOC125447181__XP_048377337.1	zebraShark__LOC125463828__XP_048411544.1	zebraShark__mafk__XP_048408027.1	zebraShark__otx1__XP_048391779.1	zebraShark__otx2b__XP_048394529.1	zebraShark__LOC125447748__XP_048378383.1	3.0	3.0	3.0
whaleShark	Rhincodon_typus	Cartilaginous fishes	No	GCF	annotated	whaleShark__mafa__XP_048462041.1	whaleShark__LOC109920499__XP_020376119.1	whaleShark__LOC109915489__XP_048464344.1		whaleShark__LOC109925329__XP_048473543.1	whaleShark__LOC125481030__XP_048466689.1	whaleShark__mafk__XP_020382141.1	whaleShark__otx1__XP_048457470.1	whaleShark__otx2b__XP_020382934.1	whaleShark__LOC109936750__XP_048474331.1	3.0	3.0	3.0
bowfin	Amia_calva	Non-teleost ray-finned fishes	Yes	GCF Near	denovo	bowfinDenovo__Unknown__TRINITY_DN10945_c0_g1_i2.p1		bowfinDenovo__Unknown__TRINITY_DN13789_c0_g1_i1.p1		bowfinDenovo__Unknown__TRINITY_DN3926_c0_g1_i2.p1	bowfinDenovo__Unknown__TRINITY_DN39931_c0_g1_i1.p1		bowfinDenovo__Unknown__TRINITY_DN815_c0_g1_i2.p1	bowfinDenovo__Unknown__TRINITY_DN692_c4_g2_i1.p1	bowfinDenovo__Unknown__TRINITY_DN8079_c0_g1_i2.p1	2.0	2.0	3.0
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	Yes	GCF	annotated	spottedGar__mafa__XP_006641197.2	spottedGar__mafaa__XP_069047236.1	spottedGar__mafba__XP_006639587.2	spottedGar__nrl__XP_069044909.1	spottedGar__maff__XP_069053156.1	spottedGar__mafgb__XP_006635210.2	spottedGar__mafk__XP_015215295.1	spottedGar__otx1__XP_006638669.2	spottedGar__otx2b__XP_006632284.1	spottedGar__LOC102686928__XP_069042592.1	4.0	3.0	3.0
spottedGar	Lepisosteus_oculatus	Non-teleost ray-finned fishes	Yes	GCF	denovo	spottedGarDenovo__Unknown__TRINITY_DN4874_c0_g1_i3.p2	spottedGarDenovo__Unknown__TRINITY_DN10751_c0_g1_i1.p1	spottedGarDenovo__Unknown__TRINITY_DN3773_c0_g1_i1.p1	spottedGarDenovo__Unknown__TRINITY_DN95_c2_g2_i2.p1	spottedGarDenovo__Unknown__TRINITY_DN5067_c0_g1_i2.p1	spottedGarDenovo__Unknown__TRINITY_DN5067_c0_g2_i5.p1	spottedGarDenovo__Unknown__TRINITY_DN29427_c0_g1_i34.p1	spottedGarDenovo__Unknown__TRINITY_DN110_c4_g1_i6.p1	spottedGarDenovo__Unknown__TRINITY_DN1707_c0_g1_i5.p1	spottedGarDenovo__Unknown__TRINITY_DN1707_c0_g1_i5.p1	4.0	3.0	3.0
floridaGar	Lepisosteus_platyrhincus	Non-teleost ray-finned fishes	Yes	GCF Near	denovo	floridaGarDenovo__Unknown__TRINITY_DN46121_c0_g1_i1.p1		floridaGarDenovo__Unknown__TRINITY_DN764_c0_g1_i1.p1	floridaGarDenovo__Unknown__TRINITY_DN1_c7_g1_i1.p1	floridaGarDenovo__Unknown__TRINITY_DN10496_c0_g4_i2.p2			floridaGarDenovo__Unknown__TRINITY_DN7066_c0_g1_i1.p1	floridaGarDenovo__Unknown__TRINITY_DN3169_c0_g1_i2.p1	floridaGarDenovo__Unknown__TRINITY_DN3169_c0_g1_i2.p1	3.0	1.0	3.0
eel	Gymnothorax_saxicola	Teleost ray-finned fishes	Yes	NoGenome	denovo	eelDenovo__Unknown__TRINITY_DN49631_c1_g1_i1.p1	eelDenovo__Unknown__TRINITY_DN22962_c0_g1_i1.p2	eelDenovo__Unknown__TRINITY_DN10285_c0_g1_i4.p1	eelDenovo__Unknown__TRINITY_DN33521_c0_g2_i7.p1	eelDenovo__Unknown__TRINITY_DN17_c1_g1_i4.p1	eelDenovo__Unknown__TRINITY_DN16734_c0_g1_i7.p2	eelDenovo__Unknown__TRINITY_DN24239_c0_g1_i6.p1			eelDenovo__Unknown__TRINITY_DN598_c0_g1_i10.p1	4.0	3.0	1.0
zebrafish	Danio_rerio	Teleost ray-finned fishes	Yes	GCF	annotated	zebrafish__mafa__XP_021323247.1,zebrafish__mafb__NP_001303598.2	zebrafish__mafaa__NP_001076409.1	zebrafish__mafba__NP_571090.2	zebrafish__nrl__NP_001035421.1	zebrafish__maff__NP_956630.1	zebrafish__mafga__XP_021325832.2,zebrafish__mafgb__XP_005169479.2	zebrafish__mafk__XP_005164260.1	zebrafish__otx1__NP_571325.2	zebrafish__otx2a__NP_571290.1,zebrafish__otx5__NP_851848.2	zebrafish__crx__NP_694419.1	4.0	3.0	3.0
zebrafish	Danio_rerio	Teleost ray-finned fishes	Yes	GCF	denovo	zebrafishDenovo__Unknown__TRINITY_DN15784_c0_g1_i1.p1	zebrafishDenovo__Unknown__TRINITY_DN52277_c0_g1_i1.p1	zebrafishDenovo__Unknown__TRINITY_DN85309_c0_g1_i1.p1	zebrafishDenovo__Unknown__TRINITY_DN112_c2_g1_i21.p1	zebrafishDenovo__Unknown__TRINITY_DN24357_c0_g1_i1.p2		zebrafishDenovo__Unknown__TRINITY_DN71006_c0_g1_i1.p2	zebrafishDenovo__Unknown__TRINITY_DN25331_c0_g1_i2.p1	zebrafishDenovo__Unknown__TRINITY_DN3855_c0_g1_i5.p1	zebrafishDenovo__Unknown__TRINITY_DN3855_c0_g1_i5.p1	4.0	2.0	3.0
grassCarp	Ctenopharyngodon_idella	Teleost ray-finned fishes	No	GCF	annotated	grassCarp__mafa__XP_051727005.1,grassCarp__mafb__XP_051739567.1	grassCarp__mafaa__XP_051754161.1	grassCarp__mafba__XP_051736520.1	grassCarp__nrl__XP_051731548.1	grassCarp__maff__XP_051771291.1	grassCarp__mafga__XP_051743368.1,grassCarp__mafgb__XP_051767641.1	grassCarp__mafk__XP_051742255.1	grassCarp__otx1__XP_051725101.1	grassCarp__otx2a__XP_051764913.1,grassCarp__otx5__XP_051718509.1	grassCarp__crx__XP_051750357.1	4.0	3.0	3.0
channelCatfish	Ictalurus_punctatus	Teleost ray-finned fishes	No	GCF	annotated	channelCatfish__mafa__XP_017322189.1,channelCatfish__mafb__XP_047015791.1	channelCatfish__mafaa__XP_053539678.1	channelCatfish__mafba__XP_017343290.1	channelCatfish__nrl__XP_053541635.1	channelCatfish__maff__XP_017339225.1	channelCatfish__mafga__XP_053530046.1,channelCatfish__mafgb__XP_017333948.1	channelCatfish__mafk__XP_017310124.1	channelCatfish__otx1__XP_017330959.1	channelCatfish__otx2a__XP_017312368.1,channelCatfish__otx5__XP_017345917.1	channelCatfish__crx__XP_017315072.1	4.0	3.0	3.0
yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	Yes	GCF	annotated	yangtzeCatfish__mafa__XP_046721024.1,yangtzeCatfish__mafb__XP_046715288.1	yangtzeCatfish__mafaa__XP_046709800.1	yangtzeCatfish__mafba__XP_046725730.1	yangtzeCatfish__nrl__XP_046729803.1	yangtzeCatfish__maff__XP_046709373.1	yangtzeCatfish__mafga__XP_046721846.1,yangtzeCatfish__mafgb__XP_046713108.1	yangtzeCatfish__mafk__XP_046690455.1	yangtzeCatfish__otx1__XP_046711104.1	yangtzeCatfish__otx2a__XP_046693058.1,yangtzeCatfish__otx5__XP_046719411.1	yangtzeCatfish__crx__XP_046695462.1	4.0	3.0	3.0
yangtzeCatfish	Silurus_meridionalis	Teleost ray-finned fishes	Yes	GCF	denovo	yangtzeCatfishDenovo__Unknown__TRINITY_DN9366_c1_g1_i1.p2		yangtzeCatfishDenovo__Unknown__TRINITY_DN5320_c4_g1_i1.p1	yangtzeCatfishDenovo__Unknown__TRINITY_DN2946_c1_g1_i1.p1	yangtzeCatfishDenovo__Unknown__TRINITY_DN8217_c0_g3_i7.p2	yangtzeCatfishDenovo__Unknown__TRINITY_DN6074_c0_g1_i4.p1		yangtzeCatfishDenovo__Unknown__TRINITY_DN6440_c1_g1_i1.p1	yangtzeCatfishDenovo__Unknown__TRINITY_DN418_c0_g3_i7.p1	yangtzeCatfishDenovo__Unknown__TRINITY_DN418_c0_g3_i7.p1	3.0	2.0	3.0
piranha	Pygocentrus_nattereri	Teleost ray-finned fishes	No	GCF	annotated	piranha__mafa__XP_017564729.1,piranha__mafb__XP_017554927.1	piranha__mafaa__XP_017577129.1	piranha__mafba__XP_017553718.1	piranha__nrl__XP_017553181.1	piranha__maff__XP_017560970.1	piranha__mafga__XP_017569580.1,piranha__mafgb__XP_037400945.1	piranha__mafk__XP_017562994.1	piranha__otx1__XP_017560465.1	piranha__otx2a__XP_017572022.1,piranha__otx5__XP_017578892.1	piranha__crx__XP_017569370.1	4.0	3.0	3.0
northernPike	Esox_lucius	Teleost ray-finned fishes	Yes	GCF	annotated	northernPike__LOC105022181__XP_010888682.1,northernPike__mafa__XP_019895967.1	northernPike__mafaa__XP_010870766.1	northernPike__mafba__XP_019907591.2,northernPike__mafbb__XP_010880215.1	northernPike__nrl__XP_010870577.1	northernPike__maff__XP_010893859.1	northernPike__LOC105013039__XP_010872589.1,northernPike__mafgb__XP_028978188.1	northernPike__mafk__XP_010872892.1	northernPike__otx1__XP_010865940.1	northernPike__LOC105021530__XP_019905224.2,northernPike__otx5__XP_010896957.3	northernPike__crx__XP_010869096.1	4.0	3.0	3.0
northernPike	Esox_lucius	Teleost ray-finned fishes	Yes	GCF	denovo	northernPikeDenovo__Unknown__TRINITY_DN5580_c2_g2_i1.p1	northernPikeDenovo__Unknown__TRINITY_DN18254_c0_g1_i1.p1	northernPikeDenovo__Unknown__TRINITY_DN4145_c2_g1_i2.p1	northernPikeDenovo__Unknown__TRINITY_DN451_c0_g1_i12.p1	northernPikeDenovo__Unknown__TRINITY_DN2890_c0_g2_i2.p2	northernPikeDenovo__Unknown__TRINITY_DN2890_c0_g5_i1.p1	northernPikeDenovo__Unknown__TRINITY_DN9584_c0_g1_i5.p1	northernPikeDenovo__Unknown__TRINITY_DN7752_c0_g2_i2.p1	northernPikeDenovo__Unknown__TRINITY_DN508_c2_g1_i2.p1	northernPikeDenovo__Unknown__TRINITY_DN508_c0_g1_i1.p1	4.0	3.0	3.0
lanternFish	Electrona_risso	Teleost ray-finned fishes	Yes	NoGenome	denovo				lanternFishDenovo__Unknown__TRINITY_DN43567_c0_g1_i1.p2					lanternFishDenovo__Unknown__TRINITY_DN576_c0_g1_i3.p1	lanternFishDenovo__Unknown__TRINITY_DN576_c0_g1_i3.p1	1.0	0.0	2.0
cod	Gadus_morhua	Teleost ray-finned fishes	Yes	GCF	annotated	cod__mafa__XP_030233636.1	cod__mafaa__XP_030229457.1	cod__mafba__XP_030211285.1,cod__mafbb__XP_030229769.1	cod__nrl__XP_030229459.1	cod__LOC115531400__XP_074930269.1	cod__LOC115539323__XP_030206232.1,cod__mafgb__XP_030208298.1	cod__mafk__XP_030206167.1	cod__otx1__XP_030235839.1	cod__LOC115539721__XP_030206357.1,cod__LOC115528900__XP_030193154.1	cod__crx__XP_030218380.1	4.0	3.0	3.0
cod	Gadus_morhua	Teleost ray-finned fishes	Yes	GCF	denovo			codDenovo__Unknown__TRINITY_DN342_c1_g1_i1.p1	codDenovo__Unknown__TRINITY_DN200_c1_g1_i3.p1					codDenovo__Unknown__TRINITY_DN7360_c0_g1_i2.p1	codDenovo__Unknown__TRINITY_DN528_c1_g1_i1.p1	2.0	0.0	2.0
tuna	Thunnus_albacares	Teleost ray-finned fishes	Yes	GCF	annotated	tuna__mafa__XP_044203536.1,tuna__mafb__XP_044212074.1	tuna__mafaa__XP_044217031.1	tuna__mafba__XP_044207803.1,tuna__mafbb__XP_044204647.1	tuna__nrl__XP_044216424.1	tuna__maff__XP_044193825.1	tuna__LOC122966582__XP_044186748.1,tuna__mafgb__XP_044202054.1	tuna__mafk__XP_044186196.1	tuna__otx1__XP_044229764.1	tuna__LOC122976959__XP_044201435.1,tuna__LOC122983364__XP_044208999.1	tuna__crx__XP_044225469.1	4.0	3.0	3.0
