OrganismShortName	GeneGroup	ProteinID
minkeWhale	MAFA	minkeWhale__MAFA__XP_057388115.1
nancymaMonkey	MAFA	nancymaMonkey__MAFA__XP_021527743.2
oliveBaboon	MAFA	oliveBaboon__MAFA__XP_003919735.1
opossum	MAFA	opossum__MAFA__XP_056678923.1
pig	MAFA	pig__MAFA__XP_020946195.1
platypus	MAFA	platypus__MAFA__XP_007656620.2
rhesusMacaque	MAFA	rhesusMacaque__MAFA__XP_015001613.2
roundleafBat	MAFA	roundleafBat__MAFA__XP_019513343.1
sacwingedBat	MAFA	sacwingedBat__MAFA__XP_066121610.1
sandRat	MAFA	sandRat__Mafa__XP_055482483.1
sheep	MAFA	sheep__MAFA__XP_027829230.1
treeShrew	MAFA	treeShrew__MAFA__TSDBTID.8045.1
blindMoleRat	MAFB	blindMoleRat__Mafb__XP_008847806.1
brownRat	MAFB	brownRat__Mafb__NP_062189.1
cat	MAFB	cat__MAFB__XP_023107022.1
cow	MAFB	cow__MAFB__XP_002692508.1
crabMacaque	MAFB	crabMacaque__MAFB__XP_045218909.1
daubentonBat	MAFB	daubentonBat__MAFB__XP_059563059.1
deerMouse	MAFB	deerMouse__Mafb__XP_015854992.2
dog	MAFB	dog__MAFB__XP_038427303.1
egyptianBat	MAFB	egyptianBat__MAFB__XP_015993032.1
europeanHedgehog	MAFB	europeanHedgehog__MAFB__XP_007521706.2
ferret	MAFB	ferret__MAFB__XP_012908766.2
gerbil	MAFB	gerbil__Mafb__XP_021500039.1
grassMouse	MAFB	grassMouse__Mafb__Mafb-T1
groundSquirrel	MAFB	groundSquirrel__Mafb__XP_005329891.1
guineapig	MAFB	guineapig__Mafb__XP_005002829.1
hamster	MAFB	hamster__Mafb__XP_005082705.2
horse	MAFB	horse__MAFB__XP_023482332.1
human	MAFB	human__MAFB__NP_005452.2
labMouse	MAFB	labMouse__Mafb__NP_034788.1
marmoset	MAFB	marmoset__MAFB__XP_002747609.1
minkeWhale	MAFB	minkeWhale__MAFB__XP_057386227.1
nancymaMonkey	MAFB	nancymaMonkey__MAFB__XP_012310439.2
oliveBaboon	MAFB	oliveBaboon__MAFB__XP_003904790.1
opossum	MAFB	opossum__MAFB__XP_007474403.2
pig	MAFB	pig__MAFB__XP_013840831.2
platypus	MAFB	platypus__MAFB__XP_028926613.1
rhesusMacaque	MAFB	rhesusMacaque__MAFB__XP_001101624.3
roundleafBat	MAFB	roundleafBat__MAFB__XP_019492655.1
sacwingedBat	MAFB	sacwingedBat__MAFB__XP_066091476.1
sandRat	MAFB	sandRat__Mafb__XP_055458414.1
sheep	MAFB	sheep__MAFB__XP_012044596.3
treeShrew	MAFB	treeShrew__MAFB__TSDBTID.5231.1
blindMoleRat	NRL	blindMoleRat__Nrl__XP_008838065.1
brownRat	NRL	brownRat__Nrl__NP_001099506.1
cat	NRL	cat__NRL__XP_023111367.1
cow	NRL	cow__NRL__XP_010807337.1
crabMacaque	NRL	crabMacaque__NRL__XP_065403554.1
daubentonBat	NRL	daubentonBat__NRL__XP_059564454.1
deerMouse	NRL	deerMouse__Nrl__XP_006988587.1
dog	NRL	dog__NRL__XP_038399950.1
egyptianBat	NRL	egyptianBat__NRL__XP_015976087.1
europeanHedgehog	NRL	europeanHedgehog__NRL__XP_016049314.2
ferret	NRL	ferret__NRL__XP_004755334.1
gerbil	NRL	gerbil__Nrl__XP_060247157.1
grassMouse	NRL	grassMouse__Nrl__Nrl-T1
groundSquirrel	NRL	groundSquirrel__Nrl__XP_040131621.1
guineapig	NRL	guineapig__Nrl__NP_001166521.1
hamster	NRL	hamster__Nrl__XP_005085649.1
horse	NRL	horse__NRL__XP_001491313.1
human	NRL	human__NRL__NP_001341697.1
human	NRL	human__NRL__XP_054188315.1
labMouse	NRL	labMouse__Nrl__NP_032762.1
marmoset	NRL	marmoset__NRL__XP_035116064.1
minkeWhale	NRL	minkeWhale__NRL__XP_007180659.1
nancymaMonkey	NRL	nancymaMonkey__NRL__XP_064230808.1
oliveBaboon	NRL	oliveBaboon__NRL__XP_009209537.1
opossum	NRL	opossum__NRL__XP_056666074.1
pig	NRL	pig__NRL__XP_001925889.3
platypus	NRL	platypus__NRL__XP_028934270.1
rhesusMacaque	NRL	rhesusMacaque__NRL__XP_028707272.1
roundleafBat	NRL	roundleafBat__NRL__XP_019518658.1
sacwingedBat	NRL	sacwingedBat__NRL__XP_066133605.1
sandRat	NRL	sandRat__Nrl__XP_055473835.1
sheep	NRL	sheep__NRL__XP_042108879.1
treeShrew	NRL	treeShrew__NRL__TSDBTID.22451.1
barnOwl	CMAF	barnOwl__MAF__XP_032846531.2
budgerigar	CMAF	budgerigar__MAF__XP_033928568.1
canary	CMAF	canary__MAF__XP_050834999.1
chicken	CMAF	chicken__MAF__XP_015148000.1
commonBuzzard	CMAF	commonBuzzard__MAF__XP_074896084.1
commonKestrel	CMAF	commonKestrel__gene_ENSFTIG00000003636__ENSFTIP00000005211
eagleOwl	CMAF	eagleOwl__gene_ENSBOBG00000000091__ENSBOBP00000000082
emu	CMAF	emu__MAF__XP_064375807.1
goldenEagle	CMAF	goldenEagle__MAF__XP_029880100.1
gosHwak	CMAF	gosHwak__MAF__XP_049662322.1
harpyEagle	CMAF	harpyEagle__MAF__XP_052651390.1
hawaiianCrow	CMAF	hawaiianCrow__MAF__XP_048173038.1
honeyguide	CMAF	honeyguide__MAF__XP_054245698.1
hoodedCrow	CMAF	hoodedCrow__MAF__XP_039414468.1
littleOwl	CMAF	littleOwl__MAF__XP_074769062.1
mallardDuck	CMAF	mallardDuck__MAF__XP_038041342.1
mousebird	CMAF	mousebird__MAF__XP_061863169.1
ostrich	CMAF	ostrich__MAF__XP_068812426.1
peregrineFalcon	CMAF	peregrineFalcon__MAF__XP_055674912.1
pigeon	CMAF	pigeon__MAF__XP_064884597.1
quail	CMAF	quail__MAF__XP_015729607.1
sparrowHawk	CMAF	sparrowHawk__gene_ENSANIG00000002392__ENSANIP00000003522
tawnyOwl	CMAF	tawnyOwl__MAF__XP_074695275.1
uralOwl	CMAF	uralOwl__MAF__XP_074738276.1
whiteWagtail	CMAF	whiteWagtail__MAF__XP_038004334.1
zebrafinch	CMAF	zebrafinch__MAF__XP_030138184.2
barnOwl	MAFA	barnOwl__MAFA__XP_042642191.1
budgerigar	MAFA	budgerigar__MAFA__XP_033921063.1
canary	MAFA	canary__MAFA__XP_030085722.1
chicken	MAFA	chicken__MAFA__NP_990356.1
commonBuzzard	MAFA	commonBuzzard__MAFA__XP_074880177.1
commonKestrel	MAFA	commonKestrel__gene_ENSFTIG00000002193__ENSFTIP00000003181
eagleOwl	MAFA	eagleOwl__gene_ENSBOBG00000014832__ENSBOBP00000025026
emu	MAFA	emu__MAFA__XP_025969455.2
goldenEagle	MAFA	goldenEagle__MAFA__XP_029868500.1
gosHwak	MAFA	gosHwak__MAFA__XP_049682097.1
harpyEagle	MAFA	harpyEagle__MAFA__XP_052644556.1
hawaiianCrow	MAFA	hawaiianCrow__MAFA__XP_048143014.1
honeyguide	MAFA	honeyguide__MAFA__XP_054241450.1
hoodedCrow	MAFA	hoodedCrow__MAFA__XP_039406043.1
littleOwl	MAFA	littleOwl__MAFA__XP_074754432.1
mallardDuck	MAFA	mallardDuck__MAFA__XP_027308589.1
mousebird	MAFA	mousebird__MAFA__XP_010203193.2
ostrich	MAFA	ostrich__MAFA__XP_068789949.1
peregrineFalcon	MAFA	peregrineFalcon__MAFA__XP_005235862.2
pigeon	MAFA	pigeon__MAFA__XP_064910682.1
quail	MAFA	quail__MAFA__XP_015711959.1
sparrowHawk	MAFA	sparrowHawk__gene_ENSANIG00000009040__ENSANIP00000013306
tawnyOwl	MAFA	tawnyOwl__MAFA__XP_074685104.1
uralOwl	MAFA	uralOwl__MAFA__XP_074745166.1
whiteWagtail	MAFA	whiteWagtail__MAFA__XP_037985746.1
zebrafinch	MAFA	zebrafinch__MAFA__XP_030122661.1
barnOwl	MAFB	barnOwl__MAFB__XP_032859530.2
budgerigar	MAFB	budgerigar__MAFB__XP_030903509.1
canary	MAFB	canary__MAFB__XP_009091206.1
chicken	MAFB	chicken__MAFB__NP_001026023.1
commonBuzzard	MAFB	commonBuzzard__MAFB__XP_074915426.1
commonKestrel	MAFB	commonKestrel__gene_ENSFTIG00000008212__ENSFTIP00000012252
eagleOwl	MAFB	eagleOwl__gene_ENSBOBG00000006688__ENSBOBP00000010424
emu	MAFB	emu__MAFB__XP_025948812.1
goldenEagle	MAFB	goldenEagle__MAFB__XP_029866112.1
gosHwak	MAFB	gosHwak__MAFB__XP_049672993.1
harpyEagle	MAFB	harpyEagle__MAFB__XP_052645446.1
hawaiianCrow	MAFB	hawaiianCrow__MAFB__XP_048178000.1
honeyguide	MAFB	honeyguide__MAFB__XP_054247952.1
hoodedCrow	MAFB	hoodedCrow__MAFB__XP_010395328.1
littleOwl	MAFB	littleOwl__MAFB__XP_074776558.1
mallardDuck	MAFB	mallardDuck__MAFB__XP_005012103.1
mousebird	MAFB	mousebird__MAFB__XP_061864958.1
ostrich	MAFB	ostrich__MAFB__XP_009669433.1
peregrineFalcon	MAFB	peregrineFalcon__MAFB__XP_005235943.1
pigeon	MAFB	pigeon__MAFB__XP_005502756.1
quail	MAFB	quail__MAFB__XP_015736936.1
sparrowHawk	MAFB	sparrowHawk__gene_ENSANIG00000007633__ENSANIP00000011272
tawnyOwl	MAFB	tawnyOwl__MAFB__XP_074699417.1
uralOwl	MAFB	uralOwl__MAFB__XP_074744481.1
whiteWagtail	MAFB	whiteWagtail__MAFB__XP_038015228.1
zebrafinch	MAFB	zebrafinch__MAFB__XP_072773087.1
americanAlligator	CMAF	americanAlligator__MAF__XP_059569876.1
beardedDragon	CMAF	beardedDragon__MAF__XP_020657363.1
brownAnole	CMAF	brownAnole__MAF__XP_060644362.2
chineseAlligator	CMAF	chineseAlligator__LOC102381322__XP_025066811.1
cornSnake	CMAF	cornSnake__MAF__XP_034281304.1
garterSnake	CMAF	garterSnake__LOC106551874__XP_013925512.1
greenAnole	CMAF	greenAnole__maf__XP_008112130.2
greenTurtle	CMAF	greenTurtle__MAF__XP_043381875.1
groundBoa	CMAF	groundBoa__MAF__XP_063169066.1
japaneseGecko	CMAF	japaneseGecko__MAF__XP_015285014.1
python	CMAF	python__LOC103049108__XP_025027841.1
redTurtle	CMAF	redTurtle__MAF__XP_034643984.1
sandLizard	CMAF	sandLizard__MAF__XP_033013070.1
americanAlligator	MAFA	americanAlligator__MAFA__XP_006262735.1
beardedDragon	MAFA	beardedDragon__MAFA__XP_020669048.1
brownAnole	MAFA	brownAnole__MAFA__XP_060631969.2
chineseAlligator	MAFA	chineseAlligator__MAFA__XP_006039548.2
cornSnake	MAFA	cornSnake__MAFA__XP_034275836.1
garterSnake	MAFA	garterSnake__MAFA__XP_013917130.1
greenAnole	MAFA	greenAnole__mafa__XP_062835983.1
greenTurtle	MAFA	greenTurtle__MAFA__XP_043394915.1
groundBoa	MAFA	groundBoa__MAFA__XP_063156075.1
japaneseGecko	MAFA	japaneseGecko__MAFA__XP_015273594.1
redTurtle	MAFA	redTurtle__MAFA__XP_034619612.1
sandLizard	MAFA	sandLizard__MAFA__XP_033011850.1
americanAlligator	MAFB	americanAlligator__MAFB__XP_006265382.1
beardedDragon	MAFB	beardedDragon__MAFB__XP_020644911.1
brownAnole	MAFB	brownAnole__MAFB__XP_060628215.2
chineseAlligator	MAFB	chineseAlligator__MAFB__XP_006016713.1
cornSnake	MAFB	cornSnake__MAFB__XP_034269821.1
garterSnake	MAFB	garterSnake__MAFB__XP_013914637.1
greenAnole	MAFB	greenAnole__mafb__XP_008115790.2
greenTurtle	MAFB	greenTurtle__MAFB__XP_037771984.1
groundBoa	MAFB	groundBoa__MAFB__XP_063153241.1
japaneseGecko	MAFB	japaneseGecko__MAFB__XP_015260977.1
python	MAFB	python__MAFB__XP_015744577.1
redTurtle	MAFB	redTurtle__MAFB__XP_034643486.1
sandLizard	MAFB	sandLizard__MAFB__XP_033009283.1
americanAlligator	NRL	americanAlligator__NRL__XP_059586442.1
beardedDragon	NRL	beardedDragon__NRL__XP_020664985.1
brownAnole	NRL	brownAnole__NRL__XP_060635977.1
chineseAlligator	NRL	chineseAlligator__NRL__XP_014381666.2
cornSnake	NRL	cornSnake__NRL__XP_060540776.1
garterSnake	NRL	garterSnake__LOC106552296__XP_013926010.1
greenAnole	NRL	greenAnole__nrl__XP_062814062.1
greenTurtle	NRL	greenTurtle__NRL__XP_037733020.2
groundBoa	NRL	groundBoa__NRL__XP_063157679.1
japaneseGecko	NRL	japaneseGecko__NRL__XP_015269140.1
python	NRL	python__NRL__XP_007437369.1
sandLizard	NRL	sandLizard__NRL__XP_033026288.1
africanFrog	CMAF	africanFrog__maf.L__XP_041446090.1
africanFrog	CMAF	africanFrog__maf.S__XP_041417067.1
axolotl	CMAF	axolotl__MAF__XP_069508968.1
bambooShark	CMAF	bambooShark__mafa__XP_072451968.1
catshark	CMAF	catshark__mafa__XP_072373938.1
coelacanth	CMAF	coelacanth__LOC102348657__XP_014344902.1
himalayaFrog	CMAF	himalayaFrog__MAF__XP_018411242.1
lungfish	CMAF	lungfish__MAF__XP_043937739.1
redStingray	CMAF	redStingray__LOC140740842__XP_072926494.1
spottedGar	CMAF	spottedGar__mafa__XP_006641197.2
tinyCaecilian	CMAF	tinyCaecilian__MAF__XP_030060362.1
twolinedCaecilian	CMAF	twolinedCaecilian__MAF__XP_029464021.1
westernFrog	CMAF	westernFrog__maf__NP_001027476.1
whaleShark	CMAF	whaleShark__mafa__XP_048462041.1
zebraShark	CMAF	zebraShark__LOC125460078__XP_048403134.2
africanFrog	MAFA	africanFrog__mafa.L__XP_018123804.1
africanFrog	MAFA	africanFrog__mafa.S__XP_018079484.1
axolotl	MAFA	axolotl__MAFA__XP_069477854.1
bambooShark	MAFA	bambooShark__mafaa__XP_072426116.1
catshark	MAFA	catshark__mafaa__XP_072324324.1
coelacanth	MAFA	coelacanth__MAFAA__XP_006007664.1
himalayaFrog	MAFA	himalayaFrog__MAFA__XP_018414465.1
lungfish	MAFA	lungfish__MAFA__XP_043923271.1
redStingray	MAFA	redStingray__mafaa__XP_072904721.1
spottedGar	MAFA	spottedGar__mafaa__XP_069047236.1
tinyCaecilian	MAFA	tinyCaecilian__MAFA__XP_030075691.1
twolinedCaecilian	MAFA	twolinedCaecilian__MAFA__XP_029448037.1
westernFrog	MAFA	westernFrog__mafa__NP_001027475.1
whaleShark	MAFA	whaleShark__LOC109920499__XP_020376119.1
zebraShark	MAFA	zebraShark__mafaa__XP_048385419.1
africanFrog	MAFB	africanFrog__mafb.L__XP_018090693.1
africanFrog	MAFB	africanFrog__mafb.S__NP_001083852.1
axolotl	MAFB	axolotl__MAFB__XP_069508371.1
bambooShark	MAFB	bambooShark__LOC140462900__XP_072412445.1
catshark	MAFB	catshark__LOC140428545__XP_072371246.1
coelacanth	MAFB	coelacanth__LOC102365976__XP_005990472.1
himalayaFrog	MAFB	himalayaFrog__MAFB__XP_018411672.1
lungfish	MAFB	lungfish__MAFB__XP_043946392.1
redStingray	MAFB	redStingray__mafba__XP_072918127.1
spottedGar	MAFB	spottedGar__mafba__XP_006639587.2
tinyCaecilian	MAFB	tinyCaecilian__MAFB__XP_030068487.1
twolinedCaecilian	MAFB	twolinedCaecilian__LOC115097897__XP_029469921.1
westernFrog	MAFB	westernFrog__mafb__NP_001025694.1
whaleShark	MAFB	whaleShark__LOC109915489__XP_048464344.1
zebraShark	MAFB	zebraShark__LOC125461481__XP_048406268.1
africanFrog	NRL	africanFrog__nrl.L__XP_018115091.1
africanFrog	NRL	africanFrog__nrl.S__NP_001079206.1
axolotl	NRL	axolotl__LOC138521230__XP_069490020.1
coelacanth	NRL	coelacanth__LOC102354056__XP_005994483.1
himalayaFrog	NRL	himalayaFrog__LOC108786756__XP_018411616.1
lungfish	NRL	lungfish__LOC122790346__XP_043913796.1
spottedGar	NRL	spottedGar__nrl__XP_069044909.1
tinyCaecilian	NRL	tinyCaecilian__NRL__XP_030043638.1
twolinedCaecilian	NRL	twolinedCaecilian__NRL__XP_029436441.1
westernFrog	NRL	westernFrog__nrl__XP_012808720.1
channelCatfish	CMAF	channelCatfish__mafa__XP_017322189.1
channelCatfish	CMAF	channelCatfish__mafb__XP_047015791.1
cod	CMAF	cod__mafa__XP_030233636.1
flavescentPeacockFish	CMAF	flavescentPeacockFish__LOC115781690__XP_030587350.1
flavescentPeacockFish	CMAF	flavescentPeacockFish__mafa__XP_030613676.1
giltheadBream	CMAF	giltheadBream__LOC115586770__XP_030281966.1
giltheadBream	CMAF	giltheadBream__mafa__XP_030270417.1
grassCarp	CMAF	grassCarp__mafa__XP_051727005.1
grassCarp	CMAF	grassCarp__mafb__XP_051739567.1
northernPike	CMAF	northernPike__LOC105022181__XP_010888682.1
northernPike	CMAF	northernPike__mafa__XP_019895967.1
oceanJacket	CMAF	oceanJacket__LOC142903523__XP_075905321.1
oceanJacket	CMAF	oceanJacket__mafa__XP_075879646.1
oldwife	CMAF	oldwife__LOC139286594__XP_070763562.1
oldwife	CMAF	oldwife__mafa__XP_070760746.1
piranha	CMAF	piranha__mafa__XP_017564729.1
piranha	CMAF	piranha__mafb__XP_017554927.1
snakeheadFish	CMAF	snakeheadFish__LOC137125426__XP_067356963.1
snakeheadFish	CMAF	snakeheadFish__mafa__XP_067343238.1
tuna	CMAF	tuna__mafa__XP_044203536.1
tuna	CMAF	tuna__mafb__XP_044212074.1
yangtzeCatfish	CMAF	yangtzeCatfish__mafa__XP_046721024.1
yangtzeCatfish	CMAF	yangtzeCatfish__mafb__XP_046715288.1
zebrafish	CMAF	zebrafish__mafa__XP_021323247.1
zebrafish	CMAF	zebrafish__mafb__NP_001303598.2
channelCatfish	MAFA	channelCatfish__mafaa__XP_053539678.1
cod	MAFA	cod__mafaa__XP_030229457.1
flavescentPeacockFish	MAFA	flavescentPeacockFish__mafaa__XP_030584217.1
giltheadBream	MAFA	giltheadBream__mafaa__XP_030287986.1
grassCarp	MAFA	grassCarp__mafaa__XP_051754161.1
northernPike	MAFA	northernPike__mafaa__XP_010870766.1
oceanJacket	MAFA	oceanJacket__mafaa__XP_075901712.1
oldwife	MAFA	oldwife__mafaa__XP_070765312.1
piranha	MAFA	piranha__mafaa__XP_017577129.1
snakeheadFish	MAFA	snakeheadFish__mafaa__XP_067370396.1
tuna	MAFA	tuna__mafaa__XP_044217031.1
yangtzeCatfish	MAFA	yangtzeCatfish__mafaa__XP_046709800.1
zebrafish	MAFA	zebrafish__mafaa__NP_001076409.1
channelCatfish	MAFB	channelCatfish__mafba__XP_017343290.1
cod	MAFB	cod__mafba__XP_030211285.1
cod	MAFB	cod__mafbb__XP_030229769.1
flavescentPeacockFish	MAFB	flavescentPeacockFish__LOC115780235__XP_030585184.1
flavescentPeacockFish	MAFB	flavescentPeacockFish__mafba__XP_030590400.1
giltheadBream	MAFB	giltheadBream__mafba__XP_030279318.1
giltheadBream	MAFB	giltheadBream__mafbb__XP_030276052.1
grassCarp	MAFB	grassCarp__mafba__XP_051736520.1
northernPike	MAFB	northernPike__mafba__XP_019907591.2
northernPike	MAFB	northernPike__mafbb__XP_010880215.1
oceanJacket	MAFB	oceanJacket__mafba__XP_075882207.1
oceanJacket	MAFB	oceanJacket__mafbb__XP_075903975.1
oldwife	MAFB	oldwife__mafba__XP_070766159.1
oldwife	MAFB	oldwife__mafbb__XP_070758187.1
piranha	MAFB	piranha__mafba__XP_017553718.1
snakeheadFish	MAFB	snakeheadFish__LOC137127917__XP_067361581.1
snakeheadFish	MAFB	snakeheadFish__mafba__XP_067383503.1
tuna	MAFB	tuna__mafba__XP_044207803.1
tuna	MAFB	tuna__mafbb__XP_044204647.1
yangtzeCatfish	MAFB	yangtzeCatfish__mafba__XP_046725730.1
zebrafish	MAFB	zebrafish__mafba__NP_571090.2
channelCatfish	NRL	channelCatfish__nrl__XP_053541635.1
cod	NRL	cod__nrl__XP_030229459.1
flavescentPeacockFish	NRL	flavescentPeacockFish__nrl__XP_030583765.1
giltheadBream	NRL	giltheadBream__nrl__XP_030288310.1
grassCarp	NRL	grassCarp__nrl__XP_051731548.1
northernPike	NRL	northernPike__nrl__XP_010870577.1
oceanJacket	NRL	oceanJacket__nrl__XP_075895450.1
oldwife	NRL	oldwife__nrl__XP_070764973.1
piranha	NRL	piranha__nrl__XP_017553181.1
snakeheadFish	NRL	snakeheadFish__nrl__XP_067370542.1
tuna	NRL	tuna__nrl__XP_044216424.1
yangtzeCatfish	NRL	yangtzeCatfish__nrl__XP_046729803.1
zebrafish	NRL	zebrafish__nrl__NP_001035421.1
acornWorm	CMAF	acornWorm__maf-like__NP_001164706.1
amphioxus	CMAF	amphioxus__LOC136438471__XP_066289367.1
drosophila	CMAF	drosophila__tj__NP_001260582.1
echinoderm	CMAF	echinoderm__LOC117114910__XP_033114416.1
octopus	CMAF	octopus__LOC106877814__XP_014782317.1
plastererBee	CMAF	plastererBee__LOC122403542__XP_043263048.1
scallop	CMAF	scallop__LOC110466773__XP_021379197.1
tardigrade	CMAF	tardigrade__LOC129584033__XP_055332096.1
