OrganismShortName	GeneGroup	ProteinID
dog	MAFG	dog__MAFG__XP_038402227.1
egyptianBat	MAFG	egyptianBat__MAFG__XP_016019320.1
europeanHedgehog	MAFG	europeanHedgehog__MAFG__XP_060027730.1
ferret	MAFG	ferret__MAFG__XP_004748742.1
gerbil	MAFG	gerbil__Mafg__XP_021493069.1
grassMouse	MAFG	grassMouse__Mafg__Mafg-T1
groundSquirrel	MAFG	groundSquirrel__Mafg__XP_021586965.2
guineapig	MAFG	guineapig__Mafg__XP_005001512.1
hamster	MAFG	hamster__Mafg__XP_012968772.1
horse	MAFG	horse__MAFG__XP_005597102.2
human	MAFG	human__MAFG__NP_002350.1
labMouse	MAFG	labMouse__Mafg__NP_034886.1
marmoset	MAFG	marmoset__MAFG__XP_035158027.1
minkeWhale	MAFG	minkeWhale__MAFG__XP_028023182.1
nancymaMonkey	MAFG	nancymaMonkey__MAFG__XP_012308133.2
oliveBaboon	MAFG	oliveBaboon__MAFG__XP_021784144.1
opossum	MAFG	opossum__MAFG__XP_007482908.1
pig	MAFG	pig__MAFG__XP_020922083.1
platypus	MAFG	platypus__MAFG__XP_028912595.1
rhesusMacaque	MAFG	rhesusMacaque__MAFG__NP_001181498.1
roundleafBat	MAFG	roundleafBat__MAFG__XP_019517383.1
sacwingedBat	MAFG	sacwingedBat__MAFG__XP_066093539.1
sandRat	MAFG	sandRat__Mafg__XP_055448662.1
sheep	MAFG	sheep__MAFG__XP_042112177.1
blindMoleRat	MAFK	blindMoleRat__Mafk__XP_017658288.1
brownRat	MAFK	brownRat__Mafk__NP_663706.2
cat	MAFK	cat__MAFK__XP_044903301.1
cow	MAFK	cow__MAFK__XP_005225295.1
crabMacaque	MAFK	crabMacaque__MAFK__XP_065397606.1
daubentonBat	MAFK	daubentonBat__MAFK__XP_059555425.1
deerMouse	MAFK	deerMouse__Mafk__XP_015864857.1
dog	MAFK	dog__MAFK__XP_038395595.1
egyptianBat	MAFK	egyptianBat__MAFK__XP_015974595.1
europeanHedgehog	MAFK	europeanHedgehog__MAFK__XP_007525129.1
ferret	MAFK	ferret__MAFK__XP_044931115.1
gerbil	MAFK	gerbil__Mafk__XP_021496398.1
grassMouse	MAFK	grassMouse__Mafk__Mafk-T1
groundSquirrel	MAFK	groundSquirrel__Mafk__XP_005339892.1
guineapig	MAFK	guineapig__Mafk__XP_063090094.1
hamster	MAFK	hamster__Mafk__XP_005080042.1
horse	MAFK	horse__MAFK__XP_023510876.1
human	MAFK	human__MAFK__NP_002351.1
labMouse	MAFK	labMouse__Mafk__NP_034887.1
marmoset	MAFK	marmoset__MAFK__XP_035145692.2
minkeWhale	MAFK	minkeWhale__MAFK__XP_057385102.1
nancymaMonkey	MAFK	nancymaMonkey__MAFK__XP_012326328.2
oliveBaboon	MAFK	oliveBaboon__MAFK__XP_003895698.1
opossum	MAFK	opossum__MAFK__XP_007498385.1
pig	MAFK	pig__MAFK__XP_003124297.1
platypus	MAFK	platypus__MAFK__XP_001514510.2
rhesusMacaque	MAFK	rhesusMacaque__MAFK__XP_028701319.1
roundleafBat	MAFK	roundleafBat__MAFK__XP_019493117.1
sacwingedBat	MAFK	sacwingedBat__MAFK__XP_066129634.1
sandRat	MAFK	sandRat__Mafk__XP_055454539.1
sheep	MAFK	sheep__MAFK__XP_027817076.1
treeShrew	MAFK	treeShrew__MAFK__TSDBTID.12800.2
barnOwl	MAFF	barnOwl__MAFF__XP_042648826.1
budgerigar	MAFF	budgerigar__MAFF__XP_033918644.1
canary	MAFF	canary__MAFF__XP_009084748.1
chicken	MAFF	chicken__MAFF__XP_046760163.1
commonBuzzard	MAFF	commonBuzzard__MAFF__XP_074907107.1
commonKestrel	MAFF	commonKestrel__gene_ENSFTIG00000014670__ENSFTIP00000022774
eagleOwl	MAFF	eagleOwl__gene_ENSBOBG00000006606__ENSBOBP00000010285
emu	MAFF	emu__MAFF__XP_025957942.2
goldenEagle	MAFF	goldenEagle__MAFF__XP_029896324.1
gosHwak	MAFF	gosHwak__MAFF__XP_049677759.1
harpyEagle	MAFF	harpyEagle__MAFF__XP_052646533.1
hawaiianCrow	MAFF	hawaiianCrow__MAFF__XP_048158218.1
honeyguide	MAFF	honeyguide__MAFF__XP_054242609.1
hoodedCrow	MAFF	hoodedCrow__MAFF__XP_039427476.1
littleOwl	MAFF	littleOwl__MAFF__XP_074758587.1
mallardDuck	MAFF	mallardDuck__MAFF__XP_027306343.1
mousebird	MAFF	mousebird__MAFF__XP_061868468.1
ostrich	MAFF	ostrich__MAFF__XP_068798295.1
peregrineFalcon	MAFF	peregrineFalcon__MAFF__XP_055665148.1
pigeon	MAFF	pigeon__MAFF__XP_064903426.1
quail	MAFF	quail__MAFF__XP_015718579.1
tawnyOwl	MAFF	tawnyOwl__MAFF__XP_074682748.1
uralOwl	MAFF	uralOwl__MAFF__XP_074727268.1
whiteWagtail	MAFF	whiteWagtail__MAFF__XP_038009455.1
zebrafinch	MAFF	zebrafinch__MAFF__XP_030118873.1
barnOwl	MAFG	barnOwl__MAFG__XP_032857737.1
budgerigar	MAFG	budgerigar__MAFG__XP_033923786.1
canary	MAFG	canary__MAFG__XP_030087135.1
chicken	MAFG	chicken__MAFG__XP_015150912.1
commonBuzzard	MAFG	commonBuzzard__MAFG__XP_074900176.1
commonKestrel	MAFG	commonKestrel__gene_ENSFTIG00000000206__ENSFTIP00000000282
eagleOwl	MAFG	eagleOwl__gene_ENSBOBG00000014112__ENSBOBP00000023575
emu	MAFG	emu__MAFG__XP_064379007.1
goldenEagle	MAFG	goldenEagle__MAFG__XP_040979213.1
gosHwak	MAFG	gosHwak__MAFG__XP_049668419.1
harpyEagle	MAFG	harpyEagle__MAFG__XP_052662950.1
honeyguide	MAFG	honeyguide__MAFG__XP_054249713.1
hoodedCrow	MAFG	hoodedCrow__MAFG__XP_039418133.1
littleOwl	MAFG	littleOwl__MAFG__XP_074778000.1
mallardDuck	MAFG	mallardDuck__MAFG__XP_005011602.1
mousebird	MAFG	mousebird__MAFG__XP_061867004.1
ostrich	MAFG	ostrich__MAFG__XP_009667074.2
peregrineFalcon	MAFG	peregrineFalcon__MAFG__XP_055653462.1
pigeon	MAFG	pigeon__MAFG__XP_064890380.1
quail	MAFG	quail__MAFG__XP_015735390.1
sparrowHawk	MAFG	sparrowHawk__gene_ENSANIG00000017332__ENSANIP00000025770
tawnyOwl	MAFG	tawnyOwl__MAFG__XP_074703746.1
uralOwl	MAFG	uralOwl__MAFG__XP_074745849.1
whiteWagtail	MAFG	whiteWagtail__MAFG__XP_038012979.1
zebrafinch	MAFG	zebrafinch__MAFG__XP_030143375.1
barnOwl	MAFK	barnOwl__MAFK__XP_032848226.1
budgerigar	MAFK	budgerigar__MAFK__XP_030901453.1
canary	MAFK	canary__MAFK__XP_018771431.1
chicken	MAFK	chicken__MAFK__XP_040503249.1
commonBuzzard	MAFK	commonBuzzard__MAFK__XP_074914901.1
commonKestrel	MAFK	commonKestrel__gene_ENSFTIG00000004082__ENSFTIP00000005895
eagleOwl	MAFK	eagleOwl__gene_ENSBOBG00000007138__ENSBOBP00000011205
emu	MAFK	emu__MAFK__XP_064376262.1
goldenEagle	MAFK	goldenEagle__MAFK__XP_029857514.1
gosHwak	MAFK	gosHwak__MAFK__XP_049647588.1
harpyEagle	MAFK	harpyEagle__MAFK__XP_052628487.1
hawaiianCrow	MAFK	hawaiianCrow__MAFK__XP_048176356.1
honeyguide	MAFK	honeyguide__MAFK__XP_054247354.1
hoodedCrow	MAFK	hoodedCrow__MAFK__XP_010390714.1
littleOwl	MAFK	littleOwl__MAFK__XP_074774914.1
mallardDuck	MAFK	mallardDuck__MAFK__XP_071880198.1
mousebird	MAFK	mousebird__MAFK__XP_061848223.1
ostrich	MAFK	ostrich__MAFK__XP_068764117.1
peregrineFalcon	MAFK	peregrineFalcon__MAFK__XP_055660914.1
pigeon	MAFK	pigeon__MAFK__XP_064887576.1
quail	MAFK	quail__MAFK__XP_015732262.1
sparrowHawk	MAFK	sparrowHawk__gene_ENSANIG00000015949__ENSANIP00000023462
tawnyOwl	MAFK	tawnyOwl__MAFK__XP_074697581.1
uralOwl	MAFK	uralOwl__MAFK__XP_074742748.1
whiteWagtail	MAFK	whiteWagtail__MAFK__XP_038006777.1
zebrafinch	MAFK	zebrafinch__MAFK__XP_072792010.1
americanAlligator	MAFF	americanAlligator__MAFF__XP_059582394.1
beardedDragon	MAFF	beardedDragon__MAFF__XP_020643246.1
brownAnole	MAFF	brownAnole__MAFF__XP_060633020.1
chineseAlligator	MAFF	chineseAlligator__MAFF__XP_014378316.1
cornSnake	MAFF	cornSnake__MAFF__XP_034259519.1
garterSnake	MAFF	garterSnake__MAFF__XP_013910419.1
greenAnole	MAFF	greenAnole__maff__XP_003227196.2
greenTurtle	MAFF	greenTurtle__MAFF__XP_043399227.1
groundBoa	MAFF	groundBoa__MAFF__XP_063164167.1
japaneseGecko	MAFF	japaneseGecko__MAFF__XP_015274659.1
python	MAFF	python__MAFF__XP_025025777.1
redTurtle	MAFF	redTurtle__MAFF__XP_034632554.1
sandLizard	MAFF	sandLizard__MAFF__XP_033018043.1
americanAlligator	MAFG	americanAlligator__MAFG__XP_006270717.1
beardedDragon	MAFG	beardedDragon__MAFG__XP_020670010.1
brownAnole	MAFG	brownAnole__MAFG__XP_060620842.1
chineseAlligator	MAFG	chineseAlligator__MAFG__XP_006038228.1
cornSnake	MAFG	cornSnake__MAFG__XP_034268786.1
garterSnake	MAFG	garterSnake__MAFG__XP_013916963.1
greenAnole	MAFG	greenAnole__mafg__XP_008102792.1
greenTurtle	MAFG	greenTurtle__MAFG__XP_037770029.1
groundBoa	MAFG	groundBoa__MAFG__XP_063149356.1
japaneseGecko	MAFG	japaneseGecko__MAFG__XP_015275850.1
python	MAFG	python__MAFG__XP_007427839.1
redTurtle	MAFG	redTurtle__MAFG__XP_034645930.1
sandLizard	MAFG	sandLizard__MAFG__XP_032994994.1
americanAlligator	MAFK	americanAlligator__MAFK__XP_019350258.2
beardedDragon	MAFK	beardedDragon__MAFK__XP_020659950.1
brownAnole	MAFK	brownAnole__LOC132782144__XP_060642834.2
brownAnole	MAFK	brownAnole__LOC137095487__XP_067318314.1
chineseAlligator	MAFK	chineseAlligator__MAFK__XP_025068149.1
cornSnake	MAFK	cornSnake__MAFK__XP_034297459.1
garterSnake	MAFK	garterSnake__MAFK__XP_013916685.1
greenAnole	MAFK	greenAnole__mafk__XP_008116599.1
greenTurtle	MAFK	greenTurtle__MAFK__XP_007065416.2
groundBoa	MAFK	groundBoa__MAFK__XP_063170913.1
japaneseGecko	MAFK	japaneseGecko__MAFK__XP_015276628.1
python	MAFK	python__MAFK__XP_007442315.1
redTurtle	MAFK	redTurtle__MAFK__XP_034638928.1
sandLizard	MAFK	sandLizard__MAFK__XP_033022525.1
africanFrog	MAFF	africanFrog__maff.L__XP_018114367.1
africanFrog	MAFF	africanFrog__maff.S__XP_018115181.1
axolotl	MAFF	axolotl__MAFF__XP_069509081.1
bambooShark	MAFF	bambooShark__LOC140488943__XP_072444262.1
catshark	MAFF	catshark__LOC140403927__XP_072348285.1
coelacanth	MAFF	coelacanth__LOC102353766__XP_014352934.1
himalayaFrog	MAFF	himalayaFrog__MAFF__XP_018426547.1
lungfish	MAFF	lungfish__MAFF__XP_043924399.1
redStingray	MAFF	redStingray__LOC140719078__XP_072889555.1
spottedGar	MAFF	spottedGar__maff__XP_069053156.1
tinyCaecilian	MAFF	tinyCaecilian__MAFF__XP_030064149.1
twolinedCaecilian	MAFF	twolinedCaecilian__MAFF__XP_029446022.1
westernFrog	MAFF	westernFrog__maff__XP_002934281.1
whaleShark	MAFF	whaleShark__LOC109925329__XP_048473543.1
zebraShark	MAFF	zebraShark__LOC125447181__XP_048377337.1
africanFrog	MAFG	africanFrog__mafg.L__XP_041432720.1
axolotl	MAFG	axolotl__MAFG__XP_069511406.1
bambooShark	MAFG	bambooShark__LOC140464029__XP_072414753.1
catshark	MAFG	catshark__LOC140395576__XP_072339627.1
coelacanth	MAFG	coelacanth__LOC102359190__XP_064423458.1
himalayaFrog	MAFG	himalayaFrog__MAFG__XP_018409131.1
lungfish	MAFG	lungfish__MAFG__XP_043924159.1
redStingray	MAFG	redStingray__mafga__XP_072882308.1
spottedGar	MAFG	spottedGar__mafgb__XP_006635210.2
tinyCaecilian	MAFG	tinyCaecilian__LOC115462212__XP_030048085.1
tinyCaecilian	MAFG	tinyCaecilian__MAFG__XP_030061033.1
twolinedCaecilian	MAFG	twolinedCaecilian__MAFG__XP_029454938.1
westernFrog	MAFG	westernFrog__mafg__XP_004916428.1
whaleShark	MAFG	whaleShark__LOC125481030__XP_048466689.1
zebraShark	MAFG	zebraShark__LOC125463828__XP_048411544.1
africanFrog	MAFK	africanFrog__mafk.L__XP_041432184.1
africanFrog	MAFK	africanFrog__mafk.S__XP_018094625.1
axolotl	MAFK	axolotl__MAFK__XP_069503740.1
bambooShark	MAFK	bambooShark__mafk__XP_072415341.1
catshark	MAFK	catshark__mafk__XP_072337129.1
himalayaFrog	MAFK	himalayaFrog__MAFK__XP_018412616.1
redStingray	MAFK	redStingray__mafk__XP_072917087.1
spottedGar	MAFK	spottedGar__mafk__XP_015215295.1
tinyCaecilian	MAFK	tinyCaecilian__MAFK__XP_030068393.1
twolinedCaecilian	MAFK	twolinedCaecilian__MAFK__XP_029432539.1
westernFrog	MAFK	westernFrog__mafk__XP_031748285.1
whaleShark	MAFK	whaleShark__mafk__XP_020382141.1
zebraShark	MAFK	zebraShark__mafk__XP_048408027.1
channelCatfish	MAFF	channelCatfish__maff__XP_017339225.1
cod	MAFF	cod__LOC115531400__XP_074930269.1
flavescentPeacockFish	MAFF	flavescentPeacockFish__LOC115798469__XP_074930552.1
giltheadBream	MAFF	giltheadBream__maff__XP_030257020.1
grassCarp	MAFF	grassCarp__maff__XP_051771291.1
northernPike	MAFF	northernPike__maff__XP_010893859.1
oceanJacket	MAFF	oceanJacket__maff__XP_075890875.1
oldwife	MAFF	oldwife__maff__XP_070783430.1
piranha	MAFF	piranha__maff__XP_017560970.1
snakeheadFish	MAFF	snakeheadFish__maff__XP_067343664.1
tuna	MAFF	tuna__maff__XP_044193825.1
yangtzeCatfish	MAFF	yangtzeCatfish__maff__XP_046709373.1
zebrafish	MAFF	zebrafish__maff__NP_956630.1
channelCatfish	MAFG	channelCatfish__mafga__XP_053530046.1
channelCatfish	MAFG	channelCatfish__mafgb__XP_017333948.1
cod	MAFG	cod__LOC115539323__XP_030206232.1
cod	MAFG	cod__mafgb__XP_030208298.1
flavescentPeacockFish	MAFG	flavescentPeacockFish__LOC115785214__XP_030592582.1
flavescentPeacockFish	MAFG	flavescentPeacockFish__mafgb__XP_030592808.1
giltheadBream	MAFG	giltheadBream__LOC115576097__XP_030264467.1
giltheadBream	MAFG	giltheadBream__mafgb__XP_030252038.1
grassCarp	MAFG	grassCarp__mafga__XP_051743368.1
grassCarp	MAFG	grassCarp__mafgb__XP_051767641.1
northernPike	MAFG	northernPike__LOC105013039__XP_010872589.1
northernPike	MAFG	northernPike__mafgb__XP_028978188.1
oceanJacket	MAFG	oceanJacket__LOC142886990__XP_075880409.1
oceanJacket	MAFG	oceanJacket__mafgb__XP_075895695.1
oldwife	MAFG	oldwife__LOC139300464__XP_070779677.1
oldwife	MAFG	oldwife__mafgb__XP_070778961.1
piranha	MAFG	piranha__mafga__XP_017569580.1
piranha	MAFG	piranha__mafgb__XP_037400945.1
snakeheadFish	MAFG	snakeheadFish__LOC137099843__XP_067333265.1
snakeheadFish	MAFG	snakeheadFish__mafgb__XP_067354826.1
tuna	MAFG	tuna__LOC122966582__XP_044186748.1
tuna	MAFG	tuna__mafgb__XP_044202054.1
yangtzeCatfish	MAFG	yangtzeCatfish__mafga__XP_046721846.1
yangtzeCatfish	MAFG	yangtzeCatfish__mafgb__XP_046713108.1
zebrafish	MAFG	zebrafish__mafga__XP_021325832.2
zebrafish	MAFG	zebrafish__mafgb__XP_005169479.2
channelCatfish	MAFK	channelCatfish__mafk__XP_017310124.1
cod	MAFK	cod__mafk__XP_030206167.1
flavescentPeacockFish	MAFK	flavescentPeacockFish__mafk__XP_030591848.1
giltheadBream	MAFK	giltheadBream__mafk__XP_030264057.1
grassCarp	MAFK	grassCarp__mafk__XP_051742255.1
northernPike	MAFK	northernPike__mafk__XP_010872892.1
oceanJacket	MAFK	oceanJacket__mafk__XP_075894952.1
oldwife	MAFK	oldwife__mafk__XP_070778581.1
piranha	MAFK	piranha__mafk__XP_017562994.1
snakeheadFish	MAFK	snakeheadFish__mafk__XP_067332667.1
tuna	MAFK	tuna__mafk__XP_044186196.1
yangtzeCatfish	MAFK	yangtzeCatfish__mafk__XP_046690455.1
zebrafish	MAFK	zebrafish__mafk__XP_005164260.1
americanLobster	MAFF	americanLobster__LOC121867327__XP_042223182.1
drosophila	MAFF	drosophila__maf-S__NP_001286639.1
plastererBee	MAFF	plastererBee__LOC122396420__XP_043250725.1
seaSquirt	MAFF	seaSquirt__LOC120331304__XP_039254309.1
seaSquirt	MAFF	seaSquirt__LOC120347869__XP_039273915.1
vaseTunicate	MAFF	vaseTunicate__LOC778757__NP_001071818.1
